"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","3.37","3","3405","2","2","4","5","8","3.27","3.47","0","80","3","3"
"1984","indirect migration background","3.4","3","127","2","3","4","5","6","3.22","3.58","1","7","3","4"
"1984","no migration background","3.99","4","8636","2","3","5","6","9","3.93","4.05","0","82","4","4"
"1985","direct migration background","3.06","3","235","1","2","4","4","6","2.9","3.22","0","9","3","3"
"1985","indirect migration background","","","","","","","","","","","","","",""
"1985","no migration background","3.39","3","555","2","2","4","5","10","3.25","3.53","0","11","3","3"
"1986","direct migration background","3.1","3","292","2","2","4","5","7","2.96","3.24","1","8","3","3"
"1986","indirect migration background","","","","","","","","","","","","","",""
"1986","no migration background","3.24","3","676","1","2","4","6","8","3.11","3.37","1","11","3","3"
"1987","direct migration background","3.29","3","279","2","2","4","5","7","3.14","3.44","1","9","3","3"
"1987","indirect migration background","","","","","","","","","","","","","",""
"1987","no migration background","3.17","3","558","2","2","4","5","7","3.06","3.28","1","8","3","3"
"1988","direct migration background","3.11","3","263","2","2","4","5","8","2.89","3.33","1","9","3","3"
"1988","indirect migration background","","","","","","","","","","","","","",""
"1988","no migration background","3.14","3","546","1","2","4","6","9","3","3.28","0","11","3","3"
"1989","direct migration background","3.25","3","234","2","2","4","5","8","3.07","3.43","1","8","3","3"
"1989","indirect migration background","","","","","","","","","","","","","",""
"1989","no migration background","3.25","3","543","2","2","4","6","10","3.11","3.39","0","10","3","3"
"1990","direct migration background","3.01","3","361","2","2","4","4","6","2.87","3.15","1","9","3","3"
"1990","indirect migration background","2.56","3","31","1","2","3","4","9","2.01","3.11","1","9","2","3"
"1990","no migration background","3.23","3","4707","2","2","4","5","7","3.18","3.28","0","60","3","3"
"1991","direct migration background","3.17","3","210","2","2","4","5","9","2.99","3.35","1","9","3","3"
"1991","indirect migration background","2.91","2","33","1","2","4","6","6","2.38","3.44","1","6","2","4"
"1991","no migration background","3.42","3","887","1","2","5","6","9","3.3","3.54","1","11","3","3"
"1992","direct migration background","3.52","3","214","2","2","4","6","9","3.3","3.74","1","9","3","3"
"1992","indirect migration background","3.26","3","35","1","2","5","6","7","2.7","3.82","1","7","2","3"
"1992","no migration background","3.33","3","903","1","2","4","6","9","3.22","3.44","0","10","3","3"
"1993","direct migration background","3.36","3","244","1","2","4","6","8","3.18","3.54","1","8","3","3"
"1993","indirect migration background","3.59","3","69","1","2","5","7","8","3.21","3.97","1","8","2","3"
"1993","no migration background","3.43","3","954","1","2","4","6","8","3.32","3.54","1","11","3","3"
"1994","direct migration background","3.36","3","218","1","2","4","6","8","3.17","3.55","1","8","3","3"
"1994","indirect migration background","2.94","2","72","1","2","3","4","8","2.64","3.24","1","8","2","3"
"1994","no migration background","3.33","3","1049","1","2","4","6","10","3.22","3.44","1","10","3","3"
"1995","direct migration background","2.99","3","634","1","2","4","4","9","2.88","3.1","1","9","3","3"
"1995","indirect migration background","3.12","3","55","2","2","3","5","9","2.74","3.5","1","9","2","3"
"1995","no migration background","3.54","3","1172","2","2","4","6","8","3.44","3.64","1","9","3","4"
"1996","direct migration background","2.95","3","339","2","2","4","4","7","2.82","3.08","1","8","3","3"
"1996","indirect migration background","3.01","3","82","2","2","4","5","8","2.72","3.3","1","8","2","3"
"1996","no migration background","3.48","3","1166","2","2","4","6","8","3.39","3.57","1","11","3","3"
"1997","direct migration background","3.14","3","294","2","2","4","5","8","2.98","3.3","1","10","3","3"
"1997","indirect migration background","3.19","3","90","2","2","4","5","9","2.89","3.49","1","9","3","3"
"1997","no migration background","3.42","3","1081","2","2","4","6","9","3.32","3.52","1","11","3","3"
"1998","direct migration background","3.43","3","2385","2","3","4","5","9","3.37","3.49","1","14","3","3"
