"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","3.93","4","12168","2","3","5","6","9","3.88","3.98","0","82","3","3"
"1985","3.44","3","803","2","2","4","5","10","3.3","3.58","0","42","3","3"
"1986","3.22","3","992","1","2","4","6","8","3.12","3.32","1","11","3","3"
"1987","3.19","3","860","2","2","4","5","7","3.1","3.28","1","9","3","3"
"1988","3.13","3","821","1","2","4","6","9","3.01","3.25","0","11","3","3"
"1989","3.25","3","800","2","2","4","6","9","3.14","3.36","0","10","3","3"
"1990","3.22","3","5099","2","2","4","5","7","3.17","3.27","0","60","3","3"
"1991","3.38","3","1130","1","2","4","6","9","3.28","3.48","1","11","3","3"
"1992","3.35","3","1152","1","2","4","6","9","3.25","3.45","0","10","3","3"
"1993","3.42","3","1267","1","2","4","6","8","3.33","3.51","1","11","3","3"
"1994","3.32","3","1339","1","2","4","6","9","3.23","3.41","1","10","3","3"
"1995","3.36","3","1861","2","2","4","6","8","3.29","3.43","1","9","3","3"
"1996","3.38","3","1587","2","2","4","6","8","3.3","3.46","1","11","3","3"
"1997","3.37","3","1465","2","2","4","6","8","3.29","3.45","1","11","3","3"
"1998","3.79","3","14075","2","3","5","6","9","3.76","3.82","1","18","4","4"
"1999","3.57","3","1572","2","2","4","6","11","3.48","3.66","1","14","3","3"
"2000","3.96","4","12203","2","3","5","6","9","3.93","3.99","1","15","4","4"
"2001","3.74","3","2178","2","3","5","6","10","3.66","3.82","1","13","3","4"
"2002","3.91","4","22917","2","3","5","6","9","3.89","3.93","1","19","4","4"
"2003","3.91","4","22231","2","3","5","6","9","3.89","3.93","1","16","4","4"
"2004","3.91","4","21678","2","3","5","6","9","3.89","3.93","1","18","4","4"
"2005","3.92","4","20793","2","3","5","6","9","3.9","3.94","1","25","4","4"
"2006","3.9","4","22342","2","3","5","6","9","3.88","3.92","1","22","4","4"
"2007","3.95","4","20940","2","3","5","6","9","3.93","3.97","1","22","4","4"
"2008","3.98","4","19649","2","3","5","6","9","3.95","4.01","1","24","4","4"
"2009","3.99","4","18327","2","3","5","6","9","3.96","4.02","1","17","4","4"
"2010","3.99","4","24392","2","3","5","6","9","3.97","4.01","1","18","4","4"
"2011","4","4","28997","2","3","5","6","9","3.98","4.02","1","24","4","4"
"2012","4.01","4","28259","2","3","5","6","9","3.99","4.03","1","24","4","4"
"2013","4.01","4","31305","2","3","5","6","9","3.99","4.03","1","20","4","4"
"2014","4.01","4","27743","2","3","5","6","9","3.99","4.03","1","16","4","4"
"2015","4","4","27483","2","3","5","6","9","3.98","4.02","1","16","4","4"
"2016","4.02","4","27914","2","3","5","6","9","4","4.04","1","16","4","4"
"2017","4.01","4","31280","2","3","5","6","9","3.99","4.03","1","16","4","4"
"2018","4.06","4","29652","2","3","5","6","9","4.04","4.08","1","18","4","4"
"2019","4.07","4","29530","2","3","5","6","9","4.05","4.09","1","25","4","4"
