"year","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","4.03","4","5651","2","3","5","6","9","3.95","4.11","0","80","3","3"
"1984","Not Working","3.81","3","4636","2","3","5","6","9","3.71","3.91","0","82","3","3"
"1984","Part Time","3.97","4","1881","2","3","5","6","10","3.85","4.09","0","80","3","4"
"1985","Full Time","3.34","3","388","2","2","4","5","8","3.19","3.49","0","11","3","3"
"1985","Not Working","3.39","3","230","2","3","4","5","8","3.21","3.57","0","10","3","4"
"1985","Part Time","3.7","3","185","1","2","4","5","42","3.22","4.18","0","42","3","4"
"1986","Full Time","3.23","3","526","2","2","4","5","8","3.11","3.35","1","10","3","3"
"1986","Not Working","3.2","3","251","1","2","4","6","8","2.99","3.41","1","10","3","3"
"1986","Part Time","3.24","3","215","1","2","4","6","11","3.02","3.46","1","11","3","3"
"1987","Full Time","3.22","3","453","2","2","4","5","7","3.1","3.34","1","9","3","3"
"1987","Not Working","3.28","3","200","2","2","4","5","7","3.07","3.49","1","9","3","3"
"1987","Part Time","3.06","3","207","1","2","4","5","7","2.87","3.25","1","8","3","3"
"1988","Full Time","3.17","3","425","2","2","4","6","9","3.01","3.33","0","11","3","3"
"1988","Not Working","2.78","3","201","1","2","4","5","8","2.53","3.03","0","9","3","3"
"1988","Part Time","3.39","3","195","2","2","4","6","9","3.14","3.64","0","10","3","3"
"1989","Full Time","3.24","3","443","2","2","4","5","10","3.1","3.38","0","10","3","3"
"1989","Not Working","3.17","3","175","2","2","4","6","10","2.92","3.42","1","10","3","3"
"1989","Part Time","3.37","3","182","2","2","4","6","8","3.13","3.61","1","8","3","3"
"1990","Full Time","3.42","3","413","1","2","4","5","8","3.01","3.83","0","60","3","3"
"1990","Not Working","2.74","2.13","152","1","2","4","5","6","2.51","2.97","0","7","3","3"
"1990","Part Time","2.96","3","163","1","2","4","5","6","2.75","3.17","0","9","3","3"
"1991","Full Time","3.38","3","453","2","2","4","6","8","3.23","3.53","1","9","3","3"
"1991","Not Working","3.51","3","189","1","2","5","6","10","3.25","3.77","1","10","3","4"
"1991","Part Time","3.54","3","179","2","2","5","6","10","3.29","3.79","1","10","3","4"
"1992","Full Time","3.35","3","653","2","2","4","6","9","3.22","3.48","0","10","3","3"
"1992","Not Working","3.18","3","215","1","2","4","5","9","2.96","3.4","1","10","3","3"
"1992","Part Time","3.48","3","284","1","2","4","6","9","3.29","3.67","1","10","3","3"
"1993","Full Time","3.49","3","690","2","2","4","6","8","3.37","3.61","1","11","3","3"
"1993","Not Working","3.4","3","284","1","2","4","6","8","3.2","3.6","1","11","3","3"
"1993","Part Time","3.29","3","293","1","2","4","5","8","3.11","3.47","1","8","3","3"
"1994","Full Time","3.27","3","716","1","2","4","6","9","3.15","3.39","1","10","3","3"
"1994","Not Working","3.15","3","316","1","2","4","6","9","2.96","3.34","1","10","3","3"
"1994","Part Time","3.62","3","307","2","2","5","6","10","3.42","3.82","1","10","3","4"
"1995","Full Time","3.48","3","876","2","2","4","6","8","3.37","3.59","1","9","3","3"
"1995","Not Working","3","3","523","1","2","4","5","8","2.86","3.14","1","9","3","3"
"1995","Part Time","3.57","3","462","2","3","4","6","8","3.42","3.72","1","9","3","3"
"1996","Full Time","3.43","3","817","2","2","4","6","8","3.33","3.53","1","11","3","3"
"1996","Not Working","3.18","3","379","1","2","4","5","8","3.02","3.34","1","11","3","3"
"1996","Part Time","3.49","3","391","2","2","4","6","8","3.33","3.65","1","9","3","3"
"1997","Full Time","3.37","3","747","2","2","4","5","8","3.26","3.48","1","10","3","3"
"1997","Not Working","3.4","3","400","2","2","4","6","9","3.24","3.56","1","11","3","3"
"1997","Part Time","3.3","3","318","1","2","4","6","9","3.12","3.48","1","11","3","3"
"1998","Full Time","3.86","4","5906","2","3","5","6","9","3.82","3.9","1","18","4","4"
"1998","Not Working","3.65","3","5334","2","3","4","6","9","3.61","3.69","1","18","3","4"
"1998","Part Time","3.98","4","2835","2","3","5","6","9","3.92","4.04","1","18","4","4"
"1999","Full Time","3.68","3","810","2","2","4","6","11","3.56","3.8","1","14","3","3"
"1999","Not Working","3.2","3","378","1","2","4","5","8","3.03","3.37","1","12","3","3"
"1999","Part Time","3.71","3","384","2","2","4","6","13","3.52","3.9","1","14","3","4"
