"year","bula_h","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-W?rttemberg","Female","3.96","3","1137","2","3","5","6","9","3.78","4.14","0","82","3","3"
"1984","Baden-W?rttemberg","Male","4.24","4","1128","2","3","5","6","9","4.06","4.42","1","82","3","4"
"1984","Bavaria","Female","3.86","4","1102","2","3","5","6","10","3.76","3.96","0","11","3","4"
"1984","Bavaria","Male","4.08","4","997","2","3","5","6","9","3.98","4.18","0","11","4","4"
"1984","Berlin","Female","2.86","3","211","2","2","4","4","8","2.67","3.05","1","9","3","3"
"1984","Berlin","Male","3.3","3","197","2","2","4","4","9","2.93","3.67","1","35","3","3"
"1984","Brandenburg","Female","","","","","","","","","","","","","",""
"1984","Brandenburg","Male","","","","","","","","","","","","","",""
"1984","Bremen","Female","2.91","3","69","2","2","3","4","10","2.62","3.2","1","10","3","3"
"1984","Bremen","Male","3.23","3","63","2","2","3","5","10","2.79","3.67","1","10","3","3"
"1984","Hamburg","Female","2.91","3","156","2","2","3","4","5","2.78","3.04","1","6","3","3"
"1984","Hamburg","Male","3","3","150","2","2","3","4","6","2.85","3.15","1","6","3","3"
"1984","Hesse","Female","4.11","3","613","2","3","5","6","11","3.78","4.44","1","80","3","3"
"1984","Hesse","Male","4.51","4","623","2","3","5","7","11","4.1","4.92","1","80","3","4"
"1984","Lower Saxony","Female","4.03","4","632","2","3","5","6","10","3.9","4.16","1","10","4","4"
"1984","Lower Saxony","Male","4.19","4","602","2","3","5","6","9","4.06","4.32","1","10","4","4"
"1984","Mecklenburg-Western Pomerania","Female","","","","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","Male","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","Female","3.62","3","1648","2","3","4","6","9","3.46","3.78","0","80","3","3"
"1984","North Rhine-Westphalia","Male","3.91","3","1609","2","3","5","6","9","3.74","4.08","0","80","3","3"
"1984","Rhineland-Palatinate,Saarland","Female","4.19","4","429","2","3","5","6","9","3.81","4.57","1","80","4","4"
"1984","Rhineland-Palatinate,Saarland","Male","4.43","4","415","2","3","6","7","8","4.03","4.83","1","80","4","4"
"1984","Saxony","Female","","","","","","","","","","","","","",""
"1984","Saxony","Male","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","Female","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","Male","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","Female","3.88","4","198","2","3","5","6","8","3.68","4.08","1","8","3","4"
"1984","Schleswig-Holstein","Male","3.94","4","189","2","3","5","6","8","3.73","4.15","1","8","4","4"
"1984","Thuringia","Female","","","","","","","","","","","","","",""
"1984","Thuringia","Male","","","","","","","","","","","","","",""
"1985","Baden-W?rttemberg","Female","3.17","3","94","1","2","4","5","8","2.83","3.51","0","10","3","4"
"1985","Baden-W?rttemberg","Male","3.25","3","85","1","2","4","5","8","2.92","3.58","0","8","3","4"
"1985","Bavaria","Female","3.42","3","52","1","2","5","5","7","3.01","3.83","1","7","3","4"
"1985","Bavaria","Male","5.34","4","54","2","3","5","6","42","3.88","6.8","1","42","3","4"
"1985","Berlin","Female","","","","","","","","","","","","","",""
"1985","Berlin","Male","","","","","","","","","","","","","",""
"1985","Brandenburg","Female","","","","","","","","","","","","","",""
"1985","Brandenburg","Male","","","","","","","","","","","","","",""
"1985","Bremen","Female","","","","","","","","","","","","","",""
"1985","Bremen","Male","","","","","","","","","","","","","",""
"1985","Hamburg","Female","","","","","","","","","","","","","",""
"1985","Hamburg","Male","","","","","","","","","","","","","",""
"1985","Hesse","Female","3.12","3","41","2","2","4","4","6","2.68","3.56","1","9","3","3"
"1985","Hesse","Male","3.1","3","41","2","2","3","5","6","2.67","3.53","1","9","3","3"
"1985","Lower Saxony","Female","3.07","3","44","2","2","4","4","6","2.77","3.37","1","6","3","4"
"1985","Lower Saxony","Male","2.95","3","45","1","2","4","4","6","2.62","3.28","1","6","3","3"
"1985","Mecklenburg-Western Pomerania","Female","","","","","","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","Male","","","","","","","","","","","","","",""
"1985","North Rhine-Westphalia","Female","3.63","3","108","2","2","4","5","11","3.31","3.95","1","11","3","4"
"1985","North Rhine-Westphalia","Male","3.54","3","128","2","2","4","5","10","3.23","3.85","1","11","3","4"
"1985","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","","","","",""
"1985","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","","","","",""
