"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","","","","","","","","","","","","","",""
"1984","West Germany","3.93","4","12168","2","3","5","6","9","3.88","3.98","0","82","3","3"
"1985","East Germany","","","","","","","","","","","","","",""
"1985","West Germany","3.44","3","803","2","2","4","5","10","3.3","3.58","0","42","3","3"
"1986","East Germany","","","","","","","","","","","","","",""
"1986","West Germany","3.22","3","992","1","2","4","6","8","3.12","3.32","1","11","3","3"
"1987","East Germany","","","","","","","","","","","","","",""
"1987","West Germany","3.19","3","860","2","2","4","5","7","3.1","3.28","1","9","3","3"
"1988","East Germany","","","","","","","","","","","","","",""
"1988","West Germany","3.13","3","821","1","2","4","6","9","3.01","3.25","0","11","3","3"
"1989","East Germany","","","","","","","","","","","","","",""
"1989","West Germany","3.25","3","800","2","2","4","6","9","3.14","3.36","0","10","3","3"
"1990","East Germany","3.23","3","4371","2","2","4","5","7","3.19","3.27","1","10","3","3"
"1990","West Germany","3.17","3","728","1","2","4","5","7","2.93","3.41","0","60","3","3"
"1991","East Germany","3.2","3","272","1","2","4","6","8","2.99","3.41","1","11","3","3"
"1991","West Germany","3.42","3","858","1","2","5","6","9","3.31","3.53","1","10","3","3"
"1992","East Germany","3.07","3","316","1","2","4","5","8","2.9","3.24","1","8","3","3"
"1992","West Germany","3.42","3","836","2","2","4","6","9","3.31","3.53","0","10","3","3"
"1993","East Germany","3.24","3","285","2","2","4","5","7","3.06","3.42","1","8","3","3"
"1993","West Germany","3.46","3","982","1","2","4","6","8","3.36","3.56","1","11","3","3"
"1994","East Germany","3.15","3","343","2","2","4","5","9","2.98","3.32","1","10","3","3"
"1994","West Germany","3.36","3","996","1","2","4","6","10","3.25","3.47","1","10","3","3"
"1995","East Germany","3.3","3","364","2","2","4","5","8","3.14","3.46","1","8","3","4"
"1995","West Germany","3.37","3","1497","2","2","4","6","8","3.29","3.45","1","9","3","3"
"1996","East Germany","3.12","3","441","1","2","4","5","8","2.99","3.25","1","9","3","3"
"1996","West Germany","3.44","3","1146","2","2","4","6","8","3.35","3.53","1","11","3","3"
"1997","East Germany","3.02","3","437","1","2","4","5","7","2.89","3.15","1","8","3","3"
"1997","West Germany","3.48","3","1028","2","2","4","6","9","3.38","3.58","1","11","3","3"
"1998","East Germany","3.43","3","3827","2","3","4","5","8","3.38","3.48","1","13","3","3"
"1998","West Germany","3.88","4","10248","2","3","5","6","9","3.85","3.91","1","18","4","4"
"1999","East Germany","3.38","3","405","2","2","4","5","14","3.22","3.54","1","14","3","3"
"1999","West Germany","3.61","3","1167","2","2","4","6","11","3.5","3.72","1","13","3","3"
"2000","East Germany","3.53","3","2558","2","3","4","5","8","3.47","3.59","1","10","3","3"
"2000","West Germany","4.05","4","9645","2","3","5","6","10","4.01","4.09","1","15","4","4"
"2001","East Germany","3.23","3","527","2","2","4","5","8","3.12","3.34","1","9","3","3"
"2001","West Germany","3.87","3","1651","2","3","5","7","10","3.78","3.96","1","13","3","4"
"2002","East Germany","3.45","3","5405","2","3","4","5","8","3.41","3.49","1","11","3","4"
"2002","West Germany","4.02","4","17512","2","3","5","6","9","3.99","4.05","1","19","4","4"
"2003","East Germany","3.48","3","5354","2","3","4","5","8","3.44","3.52","1","13","3","4"
"2003","West Germany","4.01","4","16877","2","3","5","6","9","3.98","4.04","1","16","4","4"
"2004","East Germany","3.46","3","5239","2","3","4","5","8","3.42","3.5","1","14","3","4"
"2004","West Germany","4.02","4","16439","2","3","5","6","9","3.99","4.05","1","18","4","4"
"2005","East Germany","3.48","3","5055","2","3","4","5","8","3.44","3.52","1","20","3","4"
"2005","West Germany","4.01","4","15738","2","3","5","6","9","3.98","4.04","1","25","4","4"
"2006","East Germany","3.44","3","5378","2","2","4","5","8","3.4","3.48","1","15","3","4"
"2006","West Germany","4.01","4","16964","2","3","5","6","9","3.98","4.04","1","22","4","4"
"2007","East Germany","3.51","3","5108","2","3","4","5","8","3.47","3.55","1","12","3","4"
"2007","West Germany","4.05","4","15832","2","3","5","6","9","4.02","4.08","1","22","4","4"
"2008","East Germany","3.5","3","4823","2","3","4","5","8","3.46","3.54","1","14","3","4"
"2008","West Germany","4.08","4","14826","2","3","5","6","10","4.05","4.11","1","24","4","4"
"2009","East Germany","3.55","3","4584","2","3","4","5","8","3.51","3.59","1","15","3","4"
"2009","West Germany","4.1","4","13743","2","3","5","6","10","4.07","4.13","1","17","4","4"
