"year","bula_h","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-W?rttemberg","direct migration background","73.97","0","891","0","0","0","0","3068","30.31","117.63","0","6749","0","0"
"1984","Baden-W?rttemberg","indirect migration background","","","","","","","","","","","","","",""
"1984","Baden-W?rttemberg","no migration background","84.29","0","1350","0","0","0","0","2147","31.75","136.83","0","18407","0","0"
"1984","Bavaria","direct migration background","202.7","0","459","0","0","0","0","9203","125.68","279.72","0","9203","0","0"
"1984","Bavaria","indirect migration background","","","","","","","","","","","","","",""
"1984","Bavaria","no migration background","85.61","0","1622","0","0","0","0","3068","52.16","119.06","0","9203","0","0"
"1984","Berlin","direct migration background","100.67","0","117","0","0","0","0","3068","-20.91","222.25","0","3068","0","0"
"1984","Berlin","indirect migration background","","","","","","","","","","","","","",""
"1984","Berlin","no migration background","193.69","0","292","0","0","0","0","5522","47.17","340.21","0","16566","0","0"
"1984","Brandenburg","direct migration background","","","","","","","","","","","","","",""
"1984","Brandenburg","indirect migration background","","","","","","","","","","","","","",""
"1984","Brandenburg","no migration background","","","","","","","","","","","","","",""
"1984","Bremen","direct migration background","90.28","0","34","0","0","0","0","3068","-93.31","273.87","0","3068","0","0"
"1984","Bremen","indirect migration background","","","","","","","","","","","","","",""
"1984","Bremen","no migration background","18.36","0","98","0","0","0","0","0","-43.77","80.49","0","3068","0","0"
"1984","Hamburg","direct migration background","282.73","0","90","0","0","0","0","6749","133.73","431.73","0","6749","0","0"
"1984","Hamburg","indirect migration background","","","","","","","","","","","","","",""
"1984","Hamburg","no migration background","80.63","0","220","0","0","0","0","2045","5.15","156.11","0","6749","0","0"
"1984","Hesse","direct migration background","67.88","0","473","0","0","0","0","3375","35.84","99.92","0","3375","0","0"
"1984","Hesse","indirect migration background","","","","","","","","","","","","","",""
"1984","Hesse","no migration background","209.16","0","767","0","0","0","0","6136","103.65","314.67","0","29450","0","0"
"1984","Lower Saxony","direct migration background","3.17","0","202","0","0","0","0","205","1.17","5.17","0","205","0","0"
"1984","Lower Saxony","indirect migration background","","","","","","","","","","","","","",""
"1984","Lower Saxony","no migration background","103.64","0","1027","0","0","0","0","4295","49.46","157.82","0","9203","0","0"
"1984","Mecklenburg-Western Pomerania","direct migration background","","","","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","no migration background","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","direct migration background","68.65","0","958","0","0","0","0","2045","44.09","93.21","0","6136","0","0"
"1984","North Rhine-Westphalia","indirect migration background","278.71","0","40","0","0","0","0","3068","123.57","433.85","0","3068","0","0"
"1984","North Rhine-Westphalia","no migration background","97.8","0","2272","0","0","0","0","3681","72.54","123.06","0","9408","0","0"
"1984","Rhineland-Palatinate,Saarland","direct migration background","0","0","153","0","0","0","0","0","0","0","0","0","0","0"
"1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","","","","","","","","","",""
"1984","Rhineland-Palatinate,Saarland","no migration background","64.41","0","696","0","0","0","0","2761","25.37","103.45","0","7976","0","0"
"1984","Saxony","direct migration background","","","","","","","","","","","","","",""
"1984","Saxony","indirect migration background","","","","","","","","","","","","","",""
"1984","Saxony","no migration background","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","direct migration background","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","indirect migration background","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","no migration background","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","direct migration background","0","0","40","0","0","0","0","0","0","0","0","0","0","0"
"1984","Schleswig-Holstein","indirect migration background","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","no migration background","29.04","0","342","0","0","0","0","1595","-4.19","62.27","0","3681","0","0"
"1984","Thuringia","direct migration background","","","","","","","","","","","","","",""
"1984","Thuringia","indirect migration background","","","","","","","","","","","","","",""
"1984","Thuringia","no migration background","","","","","","","","","","","","","",""
"1985","Baden-W?rttemberg","direct migration background","43.36","0","797","0","0","0","0","1790","26.41","60.31","0","4908","0","0"
"1985","Baden-W?rttemberg","indirect migration background","0","0","34","0","0","0","0","0","0","0","0","0","0","0"
"1985","Baden-W?rttemberg","no migration background","78.56","0","1226","0","0","0","0","4160","44.63","112.49","0","9203","0","0"
"1985","Bavaria","direct migration background","35.78","0","395","0","0","0","0","2021","14.9","56.66","0","3681","0","0"
"1985","Bavaria","indirect migration background","208.34","0","31","0","0","0","0","3485","-21.25","437.93","0","3485","0","0"
"1985","Bavaria","no migration background","98.21","0","1489","0","0","0","0","2071","50.8","145.62","0","24542","0","0"
"1985","Berlin","direct migration background","0","0","102","0","0","0","0","0","0","0","0","0","0","0"
"1985","Berlin","indirect migration background","","","","","","","","","","","","","",""
"1985","Berlin","no migration background","183.35","0","262","0","0","0","0","7593","22.05","344.65","0","13498","0","0"
"1985","Brandenburg","direct migration background","","","","","","","","","","","","","",""
"1985","Brandenburg","indirect migration background","","","","","","","","","","","","","",""
"1985","Brandenburg","no migration background","","","","","","","","","","","","","",""
"1985","Bremen","direct migration background","","","","","","","","","","","","","",""
"1985","Bremen","indirect migration background","","","","","","","","","","","","","",""
