"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","99.21","0","12231","0","0","0","0","3681","85.49","112.93","0","29450","0","0"
"1985","98.13","0","11087","0","0","0","0","3375","81.47","114.79","0","61355","0","0"
"1986","94.46","0","10643","0","0","0","0","3681","80.18","108.74","0","25769","0","0"
"1987","95.31","0","10513","0","0","0","0","3681","80.84","109.78","0","20615","0","0"
"1988","105.23","0","10022","0","0","0","0","3681","90.3","120.16","0","22824","0","0"
"1989","104.24","0","9709","0","0","0","0","3681","87.76","120.72","0","30678","0","0"
"1990","123.23","0","9517","0","0","0","0","4681","106.33","140.13","0","25309","0","0"
"1991","131.74","0","9466","0","0","0","0","4295","113.08","150.4","0","33745","0","0"
"1992","91.01","0","13391","0","0","0","0","3068","79.06","102.96","0","31291","0","0"
"1993","106.13","0","13178","0","0","0","0","3681","93.15","119.11","0","30678","0","0"
"1994","125.1","0","12944","0","0","0","0","4295","108.09","142.11","0","29450","0","0"
"1995","151.61","0","13370","0","0","0","0","5522","133.78","169.44","0","27303","0","0"
"1996","139.77","0","13125","0","0","0","0","4418","121.27","158.27","0","47949","0","0"
"1997","154.53","0","12915","0","0","0","0","5829","137.22","171.84","0","24900","0","0"
"1998","123.85","0","14327","0","0","0","0","4602","108.61","139.09","0","21474","0","0"
"1999","140.17","0","13768","0","0","0","0","4602","123.04","157.3","0","22701","0","0"
"2000","157.51","0","24266","0","0","0","0","5166","141.8","173.22","0","38040","0","0"
"2001","174.87","0","22063","0","0","0","0","6136","160.04","189.7","0","32150","0","0"
"2002","154.51","0","23157","0","0","0","0","5400","141.09","167.93","0","34800","0","0"
"2003","161.84","0","22297","0","0","0","0","5400","145.98","177.7","0","36000","0","0"
"2004","155.05","0","21733","0","0","0","0","5400","140.27","169.83","0","30000","0","0"
"2005","185.35","0","20812","0","0","0","0","6000","169.1","201.6","0","40800","0","0"
"2006","173.1","0","22381","0","0","0","0","5400","154.88","191.32","0","64000","0","0"
"2007","205.01","0","20965","0","0","0","0","6800","185.64","224.38","0","48000","0","0"
"2008","194.42","0","19686","0","0","0","0","6000","173.27","215.57","0","50000","0","0"
"2009","185.83","0","18363","0","0","0","0","6000","166.05","205.61","0","28000","0","0"
"2010","275.34","0","24432","0","0","0","0","7920","248.11","302.57","0","107199","0","0"
"2011","255.97","0","29015","0","0","0","0","7200","231.25","280.69","0","72000","0","0"
"2012","239.7","0","28276","0","0","0","0","7008","217.57","261.83","0","72000","0","0"
"2013","267.08","0","31316","0","0","0","0","7726","241.92","292.24","0","102384","0","0"
"2014","262.7","0","27786","0","0","0","0","8400","241.28","284.12","0","57600","0","0"
"2015","290.9","0","27512","0","0","0","0","7800","268.52","313.28","0","51552","0","0"
"2016","263","0","24957","0","0","0","0","8028","238.96","287.04","0","108000","0","0"
"2017","290.67","0","29452","0","0","0","0","8400","267.66","313.68","0","59712","0","0"
"2018","289.08","0","29890","0","0","0","0","7680","264.2","313.96","0","60000","0","0"
"2019","312.59","0","29667","0","0","0","0","8400","288.48","336.7","0","112800","0","0"
