"ple0008","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very good","1992","1-pers.-HH","157","0.104712461734021","0.088373570911689","0.121051352556352"
"Very good","1992","(Married) couple without C. ","329","0.0893986819315863","0.0796358756706486","0.0991614881925241"
"Very good","1992","Single parent ","117","0.160278567822457","0.131833759773974","0.188723375870939"
"Very good","1992","Couple + C. LE 16 ","615","0.183803306857385","0.170576336832018","0.197030276882752"
"Very good","1992","Couple + C. GT 16 ","501","0.171041988790586","0.156927457162618","0.185156520418553"
"Very good","1992","Couple + C. LE and GT 16","274","0.217114920921839","0.193369074497165","0.240860767346513"
"Good","1992","1-pers.-HH","429","0.289985367161727","0.265771519394693","0.314199214928762"
"Good","1992","(Married) couple without C. ","1141","0.328873254135501","0.312797863802763","0.344948644468238"
"Good","1992","Single parent ","266","0.427907161989273","0.389544768547755","0.466269555430791"
"Good","1992","Couple + C. LE 16 ","1739","0.51702990381048","0.499964984244721","0.534094823376238"
"Good","1992","Couple + C. GT 16 ","1118","0.407883430144276","0.389462121689008","0.426304738599544"
"Good","1992","Couple + C. LE and GT 16","499","0.442340359492726","0.413734387979196","0.470946331006256"
"Satisfactory","1992","1-pers.-HH","443","0.337210288842919","0.311982429334174","0.362438148351665"
"Satisfactory","1992","(Married) couple without C. ","1155","0.362304340560299","0.345857273059134","0.378751408061463"
"Satisfactory","1992","Single parent ","173","0.291264072916725","0.256036449483863","0.326491696349587"
"Satisfactory","1992","Couple + C. LE 16 ","704","0.225857219311904","0.211577692503771","0.240136746120036"
"Satisfactory","1992","Couple + C. GT 16 ","746","0.284859923623512","0.267941493151881","0.301778354095143"
"Satisfactory","1992","Couple + C. LE and GT 16","260","0.236890201596986","0.212401775402687","0.261378627791286"
"Less good","1992","1-pers.-HH","227","0.186504572876806","0.165718884282289","0.207290261471324"
"Less good","1992","(Married) couple without C. ","468","0.153768397204319","0.141425328690327","0.166111465718312"
"Less good","1992","Single parent ","55","0.0754418806797203","0.0549646593918901","0.0959191019675504"
"Less good","1992","Couple + C. LE 16 ","199","0.0602244595226177","0.052100180735927","0.0683487383093084"
"Less good","1992","Couple + C. GT 16 ","288","0.106551609793042","0.0949861320021249","0.11811708758396"
"Less good","1992","Couple + C. LE and GT 16","95","0.0777076424972683","0.0622885084855133","0.0931267765090232"
"Poor","1992","1-pers.-HH","93","0.0815873093845261","0.0669799282901682","0.096194690478884"
"Poor","1992","(Married) couple without C. ","188","0.0656553261682954","0.0571804470067495","0.0741302053298413"
"Poor","1992","Single parent ","28","","",""
"Poor","1992","Couple + C. LE 16 ","37","0.0130851104976137","0.00920436786744633","0.016965853127781"
"Poor","1992","Couple + C. GT 16 ","81","0.0296630476485844","0.0233036203640917","0.036022474933077"
"Poor","1992","Couple + C. LE and GT 16","30","0.0259468754911798","0.0167904141291583","0.0351033368532013"
"Very good","1993","1-pers.-HH","","","",""
"Very good","1993","(Married) couple without C. ","","","",""
"Very good","1993","Single parent ","","","",""
"Very good","1993","Couple + C. LE 16 ","","","",""
"Very good","1993","Couple + C. GT 16 ","","","",""
"Very good","1993","Couple + C. LE and GT 16","","","",""
"Good","1993","1-pers.-HH","","","",""
"Good","1993","(Married) couple without C. ","","","",""
"Good","1993","Single parent ","","","",""
"Good","1993","Couple + C. LE 16 ","","","",""
"Good","1993","Couple + C. GT 16 ","","","",""
"Good","1993","Couple + C. LE and GT 16","","","",""
"Satisfactory","1993","1-pers.-HH","","","",""
"Satisfactory","1993","(Married) couple without C. ","","","",""
"Satisfactory","1993","Single parent ","","","",""
"Satisfactory","1993","Couple + C. LE 16 ","","","",""
"Satisfactory","1993","Couple + C. GT 16 ","","","",""
"Satisfactory","1993","Couple + C. LE and GT 16","","","",""
"Less good","1993","1-pers.-HH","","","",""
"Less good","1993","(Married) couple without C. ","","","",""
"Less good","1993","Single parent ","","","",""
"Less good","1993","Couple + C. LE 16 ","","","",""
"Less good","1993","Couple + C. GT 16 ","","","",""
"Less good","1993","Couple + C. LE and GT 16","","","",""
"Poor","1993","1-pers.-HH","","","",""
"Poor","1993","(Married) couple without C. ","","","",""
"Poor","1993","Single parent ","","","",""
"Poor","1993","Couple + C. LE 16 ","","","",""
"Poor","1993","Couple + C. GT 16 ","","","",""
"Poor","1993","Couple + C. LE and GT 16","","","",""
"Very good","1994","1-pers.-HH","104","0.0649754406916086","0.0521100001902879","0.0778408811929294"
"Very good","1994","(Married) couple without C. ","262","0.0629855306528598","0.0548184648698976","0.0711525964358221"
"Very good","1994","Single parent ","73","0.11932675380879","0.0929445902230675","0.145708917394513"
"Very good","1994","Couple + C. LE 16 ","334","0.107240067196068","0.0962064322110717","0.118273702181065"
"Very good","1994","Couple + C. GT 16 ","294","0.104727983463338","0.0926254107031069","0.116830556223568"
"Very good","1994","Couple + C. LE and GT 16","181","0.14479120442136","0.124721992820673","0.164860416022048"
"Good","1994","1-pers.-HH","451","0.28228285513638","0.258788829094322","0.305776881178438"
"Good","1994","(Married) couple without C. ","1159","0.328701110764751","0.312909331718347","0.344492889811155"
"Good","1994","Single parent ","224","0.377972749952246","0.33851166289237","0.417433837012122"
"Good","1994","Couple + C. LE 16 ","1498","0.487760051390982","0.46993574803598","0.505584354745983"
"Good","1994","Couple + C. GT 16 ","1012","0.404258442105501","0.384861765542598","0.423655118668404"
"Good","1994","Couple + C. LE and GT 16","542","0.478564543078957","0.450074462266772","0.507054623891143"
"Satisfactory","1994","1-pers.-HH","475","0.347619963014149","0.322763391794416","0.372476534233883"
"Satisfactory","1994","(Married) couple without C. ","1223","0.368887348934749","0.352666527913996","0.385108169955503"
"Satisfactory","1994","Single parent ","180","0.318309596696633","0.280399704409462","0.356219488983804"
"Satisfactory","1994","Couple + C. LE 16 ","852","0.295746607256592","0.279472503223519","0.312020711289666"
"Satisfactory","1994","Couple + C. GT 16 ","770","0.333466679335621","0.31483268403515","0.352100674636092"
"Satisfactory","1994","Couple + C. LE and GT 16","324","0.269232102761356","0.243934679100895","0.294529526421817"
"Less good","1994","1-pers.-HH","273","0.214415281909065","0.192993138829364","0.235837424988767"
"Less good","1994","(Married) couple without C. ","589","0.184366753402821","0.171330245483978","0.197403261321665"
"Less good","1994","Single parent ","79","0.140651487493105","0.112357710656026","0.168945264330185"
"Less good","1994","Couple + C. LE 16 ","294","0.0955878702380155","0.0851031388105087","0.106072601665522"
"Less good","1994","Couple + C. GT 16 ","303","0.12852622737614","0.115298298008109","0.141754156744172"
"Less good","1994","Couple + C. LE and GT 16","116","0.0945550572357921","0.0778673548101896","0.111242759661395"
"Poor","1994","1-pers.-HH","107","0.0907064592487963","0.0757161809766407","0.105696737520952"
"Poor","1994","(Married) couple without C. ","166","0.0550592562448187","0.0473911174233955","0.0627273950662419"
"Poor","1994","Single parent ","24","","",""
"Poor","1994","Couple + C. LE 16 ","43","0.0136654039183423","0.00952544436565164","0.017805363471033"
"Poor","1994","Couple + C. GT 16 ","80","0.0290206677193996","0.0223858725482948","0.0356554628905044"
"Poor","1994","Couple + C. LE and GT 16","18","","",""
"Very good","1995","1-pers.-HH","112","0.0604733603716545","0.0482214873210898","0.0727252334222193"
"Very good","1995","(Married) couple without C. ","225","0.0530352443641963","0.0456256163201881","0.0604448724082044"
"Very good","1995","Single parent ","93","0.151672722699059","0.123346204732466","0.179999240665652"
"Very good","1995","Couple + C. LE 16 ","337","0.0975447238651921","0.0871868713553998","0.107902576374985"
"Very good","1995","Couple + C. GT 16 ","289","0.103192195956235","0.0912626204407359","0.115121771471733"
"Very good","1995","Couple + C. LE and GT 16","169","0.131073594147875","0.11233494966689","0.14981223862886"
"Good","1995","1-pers.-HH","476","0.301381625889525","0.277796169995775","0.324967081783276"
"Good","1995","(Married) couple without C. ","1203","0.334416386259439","0.318817546459847","0.350015226059032"
"Good","1995","Single parent ","256","0.394479515972873","0.355884219357314","0.433074812588433"
"Good","1995","Couple + C. LE 16 ","1608","0.489649326399395","0.472197860480068","0.507100792318722"
"Good","1995","Couple + C. GT 16 ","1018","0.399544957287989","0.380337275636731","0.418752638939246"
"Good","1995","Couple + C. LE and GT 16","590","0.496796706275101","0.469034743897251","0.524558668652952"
"Satisfactory","1995","1-pers.-HH","504","0.354340756428241","0.329755308329825","0.378926204526656"
"Satisfactory","1995","(Married) couple without C. ","1289","0.368607920056127","0.352657243500717","0.384558596611537"
"Satisfactory","1995","Single parent ","165","0.295987133682263","0.259938861827683","0.332035405536843"
"Satisfactory","1995","Couple + C. LE 16 ","908","0.320696944166442","0.304402701435917","0.336991186896968"
"Satisfactory","1995","Couple + C. GT 16 ","775","0.320807548259691","0.302502512212258","0.339112584307123"
"Satisfactory","1995","Couple + C. LE and GT 16","329","0.249302668762584","0.225282006905617","0.27332333061955"
"Less good","1995","1-pers.-HH","259","0.204521134962457","0.183788747935964","0.225253521988949"
"Less good","1995","(Married) couple without C. ","628","0.188407040543652","0.175478041248026","0.201336039839278"
"Less good","1995","Single parent ","81","0.121951971718049","0.0961108546158301","0.147793088820268"
"Less good","1995","Couple + C. LE 16 ","256","0.080408955109784","0.070915931464408","0.0899019787551599"
"Less good","1995","Couple + C. GT 16 ","335","0.144303335031263","0.130523310908596","0.158083359153931"
"Less good","1995","Couple + C. LE and GT 16","132","0.099663095100938","0.0830305472650569","0.116295642936819"
"Poor","1995","1-pers.-HH","103","0.0792831223481227","0.0653957745393131","0.0931704701569323"
