"ple0008","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very good","1992","1-pers.-HH","(0) in school","","","",""
"Very good","1992","1-pers.-HH","(1a) inadequately completed","6","","",""
"Very good","1992","1-pers.-HH","(1b) general elementary school","20","","",""
"Very good","1992","1-pers.-HH","(1c) basic vocational qualification","48","0.0976527725527809","0.0695301809686891","0.125775364136873"
"Very good","1992","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"Very good","1992","1-pers.-HH","(2a) intermediate vocational","31","0.103985805343796","0.0662987421951933","0.141672868492399"
"Very good","1992","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Very good","1992","1-pers.-HH","(2c_voc) vocational maturity certificate","13","","",""
"Very good","1992","1-pers.-HH","(3a) lower tertiary education","8","","",""
"Very good","1992","1-pers.-HH","(3b) higher tertiary education","16","","",""
"Very good","1992","(Married) couple without C. ","(0) in school","","","",""
"Very good","1992","(Married) couple without C. ","(1a) inadequately completed","5","","",""
"Very good","1992","(Married) couple without C. ","(1b) general elementary school","33","0.0469312524300079","0.0296145989502888","0.0642479059097271"
"Very good","1992","(Married) couple without C. ","(1c) basic vocational qualification","98","0.0649416926953833","0.0520427167514916","0.077840668639275"
"Very good","1992","(Married) couple without C. ","(2b) intermediate general qualification","9","","",""
"Very good","1992","(Married) couple without C. ","(2a) intermediate vocational","72","0.120128529265698","0.0913717632925122","0.148885295238884"
"Very good","1992","(Married) couple without C. ","(2c_gen) general maturity certificate","15","","",""
"Very good","1992","(Married) couple without C. ","(2c_voc) vocational maturity certificate","24","","",""
"Very good","1992","(Married) couple without C. ","(3a) lower tertiary education","26","","",""
"Very good","1992","(Married) couple without C. ","(3b) higher tertiary education","32","0.15654978290146","0.104328494690603","0.208771071112316"
"Very good","1992","Single parent ","(0) in school","9","","",""
"Very good","1992","Single parent ","(1a) inadequately completed","4","","",""
"Very good","1992","Single parent ","(1b) general elementary school","12","","",""
"Very good","1992","Single parent ","(1c) basic vocational qualification","27","","",""
"Very good","1992","Single parent ","(2b) intermediate general qualification","13","","",""
"Very good","1992","Single parent ","(2a) intermediate vocational","21","","",""
"Very good","1992","Single parent ","(2c_gen) general maturity certificate","9","","",""
"Very good","1992","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Very good","1992","Single parent ","(3a) lower tertiary education","8","","",""
"Very good","1992","Single parent ","(3b) higher tertiary education","3","","",""
"Very good","1992","Couple + C. LE 16 ","(0) in school","","","",""
"Very good","1992","Couple + C. LE 16 ","(1a) inadequately completed","20","","",""
"Very good","1992","Couple + C. LE 16 ","(1b) general elementary school","50","0.124541050771135","0.0908959847320121","0.158186116810257"
"Very good","1992","Couple + C. LE 16 ","(1c) basic vocational qualification","142","0.170094414544863","0.145242479879986","0.194946349209739"
"Very good","1992","Couple + C. LE 16 ","(2b) intermediate general qualification","9","","",""
"Very good","1992","Couple + C. LE 16 ","(2a) intermediate vocational","207","0.20251972271017","0.177796293553623","0.227243151866717"
"Very good","1992","Couple + C. LE 16 ","(2c_gen) general maturity certificate","9","","",""
"Very good","1992","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","31","0.175531387213327","0.111595736033717","0.239467038392938"
"Very good","1992","Couple + C. LE 16 ","(3a) lower tertiary education","70","0.215451211954868","0.17033452526526","0.260567898644476"
"Very good","1992","Couple + C. LE 16 ","(3b) higher tertiary education","63","0.191975453981334","0.147333044629794","0.236617863332874"
"Very good","1992","Couple + C. GT 16 ","(0) in school","32","0.452413531929003","0.334973085753693","0.569853978104314"
"Very good","1992","Couple + C. GT 16 ","(1a) inadequately completed","25","","",""
"Very good","1992","Couple + C. GT 16 ","(1b) general elementary school","73","0.118860906213947","0.0888933838825976","0.148828428545297"
"Very good","1992","Couple + C. GT 16 ","(1c) basic vocational qualification","102","0.107960868082805","0.0873278223890602","0.128593913776549"
"Very good","1992","Couple + C. GT 16 ","(2b) intermediate general qualification","68","0.360318263404908","0.291508129762046","0.42912839704777"
"Very good","1992","Couple + C. GT 16 ","(2a) intermediate vocational","83","0.167976829991316","0.132095175137541","0.20385848484509"
