"ple0008","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Very good","1992","16-34 y.","1475","0.278520836282563","0.266083179735073","0.290958492830054"
"Very good","1992","35-65 y.","626","0.0922551855435476","0.0854260807409062","0.0990842903461889"
"Very good","1992","66 and older","32","0.0204294079951573","0.0132125082467785","0.0276463077435361"
"Good","1992","16-34 y.","2480","0.501776029148058","0.487903198561451","0.515648859734664"
"Good","1992","35-65 y.","2789","0.389825903843144","0.378316608718407","0.401335198967881"
"Good","1992","66 and older","275","0.183164284268924","0.163431304605581","0.202897263932268"
"Satisfactory","1992","16-34 y.","802","0.172680667369","0.162193546731376","0.183167788006624"
"Satisfactory","1992","35-65 y.","2307","0.346063843663976","0.334837656340618","0.357290030987335"
"Satisfactory","1992","66 and older","636","0.408976525553353","0.383894854478206","0.4340581966285"
"Less good","1992","16-34 y.","188","0.0375326407267112","0.0322591840315481","0.0428060974218743"
"Less good","1992","35-65 y.","903","0.12970812527689","0.121779414944799","0.137636835608982"
"Less good","1992","66 and older","350","0.255642371527152","0.233388163013071","0.277896580041232"
"Poor","1992","16-34 y.","45","0.00948982647366815","0.00679980080533717","0.0121798521419991"
"Poor","1992","35-65 y.","273","0.0421469416724416","0.0374054065246591","0.0468884768202242"
"Poor","1992","66 and older","183","0.131787410655413","0.114530823297987","0.14904399801284"
"Very good","1993","16-34 y.","","","",""
"Very good","1993","35-65 y.","","","",""
"Very good","1993","66 and older","","","",""
"Good","1993","16-34 y.","","","",""
"Good","1993","35-65 y.","","","",""
"Good","1993","66 and older","","","",""
"Satisfactory","1993","16-34 y.","","","",""
"Satisfactory","1993","35-65 y.","","","",""
"Satisfactory","1993","66 and older","","","",""
"Less good","1993","16-34 y.","","","",""
"Less good","1993","35-65 y.","","","",""
"Less good","1993","66 and older","","","",""
"Poor","1993","16-34 y.","","","",""
"Poor","1993","35-65 y.","","","",""
"Poor","1993","66 and older","","","",""
"Very good","1994","16-34 y.","962","0.189109119712563","0.178044850706005","0.200173388719121"
"Very good","1994","35-65 y.","359","0.0521187403111646","0.0467532005762982","0.0574842800460311"
"Very good","1994","66 and older","23","","",""
"Good","1994","16-34 y.","2486","0.513936198636877","0.499814513463663","0.528057883810092"
"Good","1994","35-65 y.","2465","0.366642432963289","0.355009604165288","0.378275261761291"
"Good","1994","66 and older","284","0.173835099603106","0.154745920231017","0.192924278975195"
"Satisfactory","1994","16-34 y.","1006","0.218104644703329","0.206436761974321","0.229772527432338"
"Satisfactory","1994","35-65 y.","2449","0.378797608277123","0.367087533580857","0.390507682973388"
"Satisfactory","1994","66 and older","638","0.410697149991734","0.385916353067531","0.435477946915937"
"Less good","1994","16-34 y.","312","0.0702810608339764","0.0630586818315573","0.0775034398363956"
"Less good","1994","35-65 y.","1069","0.162894974578644","0.153980755374189","0.171809193783099"
"Less good","1994","66 and older","387","0.268969429384901","0.246633481702484","0.291305377067318"
"Poor","1994","16-34 y.","46","0.00856897611325337","0.00596473614346635","0.0111732160830404"
"Poor","1994","35-65 y.","250","0.0395462438697792","0.0348415611373264","0.044250926602232"
"Poor","1994","66 and older","182","0.130076566228799","0.113132205041142","0.147020927416456"
"Very good","1995","16-34 y.","917","0.172925509302861","0.162385939613618","0.183465078992104"
"Very good","1995","35-65 y.","359","0.0482436575481443","0.043164051088484","0.0533232640078045"
"Very good","1995","66 and older","36","0.0259449133435273","0.0180231693043684","0.0338666573826861"
