"ple0008","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","(Married) couple without C. ","West Germany","834","0.331165659421165","0.31217788694252","0.35015343189981","2"
"Good","1992","Single parent ","East Germany","86","0.464806610508683","0.391120900024365","0.538492320993001","2"
"Good","1992","1-pers.-HH","East Germany","93","0.318488519145672","0.266030697070272","0.370946341221073","2"
"Good","1992","Single parent ","West Germany","180","0.419733914436354","0.374780962028798","0.464686866843911","2"
"Good","1992","1-pers.-HH","West Germany","336","0.284443403397999","0.257103172574935","0.311783634221064","2"
"Good","1992","(Married) couple without C. ","East Germany","307","0.320074799022968","0.289946501890496","0.350203096155441","2"
"Good","1992","Couple + C. LE 16 ","West Germany","1047","0.503621952277534","0.482145312254241","0.525098592300828","2"
"Good","1992","Couple + C. LE 16 ","East Germany","692","0.55950303424242","0.531553828879108","0.587452239605733","2"
"Good","1992","Couple + C. GT 16 ","West Germany","768","0.399602168069175","0.377956081716478","0.421248254421872","2"
"Good","1992","Couple + C. LE and GT 16","West Germany","340","0.43078379548404","0.39721673902458","0.4643508519435","2"
"Good","1992","Couple + C. LE and GT 16","East Germany","159","0.485790793171427","0.431200588926214","0.540380997416639","2"
"Good","1992","Couple + C. GT 16 ","East Germany","350","0.448238892587847","0.413043912841844","0.483433872333849","2"
"Less good","1992","(Married) couple without C. ","East Germany","128","0.149496018312694","0.126467220628294","0.172524815997093","4"
"Less good","1992","Couple + C. LE 16 ","West Germany","155","0.0694299712627411","0.0585116529484386","0.0803482895770435","4"
"Less good","1992","1-pers.-HH","West Germany","172","0.186975162750215","0.163347208826156","0.210603116674273","4"
"Less good","1992","(Married) couple without C. ","West Germany","340","0.154881549891724","0.14028498292673","0.169478116856717","4"
"Less good","1992","Single parent ","East Germany","10","","","","4"
"Less good","1992","1-pers.-HH","East Germany","55","0.184084258480014","0.140446969765468","0.227721547194559","4"
"Less good","1992","Single parent ","West Germany","45","0.0773621181345469","0.0530267784617756","0.101697457807318","4"
"Less good","1992","Couple + C. LE 16 ","East Germany","44","0.0310636365683952","0.0212964258609054","0.040830847275885","4"
"Less good","1992","Couple + C. LE and GT 16","West Germany","81","0.0875670091971469","0.0684061181866062","0.106727900207688","4"
"Less good","1992","Couple + C. GT 16 ","West Germany","232","0.112193467624147","0.0982462086578917","0.126140726590402","4"
"Less good","1992","Couple + C. GT 16 ","East Germany","56","0.079058242266412","0.0599623450299815","0.0981541395028425","4"
"Less good","1992","Couple + C. LE and GT 16","East Germany","14","","","","4"
"Poor","1992","1-pers.-HH","West Germany","73","0.0858466647980115","0.0688699565028693","0.102823373093154","5"
"Poor","1992","1-pers.-HH","East Germany","20","","","","5"
"Poor","1992","(Married) couple without C. ","West Germany","134","0.0642769067209229","0.0543824205079181","0.0741713929339277","5"
"Poor","1992","Couple + C. LE 16 ","East Germany","5","","","","5"
"Poor","1992","(Married) couple without C. ","East Germany","54","0.0709458224473749","0.0543651473217249","0.087526497573025","5"
"Poor","1992","Single parent ","West Germany","25","","","","5"
"Poor","1992","Single parent ","East Germany","3","","","","5"
"Poor","1992","Couple + C. LE 16 ","West Germany","32","0.015845459805005","0.0104814223505188","0.0212094972594913","5"
"Poor","1992","Couple + C. GT 16 ","West Germany","68","0.0320227971840766","0.0242422864171007","0.0398033079510526","5"
"Poor","1992","Couple + C. GT 16 ","East Germany","13","","","","5"
"Poor","1992","Couple + C. LE and GT 16","West Germany","28","","","","5"
"Poor","1992","Couple + C. LE and GT 16","East Germany","2","","","","5"
"Satisfactory","1992","(Married) couple without C. ","West Germany","788","0.354171350647629","0.3348757875631","0.373466913732159","3"
"Satisfactory","1992","Single parent ","West Germany","135","0.309024337241023","0.26693371821993","0.351114956262117","3"
"Satisfactory","1992","1-pers.-HH","East Germany","105","0.33730854649884","0.284073684300513","0.390543408697167","3"
"Satisfactory","1992","Couple + C. LE 16 ","East Germany","223","0.182148113073933","0.160418777375895","0.203877448771972","3"
"Satisfactory","1992","1-pers.-HH","West Germany","338","0.337191184276206","0.308541852775915","0.365840515776497","3"
"Satisfactory","1992","(Married) couple without C. ","East Germany","367","0.393519478269497","0.361968718534177","0.425070238004817","3"
"Satisfactory","1992","Couple + C. LE 16 ","West Germany","481","0.239655344668502","0.221319262916243","0.257991426420762","3"
"Satisfactory","1992","Couple + C. LE and GT 16","West Germany","191","0.240203377436968","0.211244402405618","0.269162352468319","3"
"Satisfactory","1992","Single parent ","East Germany","38","0.211082485991522","0.150794100174738","0.271370871808306","3"
"Satisfactory","1992","Couple + C. GT 16 ","East Germany","213","0.283799444658861","0.251893360499719","0.315705528818003","3"
"Satisfactory","1992","Couple + C. GT 16 ","West Germany","533","0.285077542347214","0.26512689996415","0.305028184730279","3"
"Satisfactory","1992","Couple + C. LE and GT 16","East Germany","69","0.224433304634118","0.178863897027504","0.270002712240733","3"
"Very good","1992","1-pers.-HH","West Germany","127","0.105543584777569","0.0869236669169356","0.124163502638202","1"
"Very good","1992","1-pers.-HH","East Germany","30","0.100437871094749","0.0665931368782225","0.134282605311276","1"
"Very good","1992","(Married) couple without C. ","West Germany","264","0.0955045333185595","0.0836466470622376","0.107362419574881","1"
"Very good","1992","(Married) couple without C. ","East Germany","65","0.0659638819474664","0.0499331551070113","0.0819946087879216","1"
"Very good","1992","Single parent ","West Germany","78","0.143168780066107","0.111265936169659","0.175071623962556","1"
"Very good","1992","Single parent ","East Germany","39","0.237523473033724","0.174651330011383","0.300395616056066","1"
"Very good","1992","Couple + C. LE 16 ","West Germany","367","0.171447271986217","0.155257784747231","0.187636759225202","1"
"Very good","1992","Couple + C. LE 16 ","East Germany","248","0.222944221069015","0.199511593601074","0.246376848536956","1"
"Very good","1992","Couple + C. GT 16 ","West Germany","366","0.171104024775387","0.154461238381372","0.187746811169402","1"
"Very good","1992","Couple + C. GT 16 ","East Germany","135","0.170739680901751","0.14411017649517","0.197369185308332","1"
"Very good","1992","Couple + C. LE and GT 16","West Germany","196","0.211055264373609","0.183394362358126","0.238716166389092","1"
"Very good","1992","Couple + C. LE and GT 16","East Germany","78","0.239898051337305","0.193256881117784","0.286539221556826","1"
"Good","1993","1-pers.-HH","West Germany","","","","","2"
"Good","1993","(Married) couple without C. ","East Germany","","","","","2"
"Good","1993","1-pers.-HH","East Germany","","","","","2"
"Good","1993","(Married) couple without C. ","West Germany","","","","","2"
"Good","1993","Single parent ","West Germany","","","","","2"
"Good","1993","Single parent ","East Germany","","","","","2"
"Good","1993","Couple + C. LE 16 ","West Germany","","","","","2"
"Good","1993","Couple + C. LE 16 ","East Germany","","","","","2"
"Good","1993","Couple + C. LE and GT 16","West Germany","","","","","2"
"Good","1993","Couple + C. GT 16 ","East Germany","","","","","2"
"Good","1993","Couple + C. GT 16 ","West Germany","","","","","2"
"Good","1993","Couple + C. LE and GT 16","East Germany","","","","","2"
"Less good","1993","(Married) couple without C. ","West Germany","","","","","4"
"Less good","1993","1-pers.-HH","East Germany","","","","","4"
"Less good","1993","Single parent ","West Germany","","","","","4"
"Less good","1993","1-pers.-HH","West Germany","","","","","4"
"Less good","1993","(Married) couple without C. ","East Germany","","","","","4"
"Less good","1993","Couple + C. LE 16 ","East Germany","","","","","4"
"Less good","1993","Single parent ","East Germany","","","","","4"
"Less good","1993","Couple + C. LE 16 ","West Germany","","","","","4"
"Less good","1993","Couple + C. GT 16 ","West Germany","","","","","4"
"Less good","1993","Couple + C. LE and GT 16","East Germany","","","","","4"
"Less good","1993","Couple + C. LE and GT 16","West Germany","","","","","4"
"Less good","1993","Couple + C. GT 16 ","East Germany","","","","","4"
"Poor","1993","1-pers.-HH","West Germany","","","","","5"
"Poor","1993","1-pers.-HH","East Germany","","","","","5"
"Poor","1993","(Married) couple without C. ","West Germany","","","","","5"
"Poor","1993","(Married) couple without C. ","East Germany","","","","","5"
"Poor","1993","Single parent ","West Germany","","","","","5"
"Poor","1993","Single parent ","East Germany","","","","","5"
"Poor","1993","Couple + C. LE 16 ","West Germany","","","","","5"
"Poor","1993","Couple + C. LE 16 ","East Germany","","","","","5"
"Poor","1993","Couple + C. GT 16 ","West Germany","","","","","5"
"Poor","1993","Couple + C. GT 16 ","East Germany","","","","","5"
"Poor","1993","Couple + C. LE and GT 16","West Germany","","","","","5"
"Poor","1993","Couple + C. LE and GT 16","East Germany","","","","","5"
"Satisfactory","1993","(Married) couple without C. ","East Germany","","","","","3"
"Satisfactory","1993","Couple + C. LE 16 ","West Germany","","","","","3"
"Satisfactory","1993","1-pers.-HH","West Germany","","","","","3"
