"ple0008","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","(0) in school","West Germany","70","0.451692373379444","0.370690024585998","0.53269472217289"
"Very good","1992","(0) in school","East Germany","1","","",""
"Very good","1992","(1a) inadequately completed","West Germany","66","0.123466489158085","0.0983877226011642","0.148545255715005"
"Very good","1992","(1a) inadequately completed","East Germany","27","","",""
"Very good","1992","(1b) general elementary school","West Germany","251","0.0871638305386869","0.0748108376856952","0.0995168233916786"
"Very good","1992","(1b) general elementary school","East Germany","19","","",""
"Very good","1992","(1c) basic vocational qualification","West Germany","401","0.108720881803348","0.0978381168495606","0.119603646757136"
"Very good","1992","(1c) basic vocational qualification","East Germany","89","0.0762115787326354","0.0608292633234655","0.0915938941418052"
"Very good","1992","(2b) intermediate general qualification","West Germany","99","0.208433606079976","0.166876757682018","0.249990454477934"
"Very good","1992","(2b) intermediate general qualification","East Germany","65","0.357030277731872","0.28624555387767","0.427815001586073"
"Very good","1992","(2a) intermediate vocational","West Germany","220","0.136157220704775","0.117620926783766","0.154693514625783"
"Very good","1992","(2a) intermediate vocational","East Germany","247","0.201152102222607","0.178965353797201","0.223338850648014"
"Very good","1992","(2c_gen) general maturity certificate","West Germany","102","0.257839272789796","0.211272969727779","0.304405575851812"
"Very good","1992","(2c_gen) general maturity certificate","East Germany","15","","",""
"Very good","1992","(2c_voc) vocational maturity certificate","West Germany","86","0.180240361450878","0.1446064398524","0.215874283049355"
"Very good","1992","(2c_voc) vocational maturity certificate","East Germany","16","","",""
"Very good","1992","(3a) lower tertiary education","West Germany","58","0.213538672907738","0.163821686855899","0.263255658959577"
"Very good","1992","(3a) lower tertiary education","East Germany","86","0.129814449086405","0.103098921662122","0.156529976510688"
"Very good","1992","(3b) higher tertiary education","West Germany","89","0.160753185399167","0.127791186086967","0.193715184711368"
"Very good","1992","(3b) higher tertiary education","East Germany","56","0.195688213567281","0.151453481397684","0.239922945736878"
"Good","1992","(0) in school","West Germany","59","0.428835608002976","0.348281058752315","0.509390157253636"
"Good","1992","(0) in school","East Germany","1","","",""
"Good","1992","(1a) inadequately completed","West Germany","221","0.32777503773313","0.291990730242592","0.363559345223669"
"Good","1992","(1a) inadequately completed","East Germany","21","","",""
"Good","1992","(1b) general elementary school","West Germany","665","0.265331423942245","0.24599626741089","0.284666580473599"
"Good","1992","(1b) general elementary school","East Germany","61","0.184754875667522","0.139377749223848","0.230132002111196"
