"ple0008","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","16-34 y.","Couple + C. LE 16 ","904","0.515723473460822","0.492064394094929","0.539382552826714","2"
"Good","1992","16-34 y.","1-pers.-HH","176","0.518502164099488","0.465547100442584","0.571457227756391","2"
"Good","1992","66 and older","1-pers.-HH","85","0.159600303289029","0.127815260338118","0.19138534623994","2"
"Good","1992","66 and older","(Married) couple without C. ","150","0.208962012513517","0.178971900934783","0.238952124092251","2"
"Good","1992","66 and older","Couple + C. GT 16 ","17","","","","2"
"Good","1992","16-34 y.","Couple + C. GT 16 ","507","0.483330083538301","0.453401796747381","0.51325837032922","2"
"Good","1992","16-34 y.","(Married) couple without C. ","383","0.516291312342744","0.480478646991736","0.552103977693752","2"
"Good","1992","16-34 y.","Single parent ","145","0.458290512700447","0.40291451667665","0.513666508724243","2"
"Good","1992","16-34 y.","Couple + C. LE and GT 16","182","0.433763782045849","0.387404009489022","0.480123554602675","2"
"Good","1992","35-65 y.","Single parent ","112","0.418683163084884","0.361804632419528","0.47556169375024","2"
"Good","1992","35-65 y.","Couple + C. LE 16 ","835","0.518316085063355","0.493670709459747","0.542961460666964","2"
"Good","1992","35-65 y.","1-pers.-HH","168","0.321245033265329","0.280192059866826","0.362298006663832","2"
"Good","1992","35-65 y.","(Married) couple without C. ","608","0.32349566871943","0.302044629187923","0.344946708250937","2"
"Good","1992","35-65 y.","Couple + C. GT 16 ","594","0.378178530668319","0.354153043013448","0.402204018323191","2"
"Good","1992","35-65 y.","Couple + C. LE and GT 16","317","0.44885771329481","0.412476926923933","0.485238499665687","2"
"Good","1992","66 and older","Single parent ","9","","","","2"
"Good","1992","66 and older","Couple + C. LE 16 ","","","","","2"
"Good","1992","66 and older","Couple + C. LE and GT 16","","","","","2"
"Less good","1992","16-34 y.","(Married) couple without C. ","35","0.0501887431757774","0.0345421745817321","0.0658353117698227","4"
"Less good","1992","16-34 y.","1-pers.-HH","16","","","","4"
"Less good","1992","66 and older","Couple + C. LE 16 ","","","","","4"
"Less good","1992","66 and older","Couple + C. LE and GT 16","","","","","4"
"Less good","1992","35-65 y.","Couple + C. GT 16 ","232","0.144276498977557","0.126868235655524","0.16168476229959","4"
"Less good","1992","16-34 y.","Single parent ","12","","","","4"
"Less good","1992","16-34 y.","Couple + C. LE 16 ","71","0.0376331362027831","0.0286236874590285","0.0466425849465378","4"
"Less good","1992","16-34 y.","Couple + C. GT 16 ","34","0.0313128014404913","0.0208822781327868","0.0417433247481959","4"
"Less good","1992","16-34 y.","Couple + C. LE and GT 16","10","","","","4"
"Less good","1992","35-65 y.","1-pers.-HH","79","0.153508796076624","0.12181693421227","0.185200657940978","4"
"Less good","1992","35-65 y.","(Married) couple without C. ","281","0.150275780509706","0.133890181897641","0.16666137912177","4"
"Less good","1992","35-65 y.","Single parent ","34","0.0892086739532774","0.0563452995585894","0.122072048347965","4"
"Less good","1992","35-65 y.","Couple + C. LE 16 ","128","0.0810588653933808","0.0675971274368468","0.0945206033499148","4"
"Less good","1992","35-65 y.","Couple + C. LE and GT 16","85","0.113617620511763","0.0904052619366373","0.136829979086889","4"
"Less good","1992","66 and older","1-pers.-HH","132","0.278704564285475","0.23979184012036","0.31761728845059","4"
"Less good","1992","66 and older","(Married) couple without C. ","152","0.232808935343641","0.201634590806076","0.263983279881206","4"
"Less good","1992","66 and older","Single parent ","9","","","","4"
"Less good","1992","66 and older","Couple + C. GT 16 ","22","","","","4"
"Poor","1992","35-65 y.","Couple + C. LE 16 ","26","","","","5"
"Poor","1992","16-34 y.","1-pers.-HH","2","","","","5"
"Poor","1992","16-34 y.","(Married) couple without C. ","6","","","","5"
"Poor","1992","16-34 y.","Single parent ","6","","","","5"
"Poor","1992","16-34 y.","Couple + C. LE 16 ","11","","","","5"
"Poor","1992","16-34 y.","Couple + C. GT 16 ","13","","","","5"
"Poor","1992","16-34 y.","Couple + C. LE and GT 16","2","","","","5"
"Poor","1992","35-65 y.","1-pers.-HH","32","0.0663960286803102","0.0445072115083516","0.0882848458522689","5"
"Poor","1992","35-65 y.","(Married) couple without C. ","97","0.0541019147397361","0.0437288447466797","0.0644749847327925","5"
"Poor","1992","35-65 y.","Single parent ","18","","","","5"
"Poor","1992","35-65 y.","Couple + C. GT 16 ","56","0.0314880159172886","0.0228360247443798","0.0401400070901973","5"
"Poor","1992","35-65 y.","Couple + C. LE and GT 16","27","","","","5"
"Poor","1992","66 and older","1-pers.-HH","59","0.128168876393423","0.0991573568906596","0.157180395896186","5"
"Poor","1992","66 and older","(Married) couple without C. ","85","0.128387342304924","0.103711691874525","0.153062992735323","5"
"Poor","1992","66 and older","Single parent ","4","","","","5"
"Poor","1992","66 and older","Couple + C. LE 16 ","","","","","5"
"Poor","1992","66 and older","Couple + C. GT 16 ","12","","","","5"
"Poor","1992","66 and older","Couple + C. LE and GT 16","1","","","","5"
"Satisfactory","1992","66 and older","(Married) couple without C. ","303","0.4099932219646","0.373713614503221","0.446272829425979","3"
"Satisfactory","1992","66 and older","Couple + C. GT 16 ","46","0.458153836386137","0.359508009327337","0.556799663444936","3"
"Satisfactory","1992","66 and older","Couple + C. LE and GT 16","","","","","3"
"Satisfactory","1992","16-34 y.","1-pers.-HH","55","0.155472155008567","0.117068873676492","0.193875436340641","3"
"Satisfactory","1992","16-34 y.","Single parent ","65","0.245707490927425","0.197861341484183","0.293553640370666","3"
"Satisfactory","1992","16-34 y.","Couple + C. LE 16 ","318","0.19701260935996","0.178182880926295","0.215842337793626","3"
"Satisfactory","1992","16-34 y.","(Married) couple without C. ","128","0.176369416522031","0.149056054346079","0.203682778697983","3"
"Satisfactory","1992","16-34 y.","Couple + C. GT 16 ","131","0.134715394261901","0.114267835851592","0.15516295267221","3"
"Satisfactory","1992","16-34 y.","Couple + C. LE and GT 16","45","0.120262132440807","0.0898352872979315","0.150688977583683","3"
"Satisfactory","1992","35-65 y.","1-pers.-HH","167","0.354081603881952","0.31203698642612","0.396126221337785","3"
"Satisfactory","1992","35-65 y.","(Married) couple without C. ","724","0.403721561529694","0.381223539263549","0.426219583795838","3"
"Satisfactory","1992","35-65 y.","Single parent ","93","0.322144025280959","0.26826832548196","0.376019725079957","3"
"Satisfactory","1992","35-65 y.","Couple + C. GT 16 ","569","0.363315292913372","0.339486888147625","0.387143697679118","3"
"Satisfactory","1992","35-65 y.","Couple + C. LE and GT 16","215","0.307214367148735","0.273469628710058","0.340959105587411","3"
"Satisfactory","1992","66 and older","1-pers.-HH","221","0.410119473601811","0.367432022044831","0.45280692515879","3"
"Satisfactory","1992","66 and older","Single parent ","15","","","","3"
"Satisfactory","1992","66 and older","Couple + C. LE 16 ","1","","","","3"
"Satisfactory","1992","35-65 y.","Couple + C. LE 16 ","385","0.25232378289363","0.230900160611467","0.273747405175792","3"
"Very good","1992","16-34 y.","1-pers.-HH","93","0.277740650995141","0.230272605646093","0.325208696344189","1"
"Very good","1992","16-34 y.","(Married) couple without C. ","196","0.248798004106613","0.217816742090319","0.279779266122907","1"
"Very good","1992","16-34 y.","Single parent ","83","0.239819403382657","0.192365881993592","0.287272924771722","1"
"Very good","1992","16-34 y.","Couple + C. LE 16 ","410","0.244641544703209","0.224290611218149","0.264992478188268","1"
"Very good","1992","16-34 y.","Couple + C. GT 16 ","386","0.336938230384724","0.308630471024136","0.365245989745313","1"
"Very good","1992","16-34 y.","Couple + C. LE and GT 16","200","0.419173998143889","0.373017162914967","0.465330833372811","1"
"Very good","1992","35-65 y.","1-pers.-HH","51","0.104768538095784","0.0778437058003988","0.13169337039117","1"
"Very good","1992","35-65 y.","(Married) couple without C. ","117","0.0684050745014346","0.0568296604518639","0.0799804885510052","1"
"Very good","1992","35-65 y.","Single parent ","32","0.105080380365794","0.0697252858650348","0.140435474866554","1"
"Very good","1992","35-65 y.","Couple + C. LE 16 ","205","0.127751240591636","0.111286315114789","0.144216166068483","1"
"Very good","1992","35-65 y.","Couple + C. GT 16 ","114","0.0827416615234629","0.0690927231418969","0.096390599905029","1"
"Very good","1992","35-65 y.","Couple + C. LE and GT 16","74","0.0972653307299648","0.0755910365475357","0.118939624912394","1"
"Very good","1992","66 and older","1-pers.-HH","13","","","","1"
"Very good","1992","66 and older","(Married) couple without C. ","16","","","","1"
"Very good","1992","66 and older","Single parent ","2","","","","1"
"Very good","1992","66 and older","Couple + C. LE 16 ","","","","","1"
"Very good","1992","66 and older","Couple + C. GT 16 ","1","","","","1"
"Very good","1992","66 and older","Couple + C. LE and GT 16","","","","","1"
"Good","1993","16-34 y.","Couple + C. GT 16 ","","","","","2"
"Good","1993","16-34 y.","1-pers.-HH","","","","","2"
"Good","1993","16-34 y.","Couple + C. LE 16 ","","","","","2"
"Good","1993","16-34 y.","(Married) couple without C. ","","","","","2"
"Good","1993","16-34 y.","Single parent ","","","","","2"
"Good","1993","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"Good","1993","35-65 y.","1-pers.-HH","","","","","2"
"Good","1993","35-65 y.","(Married) couple without C. ","","","","","2"
"Good","1993","35-65 y.","Single parent ","","","","","2"
"Good","1993","35-65 y.","Couple + C. LE 16 ","","","","","2"
"Good","1993","66 and older","1-pers.-HH","","","","","2"
"Good","1993","66 and older","(Married) couple without C. ","","","","","2"
"Good","1993","66 and older","Couple + C. GT 16 ","","","","","2"
"Good","1993","35-65 y.","Couple + C. GT 16 ","","","","","2"
"Good","1993","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"Good","1993","66 and older","Single parent ","","","","","2"
"Good","1993","66 and older","Couple + C. LE 16 ","","","","","2"
"Good","1993","66 and older","Couple + C. LE and GT 16","","","","","2"
"Less good","1993","16-34 y.","Couple + C. LE 16 ","","","","","4"
"Less good","1993","16-34 y.","(Married) couple without C. ","","","","","4"
"Less good","1993","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"Less good","1993","16-34 y.","1-pers.-HH","","","","","4"
"Less good","1993","16-34 y.","Single parent ","","","","","4"
"Less good","1993","16-34 y.","Couple + C. GT 16 ","","","","","4"
"Less good","1993","35-65 y.","1-pers.-HH","","","","","4"
"Less good","1993","35-65 y.","(Married) couple without C. ","","","","","4"
"Less good","1993","35-65 y.","Single parent ","","","","","4"
"Less good","1993","35-65 y.","Couple + C. LE 16 ","","","","","4"
"Less good","1993","35-65 y.","Couple + C. GT 16 ","","","","","4"
"Less good","1993","66 and older","Couple + C. LE 16 ","","","","","4"
"Less good","1993","66 and older","Couple + C. LE and GT 16","","","","","4"
"Less good","1993","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"Less good","1993","66 and older","1-pers.-HH","","","","","4"
"Less good","1993","66 and older","(Married) couple without C. ","","","","","4"
"Less good","1993","66 and older","Single parent ","","","","","4"
"Less good","1993","66 and older","Couple + C. GT 16 ","","","","","4"
"Poor","1993","16-34 y.","(Married) couple without C. ","","","","","5"
"Poor","1993","16-34 y.","1-pers.-HH","","","","","5"
"Poor","1993","16-34 y.","Single parent ","","","","","5"
"Poor","1993","16-34 y.","Couple + C. LE 16 ","","","","","5"
"Poor","1993","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Poor","1993","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"Poor","1993","35-65 y.","Couple + C. LE 16 ","","","","","5"
"Poor","1993","35-65 y.","1-pers.-HH","","","","","5"
"Poor","1993","35-65 y.","(Married) couple without C. ","","","","","5"
"Poor","1993","35-65 y.","Single parent ","","","","","5"
"Poor","1993","35-65 y.","Couple + C. GT 16 ","","","","","5"
"Poor","1993","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"Poor","1993","66 and older","1-pers.-HH","","","","","5"
"Poor","1993","66 and older","(Married) couple without C. ","","","","","5"
"Poor","1993","66 and older","Single parent ","","","","","5"
"Poor","1993","66 and older","Couple + C. LE 16 ","","","","","5"
"Poor","1993","66 and older","Couple + C. GT 16 ","","","","","5"
"Poor","1993","66 and older","Couple + C. LE and GT 16","","","","","5"
"Satisfactory","1993","16-34 y.","1-pers.-HH","","","","","3"
"Satisfactory","1993","16-34 y.","Couple + C. LE 16 ","","","","","3"
"Satisfactory","1993","16-34 y.","Single parent ","","","","","3"
"Satisfactory","1993","16-34 y.","(Married) couple without C. ","","","","","3"
"Satisfactory","1993","16-34 y.","Couple + C. GT 16 ","","","","","3"
"Satisfactory","1993","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"Satisfactory","1993","35-65 y.","1-pers.-HH","","","","","3"
"Satisfactory","1993","35-65 y.","(Married) couple without C. ","","","","","3"
"Satisfactory","1993","35-65 y.","Single parent ","","","","","3"
"Satisfactory","1993","66 and older","(Married) couple without C. ","","","","","3"
