"ple0008","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very good","1992","lower secondary degree","(0) in school","","","",""
"Very good","1992","lower secondary degree","(1a) inadequately completed","","","",""
"Very good","1992","lower secondary degree","(1b) general elementary school","215","0.0780048503510135","0.0654184954673696","0.0905912052346573"
"Very good","1992","lower secondary degree","(1c) basic vocational qualification","450","0.102448929870907","0.0930126614000636","0.111885198341751"
"Very good","1992","lower secondary degree","(2b) intermediate general qualification","3","","",""
"Very good","1992","lower secondary degree","(2a) intermediate vocational","3","","",""
"Very good","1992","lower secondary degree","(2c_gen) general maturity certificate","5","","",""
"Very good","1992","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Very good","1992","lower secondary degree","(3a) lower tertiary education","6","","",""
"Very good","1992","lower secondary degree","(3b) higher tertiary education","1","","",""
"Very good","1992","secondary school degree","(0) in school","","","",""
"Very good","1992","secondary school degree","(1a) inadequately completed","","","",""
"Very good","1992","secondary school degree","(1b) general elementary school","","","",""
"Very good","1992","secondary school degree","(1c) basic vocational qualification","","","",""
"Very good","1992","secondary school degree","(2b) intermediate general qualification","161","0.233776665779455","0.197980277092364","0.269573054466547"
"Very good","1992","secondary school degree","(2a) intermediate vocational","464","0.155619929411761","0.141569670697903","0.16967018812562"
"Very good","1992","secondary school degree","(2c_gen) general maturity certificate","3","","",""
"Very good","1992","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very good","1992","secondary school degree","(3a) lower tertiary education","71","0.140891114328558","0.109570892620197","0.172211336036918"
"Very good","1992","secondary school degree","(3b) higher tertiary education","4","","",""
"Very good","1992","college entrance qualification","(0) in school","","","",""
"Very good","1992","college entrance qualification","(1a) inadequately completed","","","",""
"Very good","1992","college entrance qualification","(1b) general elementary school","","","",""
"Very good","1992","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very good","1992","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very good","1992","college entrance qualification","(2a) intermediate vocational","","","",""
"Very good","1992","college entrance qualification","(2c_gen) general maturity certificate","99","0.257042856112386","0.209162458035819","0.304923254188953"
"Very good","1992","college entrance qualification","(2c_voc) vocational maturity certificate","90","0.183202649901122","0.147221118641412","0.219184181160831"
"Very good","1992","college entrance qualification","(3a) lower tertiary education","62","0.215885209278545","0.168367760566039","0.26340265799105"
"Very good","1992","college entrance qualification","(3b) higher tertiary education","131","0.171229947856981","0.143142262321258","0.199317633392705"
"Very good","1992","Other degree","(0) in school","","","",""
"Very good","1992","Other degree","(1a) inadequately completed","","","",""
"Very good","1992","Other degree","(1b) general elementary school","55","0.124679585599606","0.0968162943339009","0.152542876865311"
"Very good","1992","Other degree","(1c) basic vocational qualification","40","0.114615032311834","0.0796575930176533","0.149572471606014"
"Very good","1992","Other degree","(2b) intermediate general qualification","","","",""
"Very good","1992","Other degree","(2a) intermediate vocational","","","",""
