"ple0008","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","Mecklenburg-Western Pomerania","East Germany","207","0.483827911249718","0.435863095416427","0.531792727083009","2"
"Good","1992","Saxony","West Germany","","","","","2"
"Good","1992","Saxony","East Germany","526","0.406764082340474","0.378507671358674","0.435020493322274","2"
"Good","1992","Saxony-Anhalt","West Germany","","","","","2"
"Good","1992","Saxony-Anhalt","East Germany","333","0.376284538364938","0.34222105765676","0.410348019073117","2"
"Good","1992","Schleswig-Holstein","West Germany","104","0.371446585545467","0.314023976753843","0.428869194337091","2"
"Good","1992","Schleswig-Holstein","East Germany","","","","","2"
"Good","1992","Hamburg","West Germany","58","0.311911071083671","0.238503634979704","0.385318507187638","2"
"Good","1992","Hamburg","East Germany","","","","","2"
"Good","1992","Lower Saxony","West Germany","363","0.351865912127764","0.32185959462649","0.381872229629038","2"
"Good","1992","Lower Saxony","East Germany","","","","","2"
"Good","1992","Bremen","West Germany","36","0.374669923927199","0.276294709636763","0.473045138217634","2"
"Good","1992","Bremen","East Germany","","","","","2"
"Good","1992","North Rhine-Westphalia","West Germany","1023","0.39305288621421","0.374035724224346","0.412070048204074","2"
"Good","1992","North Rhine-Westphalia","East Germany","","","","","2"
"Good","1992","Hesse","West Germany","400","0.394716373880718","0.363748302723418","0.425684445038017","2"
"Good","1992","Hesse","East Germany","","","","","2"
"Good","1992","Rhineland-Palatinate,Saarland","West Germany","251","0.360639541325315","0.32400542828703","0.3972736543636","2"
"Good","1992","Thuringia","West Germany","","","","","2"
"Good","1992","Thuringia","East Germany","325","0.425316107566936","0.388184396475859","0.462447818658014","2"
"Good","1992","Brandenburg","East Germany","284","0.41264081503435","0.375251375943979","0.450030254124722","2"
"Good","1992","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Good","1992","Baden-Württemberg","East Germany","","","","","2"
"Good","1992","Bavaria","West Germany","668","0.387195362604588","0.363656187745403","0.410734537463774","2"
"Good","1992","Bavaria","East Germany","","","","","2"
"Good","1992","Berlin","West Germany","112","0.313449343971236","0.262859096283327","0.364039591659145","2"
"Good","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Good","1992","Baden-Württemberg","West Germany","722","0.39265717607301","0.369919820476418","0.415394531669602","2"
"Good","1992","Berlin","East Germany","132","0.470038537501046","0.411578652935914","0.528498422066178","2"
"Good","1992","Brandenburg","West Germany","","","","","2"
"Less good","1992","Schleswig-Holstein","East Germany","","","","","4"
"Less good","1992","Hamburg","West Germany","20","","","","4"
"Less good","1992","Hamburg","East Germany","","","","","4"
"Less good","1992","Lower Saxony","West Germany","115","0.129744922271377","0.10863142682244","0.150858417720313","4"
"Less good","1992","Lower Saxony","East Germany","","","","","4"
"Less good","1992","Bremen","West Germany","10","","","","4"
"Less good","1992","Bremen","East Germany","","","","","4"
"Less good","1992","North Rhine-Westphalia","West Germany","293","0.125221371710779","0.112334927547605","0.138107815873953","4"
"Less good","1992","North Rhine-Westphalia","East Germany","","","","","4"
"Less good","1992","Hesse","West Germany","108","0.136491255194321","0.114740321425932","0.15824218896271","4"
"Less good","1992","Baden-Württemberg","East Germany","","","","","4"
"Less good","1992","Bavaria","West Germany","154","0.10576708200195","0.0909054765401858","0.120628687463714","4"
"Less good","1992","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"Less good","1992","Mecklenburg-Western Pomerania","East Germany","28","","","","4"
"Less good","1992","Saxony","West Germany","","","","","4"
"Less good","1992","Thuringia","East Germany","63","0.122409991387045","0.0977933497231051","0.147026633050986","4"
"Less good","1992","Schleswig-Holstein","West Germany","42","0.164183978447494","0.120160498198906","0.208207458696082","4"
"Less good","1992","Hesse","East Germany","","","","","4"
"Less good","1992","Rhineland-Palatinate,Saarland","West Germany","80","0.133907865068631","0.107926544967909","0.159889185169353","4"
"Less good","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"Less good","1992","Baden-Württemberg","West Germany","219","0.12797724203185","0.11242308370992","0.143531400353779","4"
"Less good","1992","Saxony","East Germany","97","0.107231669261708","0.0894340094005675","0.125029329122849","4"
"Less good","1992","Saxony-Anhalt","West Germany","","","","","4"
"Less good","1992","Saxony-Anhalt","East Germany","75","0.109005000369977","0.0870921725969113","0.130917828143042","4"
"Less good","1992","Thuringia","West Germany","","","","","4"
"Less good","1992","Brandenburg","East Germany","51","0.0923983318947419","0.0704050173975437","0.11439164639194","4"
"Less good","1992","Bavaria","East Germany","","","","","4"
"Less good","1992","Berlin","West Germany","63","0.189056393348361","0.146355413453869","0.231757373242853","4"
"Less good","1992","Berlin","East Germany","23","","","","4"
"Less good","1992","Brandenburg","West Germany","","","","","4"
"Poor","1992","Mecklenburg-Western Pomerania","East Germany","12","","","","5"
"Poor","1992","Schleswig-Holstein","East Germany","","","","","5"
"Poor","1992","Hamburg","West Germany","10","","","","5"
"Poor","1992","Lower Saxony","West Germany","45","0.0548395042425746","0.0405343939153755","0.0691446145697737","5"
"Poor","1992","Lower Saxony","East Germany","","","","","5"
"Poor","1992","Bremen","West Germany","7","","","","5"
"Poor","1992","North Rhine-Westphalia","West Germany","83","0.0368823035365104","0.0295440369316126","0.0442205701414082","5"
"Poor","1992","Hamburg","East Germany","","","","","5"
"Poor","1992","Bremen","East Germany","","","","","5"
"Poor","1992","Saxony","West Germany","","","","","5"
"Poor","1992","Saxony","East Germany","25","","","","5"
"Poor","1992","Saxony-Anhalt","West Germany","","","","","5"
"Poor","1992","Saxony-Anhalt","East Germany","32","0.0625073752498437","0.0454862940738039","0.0795284564258836","5"
"Poor","1992","Thuringia","West Germany","","","","","5"
"Poor","1992","Thuringia","East Germany","20","","","","5"
"Poor","1992","Schleswig-Holstein","West Germany","8","","","","5"
"Poor","1992","Brandenburg","East Germany","19","","","","5"
"Poor","1992","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Poor","1992","North Rhine-Westphalia","East Germany","","","","","5"
"Poor","1992","Hesse","West Germany","48","0.0564748155350057","0.0418498018527674","0.071099829217244","5"
"Poor","1992","Hesse","East Germany","","","","","5"
"Poor","1992","Rhineland-Palatinate,Saarland","West Germany","29","","","","5"
"Poor","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Poor","1992","Baden-Württemberg","West Germany","69","0.0519250399846674","0.0415944294174833","0.0622556505518515","5"
"Poor","1992","Baden-Württemberg","East Germany","","","","","5"
"Poor","1992","Bavaria","West Germany","71","0.0523334042521461","0.0415716661405751","0.0630951423637171","5"
"Poor","1992","Bavaria","East Germany","","","","","5"
"Poor","1992","Berlin","West Germany","21","","","","5"
"Poor","1992","Berlin","East Germany","2","","","","5"
"Poor","1992","Brandenburg","West Germany","","","","","5"
"Satisfactory","1992","Mecklenburg-Western Pomerania","East Germany","107","0.273563970177582","0.230777328446019","0.316350611909144","3"
"Satisfactory","1992","Saxony","West Germany","","","","","3"
"Satisfactory","1992","Saxony","East Germany","350","0.330178930955331","0.303127760455993","0.357230101454668","3"
"Satisfactory","1992","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Satisfactory","1992","Schleswig-Holstein","East Germany","","","","","3"
"Satisfactory","1992","Hamburg","West Germany","44","0.279627545130946","0.208510959154889","0.350744131107004","3"
"Satisfactory","1992","Hamburg","East Germany","","","","","3"
"Satisfactory","1992","Brandenburg","East Germany","198","0.323145235112609","0.287626491117222","0.358663979107996","3"
"Satisfactory","1992","Schleswig-Holstein","West Germany","71","0.269102484889309","0.216397616191903","0.321807353586715","3"
"Satisfactory","1992","Saxony-Anhalt","West Germany","","","","","3"
"Satisfactory","1992","Saxony-Anhalt","East Germany","209","0.28036033453044","0.248777332162168","0.311943336898712","3"
"Satisfactory","1992","Thuringia","West Germany","","","","","3"
"Satisfactory","1992","Thuringia","East Germany","170","0.266963367245159","0.233738503382672","0.300188231107647","3"
"Satisfactory","1992","Lower Saxony","West Germany","293","0.324008940904334","0.294602623262801","0.353415258545867","3"
"Satisfactory","1992","Lower Saxony","East Germany","","","","","3"
"Satisfactory","1992","Bremen","West Germany","28","","","","3"
"Satisfactory","1992","Bremen","East Germany","","","","","3"
"Satisfactory","1992","North Rhine-Westphalia","West Germany","696","0.301686493665099","0.283815531289786","0.319557456040411","3"
"Satisfactory","1992","North Rhine-Westphalia","East Germany","","","","","3"
"Satisfactory","1992","Hesse","West Germany","245","0.278472601930486","0.250073162222816","0.306872041638157","3"
"Satisfactory","1992","Hesse","East Germany","","","","","3"
"Satisfactory","1992","Rhineland-Palatinate,Saarland","West Germany","208","0.333840613995335","0.297862799006649","0.36981842898402","3"
"Satisfactory","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Satisfactory","1992","Baden-Württemberg","West Germany","491","0.301586690419965","0.280217967317396","0.322955413522534","3"
"Satisfactory","1992","Baden-Württemberg","East Germany","","","","","3"
"Satisfactory","1992","Bavaria","West Germany","479","0.311344677620377","0.288968452792166","0.333720902448588","3"
"Satisfactory","1992","Bavaria","East Germany","","","","","3"
"Satisfactory","1992","Berlin","West Germany","87","0.319628068229891","0.268772035342618","0.370484101117165","3"
"Satisfactory","1992","Berlin","East Germany","69","0.227081188570779","0.178009998183832","0.276152378957726","3"
"Satisfactory","1992","Brandenburg","West Germany","","","","","3"
"Very good","1992","Schleswig-Holstein","West Germany","47","0.157983412226036","0.114639340387778","0.201327484064294","1"
"Very good","1992","Schleswig-Holstein","East Germany","","","","","1"
"Very good","1992","Hamburg","West Germany","21","","","","1"
"Very good","1992","Hamburg","East Germany","","","","","1"
"Very good","1992","Lower Saxony","West Germany","157","0.13954072045395","0.117768269914878","0.161313170993022","1"
"Very good","1992","Lower Saxony","East Germany","","","","","1"
"Very good","1992","Bremen","West Germany","12","","","","1"
"Very good","1992","Bremen","East Germany","","","","","1"
"Very good","1992","North Rhine-Westphalia","West Germany","439","0.143156944873402","0.129520485058202","0.156793404688601","1"
"Very good","1992","North Rhine-Westphalia","East Germany","","","","","1"
"Very good","1992","Hesse","West Germany","156","0.133844953459469","0.112272927080259","0.15541697983868","1"
"Very good","1992","Hesse","East Germany","","","","","1"
"Very good","1992","Rhineland-Palatinate,Saarland","West Germany","92","0.117081554885336","0.0925525088189922","0.141610600951681","1"
"Very good","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Very good","1992","Baden-Württemberg","West Germany","271","0.125853851490508","0.110410501574319","0.141297201406697","1"
"Very good","1992","Baden-Württemberg","East Germany","","","","","1"
"Very good","1992","Bavaria","West Germany","273","0.143359473520939","0.126424768088728","0.160294178953149","1"
"Very good","1992","Bavaria","East Germany","","","","","1"
"Very good","1992","Berlin","West Germany","40","0.0885625277223426","0.0575786855611815","0.119546369883504","1"
"Very good","1992","Berlin","East Germany","54","0.181109853867835","0.136001919691076","0.226217788044594","1"
"Very good","1992","Brandenburg","West Germany","","","","","1"
"Very good","1992","Brandenburg","East Germany","114","0.144239624861022","0.117556950557192","0.170922299164852","1"
"Very good","1992","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Very good","1992","Mecklenburg-Western Pomerania","East Germany","63","0.131576629916238","0.099132570062502","0.164020689769974","1"
"Very good","1992","Saxony","West Germany","","","","","1"
"Very good","1992","Saxony","East Germany","163","0.126963946223341","0.107813086420972","0.146114806025711","1"
"Very good","1992","Saxony-Anhalt","West Germany","","","","","1"
"Very good","1992","Saxony-Anhalt","East Germany","128","0.171842751484801","0.145317494861857","0.198368008107745","1"
"Very good","1992","Thuringia","West Germany","","","","","1"
"Very good","1992","Thuringia","East Germany","103","0.134368810109032","0.108754054367528","0.159983565850536","1"
"Good","1993","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Good","1993","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Good","1993","Saxony","West Germany","","","","","2"
"Good","1993","Saxony","East Germany","","","","","2"
"Good","1993","Saxony-Anhalt","West Germany","","","","","2"
"Good","1993","Saxony-Anhalt","East Germany","","","","","2"
"Good","1993","Brandenburg","East Germany","","","","","2"
"Good","1993","Thuringia","West Germany","","","","","2"
"Good","1993","Thuringia","East Germany","","","","","2"
"Good","1993","Schleswig-Holstein","West Germany","","","","","2"
"Good","1993","Schleswig-Holstein","East Germany","","","","","2"
"Good","1993","Hamburg","West Germany","","","","","2"
"Good","1993","Hamburg","East Germany","","","","","2"
"Good","1993","Lower Saxony","West Germany","","","","","2"
"Good","1993","Lower Saxony","East Germany","","","","","2"
"Good","1993","Bremen","West Germany","","","","","2"
"Good","1993","Bremen","East Germany","","","","","2"
"Good","1993","North Rhine-Westphalia","West Germany","","","","","2"
"Good","1993","North Rhine-Westphalia","East Germany","","","","","2"
"Good","1993","Hesse","West Germany","","","","","2"
"Good","1993","Hesse","East Germany","","","","","2"
"Good","1993","Rhineland-Palatinate,Saarland","West Germany","","","","","2"
