"ple0008","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","Mecklenburg-Western Pomerania","Female","103","0.463314533389944","0.395710465827001","0.530918600952887","2"
"Good","1992","Saxony","Male","256","0.441068481367969","0.399034743783993","0.483102218951945","2"
"Good","1992","Saxony","Female","270","0.377317612352592","0.339316622250284","0.415318602454901","2"
"Good","1992","Saxony-Anhalt","Male","156","0.365059168201284","0.315936362255417","0.41418197414715","2"
"Good","1992","Saxony-Anhalt","Female","177","0.386934969576967","0.339675344460098","0.434194594693836","2"
"Good","1992","Schleswig-Holstein","Male","53","0.404781471439054","0.32007789084882","0.489485052029288","2"
"Good","1992","Schleswig-Holstein","Female","51","0.340834120489181","0.263147010773466","0.418521230204896","2"
"Good","1992","Hamburg","Male","28","","","","2"
"Good","1992","Hamburg","Female","30","0.284034091232807","0.188166893093643","0.379901289371971","2"
"Good","1992","Lower Saxony","Male","184","0.381341146538061","0.337843798003916","0.424838495072206","2"
"Good","1992","Lower Saxony","Female","179","0.323428765802733","0.282178124682167","0.364679406923298","2"
"Good","1992","Bremen","Male","17","","","","2"
"Good","1992","Bremen","Female","19","","","","2"
"Good","1992","North Rhine-Westphalia","Male","512","0.406139324575034","0.378793423216233","0.433485225933834","2"
"Good","1992","North Rhine-Westphalia","Female","511","0.381507517576803","0.355051043173386","0.40796399198022","2"
"Good","1992","Hesse","Male","205","0.450654891698327","0.40576776903723","0.495542014359424","2"
"Good","1992","Hesse","Female","195","0.342776008384637","0.300534527544417","0.385017489224858","2"
"Good","1992","Rhineland-Palatinate,Saarland","Male","130","0.427952295193367","0.373050746214891","0.482853844171843","2"
"Good","1992","Thuringia","Male","163","0.462270780866997","0.408066142641338","0.516475419092656","2"
"Good","1992","Thuringia","Female","162","0.391660282025931","0.340955263674316","0.442365300377546","2"
"Good","1992","Brandenburg","Female","143","0.374596093296337","0.323669424349992","0.425522762242682","2"
"Good","1992","Mecklenburg-Western Pomerania","Male","104","0.504656411507596","0.436709832731384","0.572602990283807","2"
"Good","1992","Baden-Württemberg","Female","333","0.354708470413716","0.32325917119992","0.386157769627512","2"
"Good","1992","Bavaria","Male","339","0.411363780253949","0.377600896964293","0.445126663543606","2"
"Good","1992","Bavaria","Female","329","0.363650870281405","0.330904673400195","0.396397067162615","2"
"Good","1992","Berlin","Male","125","0.423615486384971","0.365840879761994","0.481390093007949","2"
"Good","1992","Rhineland-Palatinate,Saarland","Female","121","0.298184378615388","0.250121206729092","0.346247550501683","2"
"Good","1992","Baden-Württemberg","Male","389","0.434862689979557","0.402164719057675","0.467560660901439","2"
"Good","1992","Berlin","Female","119","0.327211564437455","0.27596394028562","0.378459188589291","2"
"Good","1992","Brandenburg","Male","141","0.453266315659604","0.398638053083147","0.50789457823606","2"
"Less good","1992","Schleswig-Holstein","Female","29","","","","4"
"Less good","1992","Hamburg","Male","10","","","","4"
"Less good","1992","Hamburg","Female","10","","","","4"
"Less good","1992","Lower Saxony","Male","47","0.108983248694738","0.0810768918318213","0.136889605557655","4"
"Less good","1992","Lower Saxony","Female","68","0.149775390603977","0.118307206478086","0.181243574729867","4"
"Less good","1992","Bremen","Male","3","","","","4"
"Less good","1992","Bremen","Female","7","","","","4"
"Less good","1992","North Rhine-Westphalia","Male","131","0.115522026464072","0.0977233237955163","0.133320729132627","4"
"Less good","1992","North Rhine-Westphalia","Female","162","0.133778514099495","0.115238038661934","0.152318989537056","4"
