"ple0008","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","Not Employed","Part Time","","","","","2"
"Good","1992","Not Employed","Full Time","","","","","2"
"Good","1992","Not Employed","Not Working","1255","0.26612705749619","0.252860892983642","0.279393222008739","2"
"Good","1992","Employed","Full Time","3168","0.469338895907441","0.45729337678439","0.481384415030492","2"
"Good","1992","Employed","Part Time","1121","0.443970739227562","0.424521755121552","0.463419723333573","2"
"Good","1992","Employed","Not Working","","","","","2"
"Less good","1992","Not Employed","Part Time","","","","","4"
"Less good","1992","Not Employed","Full Time","","","","","4"
"Less good","1992","Not Employed","Not Working","749","0.19921350792656","0.187223811543207","0.211203204309914","4"
"Less good","1992","Employed","Full Time","477","0.0752674572170345","0.0688997173634783","0.0816351970705907","4"
"Less good","1992","Employed","Part Time","215","0.0818082635001935","0.0710798327786904","0.0925366942216966","4"
"Less good","1992","Employed","Not Working","","","","","4"
"Poor","1992","Not Employed","Full Time","","","","","5"
"Poor","1992","Not Employed","Part Time","","","","","5"
"Poor","1992","Not Employed","Not Working","348","0.0975939173136103","0.0886854537725251","0.106502380854695","5"
"Poor","1992","Employed","Full Time","93","0.0138660579199013","0.0110436610735291","0.0166884547662735","5"
"Poor","1992","Employed","Part Time","60","0.0275162098885801","0.0211128720412432","0.033919547735917","5"
"Poor","1992","Employed","Not Working","","","","","5"
"Satisfactory","1992","Not Employed","Part Time","","","","","3"
"Satisfactory","1992","Not Employed","Full Time","","","","","3"
"Satisfactory","1992","Not Employed","Not Working","1396","0.354855336968495","0.340492353856803","0.369218320080187","3"
"Satisfactory","1992","Employed","Full Time","1690","0.269867724606072","0.259153768404205","0.280581680807938","3"
"Satisfactory","1992","Employed","Not Working","","","","","3"
"Satisfactory","1992","Employed","Part Time","659","0.274423805867165","0.256956604449423","0.291891007284907","3"
"Very good","1992","Not Employed","Full Time","","","","","1"
"Very good","1992","Not Employed","Part Time","","","","","1"
"Very good","1992","Not Employed","Not Working","515","0.0822101802951441","0.0739645313098073","0.0904558292804808","1"
"Very good","1992","Employed","Full Time","1166","0.171659864349552","0.162558377320169","0.180761351378934","1"
"Very good","1992","Employed","Part Time","452","0.172280981516499","0.15749905429316","0.187062908739838","1"
"Very good","1992","Employed","Not Working","","","","","1"
"Good","1993","Not Employed","Not Working","","","","","2"
"Good","1993","Not Employed","Full Time","","","","","2"
"Good","1993","Not Employed","Part Time","","","","","2"
"Good","1993","Employed","Full Time","","","","","2"
"Good","1993","Employed","Part Time","","","","","2"
"Good","1993","Employed","Not Working","","","","","2"
"Less good","1993","Not Employed","Part Time","","","","","4"
"Less good","1993","Not Employed","Full Time","","","","","4"
"Less good","1993","Not Employed","Not Working","","","","","4"
"Less good","1993","Employed","Full Time","","","","","4"
"Less good","1993","Employed","Not Working","","","","","4"
"Less good","1993","Employed","Part Time","","","","","4"
"Poor","1993","Not Employed","Full Time","","","","","5"
"Poor","1993","Not Employed","Part Time","","","","","5"
