"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Rural Area","Female","2.44","2","841","1","2","3","4","4","2.37","2.51","1","4","2","2"
"1990","Rural Area","Male","2.2","2","796","1","1","3","4","4","2.13","2.27","1","4","2","2"
"1990","Urban Area","Female","2.62","3","2865","1","2","3","4","4","2.58","2.66","1","4","2","3"
"1990","Urban Area","Male","2.39","2","2622","1","2","3","4","4","2.35","2.43","1","4","2","2"
"1991","Rural Area","Female","","","","","","","","","","","","","",""
"1991","Rural Area","Male","","","","","","","","","","","","","",""
"1991","Urban Area","Female","","","","","","","","","","","","","",""
"1991","Urban Area","Male","","","","","","","","","","","","","",""
"1992","Rural Area","Female","2.43","2","2143","1","2","3","4","4","2.39","2.47","1","4","2","2"
"1992","Rural Area","Male","2.2","2","1985","1","1","3","4","4","2.16","2.24","1","4","2","2"
"1992","Urban Area","Female","2.6","3","3537","1","2","3","4","4","2.57","2.63","1","4","3","3"
"1992","Urban Area","Male","2.43","2","3166","1","2","3","4","4","2.4","2.46","1","4","2","3"
"1993","Rural Area","Female","","","","","","","","","","","","","",""
"1993","Rural Area","Male","","","","","","","","","","","","","",""
"1993","Urban Area","Female","","","","","","","","","","","","","",""
"1993","Urban Area","Male","","","","","","","","","","","","","",""
"1994","Rural Area","Female","","","","","","","","","","","","","",""
"1994","Rural Area","Male","","","","","","","","","","","","","",""
"1994","Urban Area","Female","","","","","","","","","","","","","",""
"1994","Urban Area","Male","","","","","","","","","","","","","",""
"1995","Rural Area","Female","2.33","2","2158","1","2","3","4","4","2.29","2.37","1","4","2","2"
"1995","Rural Area","Male","2.14","2","2027","1","1","3","3","4","2.1","2.18","1","4","2","2"
"1995","Urban Area","Female","2.53","3","3718","1","2","3","4","4","2.5","2.56","1","4","2","3"
"1995","Urban Area","Male","2.35","2","3295","1","2","3","4","4","2.32","2.38","1","4","2","2"
"1996","Rural Area","Female","","","","","","","","","","","","","",""
"1996","Rural Area","Male","","","","","","","","","","","","","",""
"1996","Urban Area","Female","","","","","","","","","","","","","",""
"1996","Urban Area","Male","","","","","","","","","","","","","",""
"1997","Rural Area","Female","","","","","","","","","","","","","",""
"1997","Rural Area","Male","","","","","","","","","","","","","",""
"1997","Urban Area","Female","","","","","","","","","","","","","",""
"1997","Urban Area","Male","","","","","","","","","","","","","",""
"1998","Rural Area","Female","","","","","","","","","","","","","",""
"1998","Rural Area","Male","","","","","","","","","","","","","",""
"1998","Urban Area","Female","","","","","","","","","","","","","",""
"1998","Urban Area","Male","","","","","","","","","","","","","",""
"1999","Rural Area","Female","","","","","","","","","","","","","",""
"1999","Rural Area","Male","","","","","","","","","","","","","",""
"1999","Urban Area","Female","","","","","","","","","","","","","",""
"1999","Urban Area","Male","","","","","","","","","","","","","",""
"2000","Rural Area","Female","","","","","","","","","","","","","",""
"2000","Rural Area","Male","","","","","","","","","","","","","",""
