"year","bula_h","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Baden-Württemberg","(Married) couple without C.","4.36","5","805","2","4","5","5","5","4.28","4.44","1","5","5","5"
"2003","Baden-Württemberg","1-pers.-HH","4.2","5","323","2","3","5","5","5","4.06","4.34","1","5","5","5"
"2003","Baden-Württemberg","Couple + C. GT 16 ","4.25","5","463","3","4","5","5","5","4.15","4.35","1","5","5","5"
"2003","Baden-Württemberg","Couple + C. LE 16","3.97","4","607","2","3","5","5","5","3.87","4.07","1","5","4","5"
"2003","Baden-Württemberg","Couple + C. LE and GT 16","4.02","5","294","2","3","5","5","5","3.88","4.16","1","5","5","5"
"2003","Baden-Württemberg","Single parent","4.21","5","132","2","4","5","5","5","3.99","4.43","1","5","5","5"
"2003","Bavaria","(Married) couple without C.","4.17","5","982","2","4","5","5","5","4.09","4.25","1","5","5","5"
"2003","Bavaria","1-pers.-HH","4.1","5","399","2","3","5","5","5","3.97","4.23","1","5","5","5"
"2003","Bavaria","Couple + C. GT 16 ","3.85","4","585","1","3","5","5","5","3.74","3.96","1","5","4","5"
"2003","Bavaria","Couple + C. LE 16","3.84","4","656","2","3","5","5","5","3.74","3.94","1","5","4","4"
"2003","Bavaria","Couple + C. LE and GT 16","3.88","4","253","2","3","5","5","5","3.72","4.04","1","5","4","5"
"2003","Bavaria","Single parent","3.84","4","172","2","3","5","5","5","3.64","4.04","1","5","4","5"
"2003","Berlin","(Married) couple without C.","4.52","5","224","3","4","5","5","5","4.41","4.63","1","5","5","5"
"2003","Berlin","1-pers.-HH","4.49","5","200","3","4","5","5","5","4.35","4.63","1","5","5","5"
"2003","Berlin","Couple + C. GT 16 ","4.22","5","140","3","4","5","5","5","4.06","4.38","1","5","5","5"
"2003","Berlin","Couple + C. LE 16","4.35","5","134","3","4","5","5","5","4.19","4.51","1","5","5","5"
"2003","Berlin","Couple + C. LE and GT 16","4.06","4","47","2","4","5","5","5","3.72","4.4","1","5","4","5"
"2003","Berlin","Single parent","3.89","5","64","2","3","5","5","5","3.55","4.23","1","5","4","5"
"2003","Brandenburg","(Married) couple without C.","4.34","5","345","3","4","5","5","5","4.23","4.45","1","5","5","5"
"2003","Brandenburg","1-pers.-HH","4.33","5","117","3","4","5","5","5","4.11","4.55","1","5","5","5"
"2003","Brandenburg","Couple + C. GT 16 ","4.37","5","190","3","4","5","5","5","4.24","4.5","1","5","5","5"
"2003","Brandenburg","Couple + C. LE 16","4.19","5","151","2","3","5","5","5","4.01","4.37","1","5","4","5"
"2003","Brandenburg","Couple + C. LE and GT 16","4.04","5","63","2","3","5","5","5","3.72","4.36","1","5","4","5"
"2003","Brandenburg","Single parent","3.89","4","47","2","3","5","5","5","3.52","4.26","1","5","4","5"
"2003","Bremen","(Married) couple without C.","4.46","5","63","3","4","5","5","5","4.26","4.66","2","5","5","5"
"2003","Bremen","1-pers.-HH","4.48","5","36","3","4","5","5","5","4.08","4.88","1","5","5","5"
"2003","Bremen","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","Bremen","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","Bremen","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","Bremen","Single parent","","","","","","","","","","","","","",""
"2003","Hamburg","(Married) couple without C.","4.28","5","98","2","4","5","5","5","4.07","4.49","1","5","4","5"
"2003","Hamburg","1-pers.-HH","4.5","5","73","3","4","5","5","5","4.27","4.73","1","5","5","5"
"2003","Hamburg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","Hamburg","Couple + C. LE 16","4.16","4","61","3","4","5","5","5","3.86","4.46","1","5","4","5"
"2003","Hamburg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","Hamburg","Single parent","","","","","","","","","","","","","",""
"2003","Hesse","(Married) couple without C.","4.33","5","537","2","4","5","5","5","4.23","4.43","1","5","5","5"
"2003","Hesse","1-pers.-HH","4.45","5","184","2","5","5","5","5","4.27","4.63","1","5","5","5"
"2003","Hesse","Couple + C. GT 16 ","3.91","5","228","2","3","5","5","5","3.74","4.08","1","5","4","5"
"2003","Hesse","Couple + C. LE 16","4","4","328","2","3","5","5","5","3.86","4.14","1","5","4","5"
"2003","Hesse","Couple + C. LE and GT 16","4.27","5","117","2","4","5","5","5","4.07","4.47","1","5","5","5"
"2003","Hesse","Single parent","3.93","4","55","2","3","5","5","5","3.58","4.28","1","5","4","5"
"2003","Lower Saxony","(Married) couple without C.","4.22","5","606","2","4","5","5","5","4.13","4.31","1","5","5","5"
"2003","Lower Saxony","1-pers.-HH","4.25","5","213","2","4","5","5","5","4.08","4.42","1","5","5","5"
"2003","Lower Saxony","Couple + C. GT 16 ","4.1","5","357","2","3","5","5","5","3.98","4.22","1","5","4","5"
"2003","Lower Saxony","Couple + C. LE 16","3.9","4","410","2","3","5","5","5","3.77","4.03","1","5","4","4"
