"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","4.21","5","22145","2","4","5","5","5","4.19","4.23","1","5","5","5"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","4.15","5","19302","2","4","5","5","5","4.13","4.17","1","5","5","5"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","4.1","5","25470","2","3","5","5","5","4.08","4.12","1","5","5","5"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","4.06","5","25658","2","3","5","5","5","4.04","4.08","1","5","5","5"
