"pli0089","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","(0) in school","","","",""
"Daily","1990","16-34 y.","(1a) inadequately completed","1","","",""
"Daily","1990","16-34 y.","(1b) general elementary school","1","","",""
"Daily","1990","16-34 y.","(1c) basic vocational qualification","2","","",""
"Daily","1990","16-34 y.","(2b) intermediate general qualification","","","",""
"Daily","1990","16-34 y.","(2a) intermediate vocational","2","","",""
"Daily","1990","16-34 y.","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","16-34 y.","(3a) lower tertiary education","","","",""
"Daily","1990","16-34 y.","(3b) higher tertiary education","","","",""
"Daily","1990","35-65 y.","(0) in school","","","",""
"Daily","1990","35-65 y.","(1a) inadequately completed","2","","",""
"Daily","1990","35-65 y.","(1b) general elementary school","4","","",""
"Daily","1990","35-65 y.","(1c) basic vocational qualification","6","","",""
"Daily","1990","35-65 y.","(2b) intermediate general qualification","","","",""
"Daily","1990","35-65 y.","(2a) intermediate vocational","1","","",""
"Daily","1990","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1990","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","35-65 y.","(3a) lower tertiary education","","","",""
"Daily","1990","35-65 y.","(3b) higher tertiary education","","","",""
"Daily","1990","66 and older","(0) in school","","","",""
"Daily","1990","66 and older","(1a) inadequately completed","","","",""
"Daily","1990","66 and older","(1b) general elementary school","","","",""
"Daily","1990","66 and older","(1c) basic vocational qualification","","","",""
"Daily","1990","66 and older","(2b) intermediate general qualification","","","",""
"Daily","1990","66 and older","(2a) intermediate vocational","","","",""
"Daily","1990","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","1990","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","66 and older","(3a) lower tertiary education","","","",""
"Daily","1990","66 and older","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","16-34 y.","(0) in school","28","","",""
"Min 1x per week","1990","16-34 y.","(1a) inadequately completed","12","","",""
"Min 1x per week","1990","16-34 y.","(1b) general elementary school","81","0.109780986384481","0.0864552403461019","0.13310673242286"
"Min 1x per week","1990","16-34 y.","(1c) basic vocational qualification","110","0.120519641083077","0.0994820424736018","0.141557239692552"
"Min 1x per week","1990","16-34 y.","(2b) intermediate general qualification","38","0.13679718842656","0.0958087646405269","0.177785612212594"
"Min 1x per week","1990","16-34 y.","(2a) intermediate vocational","51","0.0851816452631117","0.063029100623242","0.107334189902981"
"Min 1x per week","1990","16-34 y.","(2c_gen) general maturity certificate","25","","",""
"Min 1x per week","1990","16-34 y.","(2c_voc) vocational maturity certificate","26","","",""
"Min 1x per week","1990","16-34 y.","(3a) lower tertiary education","3","","",""
"Min 1x per week","1990","16-34 y.","(3b) higher tertiary education","6","","",""
"Min 1x per week","1990","35-65 y.","(0) in school","","","",""
"Min 1x per week","1990","35-65 y.","(1a) inadequately completed","16","","",""
"Min 1x per week","1990","35-65 y.","(1b) general elementary school","41","0.0302924788958945","0.0201410115855628","0.0404439462062262"
"Min 1x per week","1990","35-65 y.","(1c) basic vocational qualification","135","0.0673742254863485","0.0560732017105763","0.0786752492621208"
"Min 1x per week","1990","35-65 y.","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1990","35-65 y.","(2a) intermediate vocational","34","0.0649390954232177","0.0438202430861751","0.0860579477602604"
"Min 1x per week","1990","35-65 y.","(2c_gen) general maturity certificate","6","","",""
"Min 1x per week","1990","35-65 y.","(2c_voc) vocational maturity certificate","13","","",""
"Min 1x per week","1990","35-65 y.","(3a) lower tertiary education","8","","",""
"Min 1x per week","1990","35-65 y.","(3b) higher tertiary education","17","","",""
