"pli0089","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","West Germany","","","",""
"Daily","1990","(0) in school","East Germany","","","",""
"Daily","1990","(1a) inadequately completed","West Germany","3","","",""
"Daily","1990","(1a) inadequately completed","East Germany","","","",""
"Daily","1990","(1b) general elementary school","West Germany","5","","",""
"Daily","1990","(1b) general elementary school","East Germany","","","",""
"Daily","1990","(1c) basic vocational qualification","West Germany","8","","",""
"Daily","1990","(1c) basic vocational qualification","East Germany","","","",""
"Daily","1990","(2b) intermediate general qualification","West Germany","","","",""
"Daily","1990","(2b) intermediate general qualification","East Germany","","","",""
"Daily","1990","(2a) intermediate vocational","West Germany","3","","",""
"Daily","1990","(2a) intermediate vocational","East Germany","","","",""
"Daily","1990","(2c_gen) general maturity certificate","West Germany","1","","",""
"Daily","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Daily","1990","(3a) lower tertiary education","West Germany","","","",""
"Daily","1990","(3a) lower tertiary education","East Germany","","","",""
"Daily","1990","(3b) higher tertiary education","West Germany","","","",""
"Daily","1990","(3b) higher tertiary education","East Germany","","","",""
"Min 1x per week","1990","(0) in school","West Germany","28","","",""
"Min 1x per week","1990","(0) in school","East Germany","","","",""
"Min 1x per week","1990","(1a) inadequately completed","West Germany","28","","",""
"Min 1x per week","1990","(1a) inadequately completed","East Germany","","","",""
"Min 1x per week","1990","(1b) general elementary school","West Germany","124","0.0391562218394358","0.0309401062856958","0.0473723373931758"
"Min 1x per week","1990","(1b) general elementary school","East Germany","","","",""
"Min 1x per week","1990","(1c) basic vocational qualification","West Germany","252","0.0700647952098282","0.0612428096195694","0.0788867808000869"
"Min 1x per week","1990","(1c) basic vocational qualification","East Germany","","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","West Germany","40","0.0972845421927406","0.0666723663027918","0.127896718082689"
"Min 1x per week","1990","(2b) intermediate general qualification","East Germany","","","",""
"Min 1x per week","1990","(2a) intermediate vocational","West Germany","87","0.0663910746809168","0.0526606565631248","0.0801214927987087"
"Min 1x per week","1990","(2a) intermediate vocational","East Germany","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","West Germany","31","0.0881851777796063","0.0581322934902056","0.118238062069007"
"Min 1x per week","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","West Germany","40","0.0928005805348806","0.0648172247925378","0.120783936277223"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
