"pli0089","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Urban Area","4","","",""
"Daily","1990","1-pers.-HH","Rural Area","1","","",""
"Daily","1990","(Married) couple without C. ","Urban Area","2","","",""
"Daily","1990","(Married) couple without C. ","Rural Area","1","","",""
"Daily","1990","Single parent ","Urban Area","2","","",""
"Daily","1990","Single parent ","Rural Area","","","",""
"Daily","1990","Couple + C. LE 16 ","Urban Area","2","","",""
"Daily","1990","Couple + C. LE 16 ","Rural Area","2","","",""
"Daily","1990","Couple + C. GT 16 ","Urban Area","1","","",""
"Daily","1990","Couple + C. GT 16 ","Rural Area","1","","",""
"Daily","1990","Couple + C. LE and GT 16","Urban Area","1","","",""
"Daily","1990","Couple + C. LE and GT 16","Rural Area","1","","",""
"Min 1x per week","1990","1-pers.-HH","Urban Area","35","0.0365701237786684","0.023995804637553","0.0491444429197838"
"Min 1x per week","1990","1-pers.-HH","Rural Area","15","","",""
"Min 1x per week","1990","(Married) couple without C. ","Urban Area","83","0.041145764450915","0.0320873224796432","0.0502042064221868"
"Min 1x per week","1990","(Married) couple without C. ","Rural Area","31","0.0572136680424836","0.0359666355021164","0.0784607005828508"
"Min 1x per week","1990","Single parent ","Urban Area","29","","",""
"Min 1x per week","1990","Single parent ","Rural Area","13","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","Urban Area","106","0.0638978348911822","0.0521432671626525","0.0756524026197118"
"Min 1x per week","1990","Couple + C. LE 16 ","Rural Area","39","0.081773178872845","0.0556291633246452","0.107917194421045"
"Min 1x per week","1990","Couple + C. GT 16 ","Urban Area","157","0.0972330611499638","0.0827113209938385","0.111754801306089"
"Min 1x per week","1990","Couple + C. GT 16 ","Rural Area","46","0.100831266552844","0.0730419395174081","0.128620593588279"
"Min 1x per week","1990","Couple + C. LE and GT 16","Urban Area","73","0.112244928446657","0.0893459237762221","0.135143933117093"
"Min 1x per week","1990","Couple + C. LE and GT 16","Rural Area","14","","",""
"Min 1x per month","1990","1-pers.-HH","Urban Area","63","0.063109057704301","0.0468197894024125","0.0793983260061895"
"Min 1x per month","1990","1-pers.-HH","Rural Area","10","","",""
"Min 1x per month","1990","(Married) couple without C. ","Urban Area","142","0.073410300581649","0.0615160556223778","0.0853045455409203"
"Min 1x per month","1990","(Married) couple without C. ","Rural Area","21","","",""
"Min 1x per month","1990","Single parent ","Urban Area","42","0.129391611288419","0.0951464361047436","0.163636786472095"
"Min 1x per month","1990","Single parent ","Rural Area","12","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","Urban Area","157","0.0990527482370439","0.0846950469472137","0.113410449526874"
"Min 1x per month","1990","Couple + C. LE 16 ","Rural Area","36","0.078227281540755","0.0526070582854641","0.103847504796046"
"Min 1x per month","1990","Couple + C. GT 16 ","Urban Area","167","0.107428071154493","0.0922504272117175","0.122605715097269"
"Min 1x per month","1990","Couple + C. GT 16 ","Rural Area","56","0.129647309537642","0.0986453451902343","0.160649273885049"
"Min 1x per month","1990","Couple + C. LE and GT 16","Urban Area","91","0.119051118564334","0.0955586445407147","0.142543592587954"
"Min 1x per month","1990","Couple + C. LE and GT 16","Rural Area","20","","",""
"Rarely","1990","1-pers.-HH","Urban Area","152","0.166003275022237","0.141077325604453","0.190929224440021"
"Rarely","1990","1-pers.-HH","Rural Area","39","0.206645607387819","0.147163712634167","0.26612750214147"
"Rarely","1990","(Married) couple without C. ","Urban Area","452","0.247331089420872","0.227654220736121","0.267007958105623"
"Rarely","1990","(Married) couple without C. ","Rural Area","119","0.228363315520531","0.189960651628892","0.266765979412171"
"Rarely","1990","Single parent ","Urban Area","80","0.228065794498616","0.185254818604223","0.270876770393009"
"Rarely","1990","Single parent ","Rural Area","19","","",""
"Rarely","1990","Couple + C. LE 16 ","Urban Area","431","0.302288971712582","0.280216502898773","0.324361440526391"
"Rarely","1990","Couple + C. LE 16 ","Rural Area","132","0.338930640050318","0.293768886586788","0.384092393513848"
"Rarely","1990","Couple + C. GT 16 ","Urban Area","444","0.314397307572236","0.291641118921125","0.337153496223347"
"Rarely","1990","Couple + C. GT 16 ","Rural Area","152","0.347154115705598","0.303217529036309","0.391090702374887"
"Rarely","1990","Couple + C. LE and GT 16","Urban Area","176","0.278814817557688","0.246286021941025","0.31134361317435"
"Rarely","1990","Couple + C. LE and GT 16","Rural Area","45","0.294531275382673","0.223000919899517","0.366061630865829"
"Never","1990","1-pers.-HH","Urban Area","602","0.728308037287986","0.698508662278699","0.758107412297273"
"Never","1990","1-pers.-HH","Rural Area","113","0.663153114599219","0.593720860497797","0.732585368700642"
"Never","1990","(Married) couple without C. ","Urban Area","1168","0.637131190313712","0.615202944222927","0.659059436404497"
"Never","1990","(Married) couple without C. ","Rural Area","287","0.665288099229858","0.622118083918342","0.708458114541374"
"Never","1990","Single parent ","Urban Area","216","0.575791500636841","0.525365187572703","0.626217813700979"
"Never","1990","Single parent ","Rural Area","47","0.491405928229217","0.388691077957311","0.594120778501122"
"Never","1990","Couple + C. LE 16 ","Urban Area","967","0.534425675517558","0.510451695735152","0.558399655299964"
"Never","1990","Couple + C. LE 16 ","Rural Area","213","0.499794611928203","0.452089838971463","0.547499384884943"
"Never","1990","Couple + C. GT 16 ","Urban Area","830","0.479982582307776","0.455495020608212","0.50447014400734"
"Never","1990","Couple + C. GT 16 ","Rural Area","196","0.416344175435079","0.370849090651569","0.461839260218589"
"Never","1990","Couple + C. LE and GT 16","Urban Area","389","0.489162496709276","0.452900257015415","0.525424736403137"
"Never","1990","Couple + C. LE and GT 16","Rural Area","76","0.466189821816136","0.387908056515338","0.544471587116934"
"Daily","1991","1-pers.-HH","Urban Area","","","",""
"Daily","1991","1-pers.-HH","Rural Area","","","",""
"Daily","1991","(Married) couple without C. ","Urban Area","","","",""
"Daily","1991","(Married) couple without C. ","Rural Area","","","",""
