"pli0089","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","West Germany","7","","",""
"Daily","1990","16-34 y.","East Germany","","","",""
"Daily","1990","35-65 y.","West Germany","13","","",""
"Daily","1990","35-65 y.","East Germany","","","",""
"Daily","1990","66 and older","West Germany","","","",""
"Daily","1990","66 and older","East Germany","","","",""
"Min 1x per week","1990","16-34 y.","West Germany","396","0.105656159534185","0.0956768844324979","0.115635434635873"
"Min 1x per week","1990","16-34 y.","East Germany","","","",""
"Min 1x per week","1990","35-65 y.","West Germany","276","0.057826119485213","0.0512056474135463","0.0644465915568798"
"Min 1x per week","1990","35-65 y.","East Germany","","","",""
"Min 1x per week","1990","66 and older","West Germany","12","","",""
"Min 1x per week","1990","66 and older","East Germany","","","",""
"Min 1x per month","1990","16-34 y.","West Germany","445","0.127920471152372","0.117077522632043","0.1387634196727"
"Min 1x per month","1990","16-34 y.","East Germany","","","",""
"Min 1x per month","1990","35-65 y.","West Germany","398","0.0847626382201339","0.076862576102519","0.0926627003377487"
"Min 1x per month","1990","35-65 y.","East Germany","","","",""
"Min 1x per month","1990","66 and older","West Germany","27","","",""
"Min 1x per month","1990","66 and older","East Germany","","","",""
"Rarely","1990","16-34 y.","West Germany","1115","0.339310008431381","0.323939206592308","0.354680810270454"
"Rarely","1990","16-34 y.","East Germany","","","",""
"Rarely","1990","35-65 y.","West Germany","1154","0.268956379436666","0.256379468838189","0.281533290035143"
"Rarely","1990","35-65 y.","East Germany","","","",""
"Rarely","1990","66 and older","West Germany","93","0.0793236275798875","0.0629932959808236","0.0956539591789513"
"Rarely","1990","66 and older","East Germany","","","",""
"Never","1990","16-34 y.","West Germany","1682","0.425668126489618","0.409616599620407","0.441719653358829"
"Never","1990","16-34 y.","East Germany","","","",""
"Never","1990","35-65 y.","West Germany","2934","0.585365599496824","0.571392020106165","0.599339178887482"
"Never","1990","35-65 y.","East Germany","","","",""
"Never","1990","66 and older","West Germany","920","0.888018445114579","0.868962764674677","0.90707412555448"
"Never","1990","66 and older","East Germany","","","",""
"Daily","1991","16-34 y.","West Germany","","","",""
"Daily","1991","16-34 y.","East Germany","","","",""
"Daily","1991","35-65 y.","West Germany","","","",""
"Daily","1991","35-65 y.","East Germany","","","",""
"Daily","1991","66 and older","West Germany","","","",""
"Daily","1991","66 and older","East Germany","","","",""
"Min 1x per week","1991","16-34 y.","West Germany","","","",""
"Min 1x per week","1991","16-34 y.","East Germany","","","",""
"Min 1x per week","1991","35-65 y.","West Germany","","","",""
"Min 1x per week","1991","35-65 y.","East Germany","","","",""
"Min 1x per week","1991","66 and older","West Germany","","","",""
"Min 1x per week","1991","66 and older","East Germany","","","",""
"Min 1x per month","1991","16-34 y.","West Germany","","","",""
"Min 1x per month","1991","16-34 y.","East Germany","","","",""
"Min 1x per month","1991","35-65 y.","West Germany","","","",""
"Min 1x per month","1991","35-65 y.","East Germany","","","",""
