"pli0089","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","1-pers.-HH","2","","",""
"Daily","1990","16-34 y.","(Married) couple without C. ","1","","",""
"Daily","1990","16-34 y.","Single parent ","2","","",""
"Daily","1990","16-34 y.","Couple + C. LE 16 ","","","",""
"Daily","1990","16-34 y.","Couple + C. GT 16 ","","","",""
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","1","","",""
"Daily","1990","35-65 y.","1-pers.-HH","3","","",""
"Daily","1990","35-65 y.","(Married) couple without C. ","2","","",""
"Daily","1990","35-65 y.","Single parent ","","","",""
"Daily","1990","35-65 y.","Couple + C. LE 16 ","4","","",""
"Daily","1990","35-65 y.","Couple + C. GT 16 ","2","","",""
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","1","","",""
"Daily","1990","66 and older","1-pers.-HH","","","",""
"Daily","1990","66 and older","(Married) couple without C. ","","","",""
"Daily","1990","66 and older","Single parent ","","","",""
"Daily","1990","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1990","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","16-34 y.","1-pers.-HH","23","","",""
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","54","0.0822033449822991","0.0607888650260428","0.103617824938555"
"Min 1x per week","1990","16-34 y.","Single parent ","25","","",""
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","69","0.0675023271115134","0.0522762092323373","0.0827284449906895"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","145","0.171910409893248","0.146470856247879","0.197349963538618"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","47","0.145041045860977","0.108461257711685","0.181620834010268"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","23","","",""
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","53","0.0447820346503719","0.0329561861911063","0.0566078831096376"
"Min 1x per week","1990","35-65 y.","Single parent ","17","","",""
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","76","0.0682027006769724","0.0528962061240257","0.0835091952299191"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","58","0.0555336331807519","0.042227610722769","0.0688396556387349"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","40","0.0851354304939364","0.0613531318959237","0.108917729091949"
"Min 1x per week","1990","66 and older","1-pers.-HH","4","","",""
"Min 1x per week","1990","66 and older","(Married) couple without C. ","7","","",""
"Min 1x per week","1990","66 and older","Single parent ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE and GT 16","","","",""
