"pli0089","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","Male","3","","","","1"
"Daily","1990","Not Employed","Female","","","","","1"
"Daily","1990","Employed","Male","12","","","","1"
"Daily","1990","Employed","Female","5","","","","1"
"Min 1x per month","1990","Not Employed","Female","87","0.0309509840637176","0.0238156236060483","0.0380863445213869","3"
"Min 1x per month","1990","Not Employed","Male","114","0.102990682917527","0.0847103846056688","0.121270981229385","3"
"Min 1x per month","1990","Employed","Female","174","0.0757181880100817","0.0654281009219849","0.0860082750981785","3"
"Min 1x per month","1990","Employed","Male","495","0.133984168145645","0.122869295664811","0.145099040626479","3"
"Min 1x per week","1990","Not Employed","Male","84","0.0619713020777022","0.0474705941230457","0.0764720100323587","2"
"Min 1x per week","1990","Employed","Female","127","0.0518969726825535","0.0432688657355491","0.0605250796295578","2"
"Min 1x per week","1990","Employed","Male","429","0.112172589624153","0.101875310759307","0.122469868488998","2"
"Min 1x per week","1990","Not Employed","Female","44","0.0180434469240526","0.0125592668861014","0.0235276269620038","2"
"Never","1990","Not Employed","Male","621","0.617582760016558","0.588354554927964","0.646810965105152","5"
"Never","1990","Not Employed","Female","1774","0.800597470521902","0.784135635215874","0.817059305827931","5"
"Never","1990","Employed","Male","1545","0.399914918647138","0.3839301982384","0.415899639055875","5"
"Never","1990","Employed","Female","1596","0.603365556951563","0.584337159657656","0.62239395424547","5"
"Rarely","1990","Employed","Male","1127","0.350398001463154","0.334830485741267","0.365965517185042","4"
"Rarely","1990","Not Employed","Male","240","0.213744329231053","0.189088760279681","0.238399898182424","4"
"Rarely","1990","Not Employed","Female","358","0.150408098490327","0.135680002486173","0.165136194494482","4"
"Rarely","1990","Employed","Female","637","0.26785415889981","0.250628940485894","0.285079377313726","4"
"Daily","1991","Not Employed","Male","","","","","1"
"Daily","1991","Not Employed","Female","","","","","1"
"Daily","1991","Employed","Male","","","","","1"
"Daily","1991","Employed","Female","","","","","1"
"Min 1x per month","1991","Employed","Male","","","","","3"
"Min 1x per month","1991","Not Employed","Female","","","","","3"
"Min 1x per month","1991","Not Employed","Male","","","","","3"
