"pli0089","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","1991","1-pers.-HH","","","","","5"
"Never","1991","(Married) couple without C. ","","","","","5"
"Never","1991","Single parent ","","","","","5"
"Never","1991","Couple + C. LE 16 ","","","","","5"
"Never","1991","Couple + C. GT 16 ","","","","","5"
"Never","1991","Couple + C. LE and GT 16","","","","","5"
"Rarely","1991","(Married) couple without C. ","","","","","4"
"Rarely","1991","1-pers.-HH","","","","","4"
"Rarely","1991","Single parent ","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","","","","","4"
"Daily","1992","1-pers.-HH","","","","","1"
"Daily","1992","(Married) couple without C. ","","","","","1"
"Daily","1992","Single parent ","","","","","1"
"Daily","1992","Couple + C. LE 16 ","","","","","1"
"Daily","1992","Couple + C. GT 16 ","","","","","1"
"Daily","1992","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1992","(Married) couple without C. ","","","","","3"
"Min 1x per month","1992","1-pers.-HH","","","","","3"
"Min 1x per month","1992","Single parent ","","","","","3"
"Min 1x per month","1992","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1992","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1992","1-pers.-HH","","","","","2"
"Min 1x per week","1992","Single parent ","","","","","2"
"Min 1x per week","1992","(Married) couple without C. ","","","","","2"
"Min 1x per week","1992","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1992","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","","","","","2"
"Never","1992","1-pers.-HH","","","","","5"
"Never","1992","(Married) couple without C. ","","","","","5"
"Never","1992","Single parent ","","","","","5"
"Never","1992","Couple + C. LE 16 ","","","","","5"
"Never","1992","Couple + C. GT 16 ","","","","","5"
"Never","1992","Couple + C. LE and GT 16","","","","","5"
"Rarely","1992","1-pers.-HH","","","","","4"
"Rarely","1992","(Married) couple without C. ","","","","","4"
"Rarely","1992","Single parent ","","","","","4"
"Rarely","1992","Couple + C. LE 16 ","","","","","4"
"Rarely","1992","Couple + C. GT 16 ","","","","","4"
"Rarely","1992","Couple + C. LE and GT 16","","","","","4"
"Daily","1993","1-pers.-HH","","","","","1"
"Daily","1993","(Married) couple without C. ","","","","","1"
"Daily","1993","Single parent ","","","","","1"
"Daily","1993","Couple + C. LE 16 ","","","","","1"
"Daily","1993","Couple + C. GT 16 ","","","","","1"
"Daily","1993","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1993","1-pers.-HH","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","","","","","3"
"Min 1x per month","1993","Single parent ","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1993","1-pers.-HH","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","","","","","2"
"Min 1x per week","1993","Single parent ","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","","","","","2"
"Never","1993","1-pers.-HH","","","","","5"
"Never","1993","(Married) couple without C. ","","","","","5"
"Never","1993","Single parent ","","","","","5"
"Never","1993","Couple + C. LE 16 ","","","","","5"
"Never","1993","Couple + C. GT 16 ","","","","","5"
"Never","1993","Couple + C. LE and GT 16","","","","","5"
"Rarely","1993","1-pers.-HH","","","","","4"
"Rarely","1993","(Married) couple without C. ","","","","","4"
"Rarely","1993","Single parent ","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","","","","","4"
"Daily","1994","1-pers.-HH","","","","","1"
"Daily","1994","(Married) couple without C. ","","","","","1"
"Daily","1994","Single parent ","","","","","1"
"Daily","1994","Couple + C. LE 16 ","","","","","1"
"Daily","1994","Couple + C. GT 16 ","","","","","1"
"Daily","1994","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1994","(Married) couple without C. ","","","","","3"
"Min 1x per month","1994","1-pers.-HH","","","","","3"
"Min 1x per month","1994","Single parent ","","","","","3"
"Min 1x per month","1994","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1994","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1994","Couple + C. GT 16 ","","","","","3"
"Min 1x per week","1994","1-pers.-HH","","","","","2"
"Min 1x per week","1994","(Married) couple without C. ","","","","","2"
"Min 1x per week","1994","Single parent ","","","","","2"
"Min 1x per week","1994","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1994","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1994","Couple + C. GT 16 ","","","","","2"
"Never","1994","1-pers.-HH","","","","","5"
"Never","1994","(Married) couple without C. ","","","","","5"
"Never","1994","Single parent ","","","","","5"
"Never","1994","Couple + C. LE 16 ","","","","","5"
"Never","1994","Couple + C. GT 16 ","","","","","5"
"Never","1994","Couple + C. LE and GT 16","","","","","5"
"Rarely","1994","(Married) couple without C. ","","","","","4"
"Rarely","1994","1-pers.-HH","","","","","4"
"Rarely","1994","Couple + C. LE 16 ","","","","","4"
"Rarely","1994","Single parent ","","","","","4"
"Rarely","1994","Couple + C. GT 16 ","","","","","4"
"Rarely","1994","Couple + C. LE and GT 16","","","","","4"
"Daily","1995","1-pers.-HH","2","","","","1"
"Daily","1995","(Married) couple without C. ","6","","","","1"
"Daily","1995","Single parent ","","","","","1"
"Daily","1995","Couple + C. LE 16 ","1","","","","1"
"Daily","1995","Couple + C. GT 16 ","8","","","","1"
"Daily","1995","Couple + C. LE and GT 16","4","","","","1"
"Min 1x per month","1995","1-pers.-HH","86","0.0471819087835738","0.0362459404252063","0.0581178771419412","3"
"Min 1x per month","1995","(Married) couple without C. ","228","0.0648796661504149","0.0567171088684294","0.0730422234324005","3"
"Min 1x per month","1995","Single parent ","62","0.121661596680179","0.0957627710469638","0.147560422313394","3"
"Min 1x per month","1995","Couple + C. LE 16 ","228","0.0756894881650182","0.066439506900442","0.0849394694295945","3"
"Min 1x per month","1995","Couple + C. GT 16 ","241","0.0964061575945382","0.0847923740590037","0.108019941130073","3"
"Min 1x per month","1995","Couple + C. LE and GT 16","127","0.103876608613056","0.0869154578410999","0.120837759385012","3"
"Min 1x per week","1995","1-pers.-HH","51","0.0405206723564727","0.0303506799898844","0.0506906647230611","2"
"Min 1x per week","1995","(Married) couple without C. ","141","0.045108380067273","0.038230670301777","0.0519860898327691","2"
"Min 1x per week","1995","Single parent ","46","0.0695694374367747","0.0494125435522828","0.0897263313212667","2"
"Min 1x per week","1995","Couple + C. LE 16 ","137","0.0458015435989092","0.0384905982904911","0.0531124889073273","2"
"Min 1x per week","1995","Couple + C. GT 16 ","160","0.0667190175261648","0.0569000519321651","0.0765379831201645","2"
"Min 1x per week","1995","Couple + C. LE and GT 16","93","0.0753986375874343","0.0607204801891961","0.0900767949856726","2"
"Never","1995","1-pers.-HH","1011","0.724875888308179","0.701842350498154","0.747909426118203","5"
"Never","1995","(Married) couple without C. ","2274","0.649298276377589","0.633484730472712","0.665111822282467","5"
"Never","1995","Single parent ","354","0.551508976613792","0.51210631579475","0.590911637432833","5"
"Never","1995","Couple + C. LE 16 ","1843","0.549967288561572","0.532569077563512","0.567365499559633","5"
"Never","1995","Couple + C. GT 16 ","1335","0.521541730722022","0.501885453286462","0.541198008157581","5"
"Never","1995","Couple + C. LE and GT 16","623","0.472271859366312","0.444518619604239","0.500025099128385","5"
"Rarely","1995","(Married) couple without C. ","849","0.239528398953847","0.225384856627451","0.253671941280244","4"
"Rarely","1995","1-pers.-HH","294","0.186756657998551","0.166655883130394","0.206857432866709","4"
"Rarely","1995","Single parent ","150","0.257259989269255","0.222628041857139","0.291891936681371","4"
"Rarely","1995","Couple + C. LE 16 ","932","0.328355916506493","0.311932778492259","0.344779054520728","4"
"Rarely","1995","Couple + C. GT 16 ","737","0.311979129255704","0.293748641600117","0.330209616911291","4"
"Rarely","1995","Couple + C. LE and GT 16","396","0.346392346935826","0.319940546642158","0.372844147229494","4"
"Daily","1996","1-pers.-HH","","","","","1"
"Daily","1996","(Married) couple without C. ","","","","","1"
"Daily","1996","Single parent ","","","","","1"
"Daily","1996","Couple + C. LE 16 ","","","","","1"
"Daily","1996","Couple + C. GT 16 ","","","","","1"
"Daily","1996","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1996","1-pers.-HH","","","","","3"
"Min 1x per month","1996","(Married) couple without C. ","","","","","3"
"Min 1x per month","1996","Single parent ","","","","","3"
"Min 1x per month","1996","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1996","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1996","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1996","1-pers.-HH","","","","","2"
"Min 1x per week","1996","(Married) couple without C. ","","","","","2"
"Min 1x per week","1996","Single parent ","","","","","2"
"Min 1x per week","1996","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1996","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1996","Couple + C. LE and GT 16","","","","","2"
"Never","1996","1-pers.-HH","","","","","5"
"Never","1996","(Married) couple without C. ","","","","","5"
"Never","1996","Single parent ","","","","","5"
"Never","1996","Couple + C. LE 16 ","","","","","5"
"Never","1996","Couple + C. GT 16 ","","","","","5"
"Never","1996","Couple + C. LE and GT 16","","","","","5"
"Rarely","1996","(Married) couple without C. ","","","","","4"
"Rarely","1996","1-pers.-HH","","","","","4"
"Rarely","1996","Single parent ","","","","","4"
"Rarely","1996","Couple + C. LE 16 ","","","","","4"
"Rarely","1996","Couple + C. GT 16 ","","","","","4"
"Rarely","1996","Couple + C. LE and GT 16","","","","","4"
"Daily","1997","1-pers.-HH","","","","","1"
"Daily","1997","(Married) couple without C. ","","","","","1"
"Daily","1997","Single parent ","","","","","1"
"Daily","1997","Couple + C. LE 16 ","","","","","1"
"Daily","1997","Couple + C. GT 16 ","","","","","1"
"Daily","1997","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1997","1-pers.-HH","","","","","3"
"Min 1x per month","1997","(Married) couple without C. ","","","","","3"
"Min 1x per month","1997","Single parent ","","","","","3"
"Min 1x per month","1997","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1997","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1997","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1997","1-pers.-HH","","","","","2"
"Min 1x per week","1997","(Married) couple without C. ","","","","","2"
"Min 1x per week","1997","Single parent ","","","","","2"
"Min 1x per week","1997","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1997","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1997","Couple + C. GT 16 ","","","","","2"
"Never","1997","1-pers.-HH","","","","","5"
"Never","1997","(Married) couple without C. ","","","","","5"
"Never","1997","Single parent ","","","","","5"
"Never","1997","Couple + C. LE 16 ","","","","","5"
"Never","1997","Couple + C. GT 16 ","","","","","5"
"Never","1997","Couple + C. LE and GT 16","","","","","5"
"Rarely","1997","1-pers.-HH","","","","","4"
"Rarely","1997","Single parent ","","","","","4"
"Rarely","1997","(Married) couple without C. ","","","","","4"
"Rarely","1997","Couple + C. LE 16 ","","","","","4"
"Rarely","1997","Couple + C. GT 16 ","","","","","4"
"Rarely","1997","Couple + C. LE and GT 16","","","","","4"
"Daily","1998","1-pers.-HH","2","","","","1"
"Daily","1998","(Married) couple without C. ","6","","","","1"
"Daily","1998","Single parent ","1","","","","1"
"Daily","1998","Couple + C. LE 16 ","2","","","","1"
"Daily","1998","Couple + C. LE and GT 16","1","","","","1"
"Daily","1998","Couple + C. GT 16 ","4","","","","1"
"Min 1x per month","1998","1-pers.-HH","131","0.0685281035301272","0.0566501276323064","0.0804060794279481","3"
"Min 1x per month","1998","(Married) couple without C. ","276","0.0619996137951594","0.0546537322458198","0.069345495344499","3"
"Min 1x per month","1998","Single parent ","62","0.102252490848451","0.079903403496265","0.124601578200637","3"
"Min 1x per month","1998","Couple + C. LE 16 ","246","0.0755260827589253","0.0662138474313893","0.0848383180864614","3"
"Min 1x per month","1998","Couple + C. LE and GT 16","125","0.112681731106247","0.095152633822137","0.130210828390358","3"
"Min 1x per month","1998","Couple + C. GT 16 ","244","0.0982102036646481","0.0866526855481387","0.109767721781158","3"
"Min 1x per week","1998","1-pers.-HH","66","0.0295047076546935","0.0215492424714835","0.0374601728379036","2"
"Min 1x per week","1998","(Married) couple without C. ","140","0.0356550828925758","0.0300066907065472","0.0413034750786043","2"
"Min 1x per week","1998","Single parent ","58","0.0681965874792493","0.0496018860034769","0.0867912889550217","2"
"Min 1x per week","1998","Couple + C. LE 16 ","190","0.0657117650430607","0.0569796361550494","0.074443893931072","2"
"Min 1x per week","1998","Couple + C. GT 16 ","149","0.068351274721464","0.0585511179119536","0.0781514315309744","2"
"Min 1x per week","1998","Couple + C. LE and GT 16","95","0.0866485080248353","0.071053248715982","0.102243767333689","2"
"Never","1998","1-pers.-HH","1152","0.691773386956165","0.670064368034576","0.713482405877753","5"
"Never","1998","(Married) couple without C. ","2582","0.619892758438569","0.605106466597405","0.634679050279733","5"
"Never","1998","Single parent ","374","0.509832647306137","0.472957670775225","0.546707623837049","5"
"Never","1998","Couple + C. LE 16 ","1596","0.502283932386985","0.484663214240928","0.519904650533043","5"
"Never","1998","Couple + C. GT 16 ","1307","0.493993588153326","0.474577028359185","0.513410147947468","5"
"Never","1998","Couple + C. LE and GT 16","582","0.422960368698744","0.395573287882822","0.450347449514665","5"
"Rarely","1998","1-pers.-HH","387","0.208945282353608","0.18983167094123","0.228058893765986","4"
"Rarely","1998","(Married) couple without C. ","1136","0.28091193506556","0.267221285426291","0.294602584704829","4"
"Rarely","1998","Single parent ","211","0.318496621367664","0.284130370032621","0.352862872702708","4"
"Rarely","1998","Couple + C. LE 16 ","1059","0.355855545749786","0.338982766046516","0.372728325453056","4"
"Rarely","1998","Couple + C. LE and GT 16","447","0.37666274784824","0.349801204559006","0.403524291137473","4"
"Rarely","1998","Couple + C. GT 16 ","843","0.338248366258293","0.319874566313495","0.356622166203091","4"
"Daily","1999","1-pers.-HH","","","","","1"
"Daily","1999","(Married) couple without C. ","","","","","1"
"Daily","1999","Single parent ","","","","","1"
"Daily","1999","Couple + C. LE 16 ","","","","","1"
"Daily","1999","Couple + C. LE and GT 16","","","","","1"
"Daily","1999","Couple + C. GT 16 ","","","","","1"
"Min 1x per month","1999","1-pers.-HH","","","","","3"
"Min 1x per month","1999","(Married) couple without C. ","","","","","3"
"Min 1x per month","1999","Single parent ","","","","","3"
"Min 1x per month","1999","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1999","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1999","Couple + C. GT 16 ","","","","","3"
"Min 1x per week","1999","1-pers.-HH","","","","","2"
"Min 1x per week","1999","(Married) couple without C. ","","","","","2"
"Min 1x per week","1999","Single parent ","","","","","2"
"Min 1x per week","1999","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1999","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1999","Couple + C. GT 16 ","","","","","2"
"Never","1999","(Married) couple without C. ","","","","","5"
"Never","1999","1-pers.-HH","","","","","5"
"Never","1999","Single parent ","","","","","5"
"Never","1999","Couple + C. LE 16 ","","","","","5"
"Never","1999","Couple + C. GT 16 ","","","","","5"
"Never","1999","Couple + C. LE and GT 16","","","","","5"
"Rarely","1999","1-pers.-HH","","","","","4"
"Rarely","1999","(Married) couple without C. ","","","","","4"
"Rarely","1999","Single parent ","","","","","4"
"Rarely","1999","Couple + C. LE 16 ","","","","","4"
"Rarely","1999","Couple + C. GT 16 ","","","","","4"
"Rarely","1999","Couple + C. LE and GT 16","","","","","4"
"Daily","2000","1-pers.-HH","","","","","1"
"Daily","2000","(Married) couple without C. ","","","","","1"
"Daily","2000","Single parent ","","","","","1"
"Daily","2000","Couple + C. LE 16 ","","","","","1"
"Daily","2000","Couple + C. GT 16 ","","","","","1"
"Daily","2000","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","2000","1-pers.-HH","","","","","3"
"Min 1x per month","2000","(Married) couple without C. ","","","","","3"
"Min 1x per month","2000","Single parent ","","","","","3"
"Min 1x per month","2000","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","2000","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","2000","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","2000","1-pers.-HH","","","","","2"
"Min 1x per week","2000","(Married) couple without C. ","","","","","2"
"Min 1x per week","2000","Single parent ","","","","","2"
"Min 1x per week","2000","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","2000","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","2000","Couple + C. LE and GT 16","","","","","2"
"Never","2000","1-pers.-HH","","","","","5"
"Never","2000","(Married) couple without C. ","","","","","5"
"Never","2000","Single parent ","","","","","5"
"Never","2000","Couple + C. LE 16 ","","","","","5"
"Never","2000","Couple + C. GT 16 ","","","","","5"
"Never","2000","Couple + C. LE and GT 16","","","","","5"
"Rarely","2000","1-pers.-HH","","","","","4"
"Rarely","2000","(Married) couple without C. ","","","","","4"
"Rarely","2000","Single parent ","","","","","4"
"Rarely","2000","Couple + C. LE 16 ","","","","","4"
"Rarely","2000","Couple + C. GT 16 ","","","","","4"
"Rarely","2000","Couple + C. LE and GT 16","","","","","4"
"Daily","2001","1-pers.-HH","","","","","1"
"Daily","2001","(Married) couple without C. ","","","","","1"
"Daily","2001","Single parent ","","","","","1"
"Daily","2001","Couple + C. LE 16 ","","","","","1"
"Daily","2001","Couple + C. LE and GT 16","","","","","1"
"Daily","2001","Couple + C. GT 16 ","","","","","1"
"Min 1x per month","2001","1-pers.-HH","","","","","3"
"Min 1x per month","2001","(Married) couple without C. ","","","","","3"
"Min 1x per month","2001","Single parent ","","","","","3"
"Min 1x per month","2001","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","2001","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","2001","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","2001","(Married) couple without C. ","","","","","2"
"Min 1x per week","2001","1-pers.-HH","","","","","2"
"Min 1x per week","2001","Single parent ","","","","","2"
"Min 1x per week","2001","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","2001","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","2001","Couple + C. LE and GT 16","","","","","2"
"Never","2001","(Married) couple without C. ","","","","","5"
"Never","2001","1-pers.-HH","","","","","5"
"Never","2001","Single parent ","","","","","5"
"Never","2001","Couple + C. LE 16 ","","","","","5"
"Never","2001","Couple + C. GT 16 ","","","","","5"
"Never","2001","Couple + C. LE and GT 16","","","","","5"
"Rarely","2001","1-pers.-HH","","","","","4"
"Rarely","2001","(Married) couple without C. ","","","","","4"
"Rarely","2001","Single parent ","","","","","4"
"Rarely","2001","Couple + C. GT 16 ","","","","","4"
"Rarely","2001","Couple + C. LE 16 ","","","","","4"
"Rarely","2001","Couple + C. LE and GT 16","","","","","4"
"Daily","2002","1-pers.-HH","","","","","1"
"Daily","2002","(Married) couple without C. ","","","","","1"
"Daily","2002","Single parent ","","","","","1"
"Daily","2002","Couple + C. LE 16 ","","","","","1"
"Daily","2002","Couple + C. LE and GT 16","","","","","1"
"Daily","2002","Couple + C. GT 16 ","","","","","1"
"Min 1x per month","2002","1-pers.-HH","","","","","3"
"Min 1x per month","2002","(Married) couple without C. ","","","","","3"
"Min 1x per month","2002","Single parent ","","","","","3"
"Min 1x per month","2002","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","2002","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","2002","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","2002","1-pers.-HH","","","","","2"
"Min 1x per week","2002","(Married) couple without C. ","","","","","2"
"Min 1x per week","2002","Single parent ","","","","","2"
"Min 1x per week","2002","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","2002","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","2002","Couple + C. GT 16 ","","","","","2"
"Never","2002","1-pers.-HH","","","","","5"
"Never","2002","(Married) couple without C. ","","","","","5"
"Never","2002","Single parent ","","","","","5"
"Never","2002","Couple + C. LE 16 ","","","","","5"
"Never","2002","Couple + C. GT 16 ","","","","","5"
"Never","2002","Couple + C. LE and GT 16","","","","","5"
"Rarely","2002","1-pers.-HH","","","","","4"
"Rarely","2002","(Married) couple without C. ","","","","","4"
"Rarely","2002","Single parent ","","","","","4"
"Rarely","2002","Couple + C. LE 16 ","","","","","4"
"Rarely","2002","Couple + C. GT 16 ","","","","","4"
"Rarely","2002","Couple + C. LE and GT 16","","","","","4"
"Daily","2003","1-pers.-HH","3","","","","1"
"Daily","2003","(Married) couple without C. ","7","","","","1"
"Daily","2003","Single parent ","1","","","","1"
"Daily","2003","Couple + C. LE 16 ","5","","","","1"
"Daily","2003","Couple + C. GT 16 ","4","","","","1"
"Daily","2003","Couple + C. LE and GT 16","7","","","","1"
"Min 1x per month","2003","1-pers.-HH","212","0.0677562853389776","0.0587053160758202","0.076807254602135","3"
"Min 1x per month","2003","(Married) couple without C. ","434","0.0575230687671695","0.0521708078891532","0.0628753296451858","3"
"Min 1x per month","2003","Single parent ","109","0.099313948687887","0.0817588813110377","0.116869016064736","3"
"Min 1x per month","2003","Couple + C. LE 16 ","369","0.0821649550883745","0.0740135875515963","0.0903163226251527","3"
"Min 1x per month","2003","Couple + C. GT 16 ","410","0.0972038218952414","0.0879445281319692","0.106463115658514","3"
"Min 1x per month","2003","Couple + C. LE and GT 16","195","0.0983607024300351","0.0847201755532393","0.112001229306831","3"
"Min 1x per week","2003","(Married) couple without C. ","231","0.0335046456392378","0.0293681431928219","0.0376411480856537","2"
"Min 1x per week","2003","1-pers.-HH","102","0.0335842262130545","0.0270963098581502","0.0400721425679589","2"
"Min 1x per week","2003","Single parent ","52","0.0407342280894353","0.0291315063493567","0.0523369498295139","2"
"Min 1x per week","2003","Couple + C. LE 16 ","278","0.0594807835408357","0.0524601383779231","0.0665014287037484","2"
"Min 1x per week","2003","Couple + C. LE and GT 16","163","0.0995425818109649","0.0858293455193424","0.113255818102587","2"
"Min 1x per week","2003","Couple + C. GT 16 ","252","0.06439053157559","0.0567186896511195","0.0720623735000604","2"
"Never","2003","1-pers.-HH","1953","0.666867008247606","0.649893015879631","0.683841000615581","5"
"Never","2003","(Married) couple without C. ","4617","0.638450657850309","0.627406608393164","0.649494707307455","5"
"Never","2003","Single parent ","664","0.592717870521665","0.563878727858","0.621557013185331","5"
"Never","2003","Couple + C. LE 16 ","2245","0.524930812105455","0.510107873458723","0.539753750752187","5"
"Never","2003","Couple + C. GT 16 ","1908","0.502060265003064","0.486432112020153","0.517688417985976","5"
"Never","2003","Couple + C. LE and GT 16","860","0.479981895643012","0.457098230765164","0.50286556052086","5"
"Rarely","2003","1-pers.-HH","692","0.231261193983729","0.216076839004329","0.246445548963128","4"
"Rarely","2003","(Married) couple without C. ","1981","0.269094646860552","0.258900192495713","0.279289101225391","4"
"Rarely","2003","Single parent ","289","0.266518537792215","0.240566650923221","0.292470424661209","4"
"Rarely","2003","Couple + C. LE 16 ","1463","0.332552046223267","0.318567661555096","0.346536430891437","4"
"Rarely","2003","Couple + C. LE and GT 16","606","0.318788746548004","0.297443738798066","0.340133754297942","4"
"Rarely","2003","Couple + C. GT 16 ","1358","0.334993173801294","0.320240444730212","0.349745902872376","4"
"Daily","2004","1-pers.-HH","","","","","1"
"Daily","2004","(Married) couple without C. ","","","","","1"
"Daily","2004","Single parent ","","","","","1"
