"pli0089","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","West Germany","20","","",""
"Daily","1990","East Germany","","","",""
"Min 1x per week","1990","West Germany","684","0.0652077893830783","0.060235750372424","0.0701798283937325"
"Min 1x per week","1990","East Germany","","","",""
"Min 1x per month","1990","West Germany","870","0.0875319214781829","0.0818405187532872","0.0932233242030785"
"Min 1x per month","1990","East Germany","","","",""
"Rarely","1990","West Germany","2362","0.258203913718618","0.249390362644837","0.267017464792399"
"Rarely","1990","East Germany","","","",""
"Never","1990","West Germany","5536","0.587052855387574","0.577137390465997","0.59696832030915"
"Never","1990","East Germany","","","",""
"Daily","1991","West Germany","","","",""
"Daily","1991","East Germany","","","",""
"Min 1x per week","1991","West Germany","","","",""
"Min 1x per week","1991","East Germany","","","",""
"Min 1x per month","1991","West Germany","","","",""
"Min 1x per month","1991","East Germany","","","",""
"Rarely","1991","West Germany","","","",""
"Rarely","1991","East Germany","","","",""
"Never","1991","West Germany","","","",""
"Never","1991","East Germany","","","",""
"Daily","1992","West Germany","","","",""
"Daily","1992","East Germany","","","",""
"Min 1x per week","1992","West Germany","","","",""
"Min 1x per week","1992","East Germany","","","",""
"Min 1x per month","1992","West Germany","","","",""
"Min 1x per month","1992","East Germany","","","",""
"Rarely","1992","West Germany","","","",""
"Rarely","1992","East Germany","","","",""
"Never","1992","West Germany","","","",""
"Never","1992","East Germany","","","",""
"Daily","1993","West Germany","","","",""
"Daily","1993","East Germany","","","",""
"Min 1x per week","1993","West Germany","","","",""
"Min 1x per week","1993","East Germany","","","",""
"Min 1x per month","1993","West Germany","","","",""
"Min 1x per month","1993","East Germany","","","",""
"Rarely","1993","West Germany","","","",""
"Rarely","1993","East Germany","","","",""
"Never","1993","West Germany","","","",""
"Never","1993","East Germany","","","",""
"Daily","1994","West Germany","","","",""
"Daily","1994","East Germany","","","",""
"Min 1x per week","1994","West Germany","","","",""
"Min 1x per week","1994","East Germany","","","",""
"Min 1x per month","1994","West Germany","","","",""
"Min 1x per month","1994","East Germany","","","",""
"Rarely","1994","West Germany","","","",""
"Rarely","1994","East Germany","","","",""
"Never","1994","West Germany","","","",""
"Never","1994","East Germany","","","",""
"Daily","1995","West Germany","19","","",""
"Daily","1995","East Germany","4","","",""
"Min 1x per week","1995","West Germany","533","0.0542612060223254","0.0497261531407449","0.0587962589039059"
"Min 1x per week","1995","East Germany","136","0.0348487550180124","0.028919355132783","0.0407781549032418"
"Min 1x per month","1995","West Germany","820","0.0785599409016914","0.0731736953184852","0.0839461864848975"
"Min 1x per month","1995","East Germany","210","0.0508525732951133","0.0437495584253363","0.0579555881648904"
"Rarely","1995","West Germany","2579","0.271090579071487","0.262191480306452","0.279989677836522"
"Rarely","1995","East Germany","991","0.242254147151001","0.228402009019417","0.256106285282585"
"Never","1995","West Germany","5634","0.594685829676086","0.584857228305938","0.604514431046234"
"Never","1995","East Germany","2334","0.670986543745752","0.655795655986182","0.686177431505322"
"Daily","1996","West Germany","","","",""
"Daily","1996","East Germany","","","",""
"Min 1x per week","1996","West Germany","","","",""
"Min 1x per week","1996","East Germany","","","",""
"Min 1x per month","1996","West Germany","","","",""
"Min 1x per month","1996","East Germany","","","",""
"Rarely","1996","West Germany","","","",""
"Rarely","1996","East Germany","","","",""
"Never","1996","West Germany","","","",""
"Never","1996","East Germany","","","",""
"Daily","1997","West Germany","","","",""
"Daily","1997","East Germany","","","",""
"Min 1x per week","1997","West Germany","","","",""
"Min 1x per week","1997","East Germany","","","",""
"Min 1x per month","1997","West Germany","","","",""
"Min 1x per month","1997","East Germany","","","",""
"Rarely","1997","West Germany","","","",""
"Rarely","1997","East Germany","","","",""
"Never","1997","West Germany","","","",""
"Never","1997","East Germany","","","",""
"Daily","1998","West Germany","12","","",""
"Daily","1998","East Germany","4","","",""
"Min 1x per week","1998","West Germany","575","0.0534810963078641","0.049145092795479","0.0578170998202491"
"Min 1x per week","1998","East Germany","149","0.0341420898805526","0.0284029723038739","0.0398812074572314"
"Min 1x per month","1998","West Germany","877","0.0797363317631932","0.0745158679094894","0.0849567956168971"
"Min 1x per month","1998","East Germany","249","0.0620189543771132","0.0543963618949358","0.0696415468592906"
"Rarely","1998","West Germany","3134","0.302157135607462","0.293307608230551","0.311006662984373"
"Rarely","1998","East Germany","1131","0.268422669845479","0.254417668123444","0.282427671567513"
