"pli0089","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","10","","","","1"
"Daily","1990","direct migration background","10","","","","1"
"Daily","1990","indirect migration background","","","","","1"
"Min 1x per month","1990","direct migration background","214","0.0818780962133965","0.0711943915810565","0.0925618008457364","3"
"Min 1x per month","1990","no migration background","613","0.0878748780029836","0.0810688328207157","0.0946809231852514","3"
"Min 1x per month","1990","indirect migration background","43","0.121010870053678","0.0837938988038134","0.158227841303542","3"
"Min 1x per week","1990","no migration background","456","0.065353268261163","0.0594118154380175","0.0712947210843084","2"
"Min 1x per week","1990","direct migration background","186","0.0591671352957033","0.0499735620292143","0.0683607085621922","2"
"Min 1x per week","1990","indirect migration background","42","0.119771565761835","0.0827195667872846","0.156823564736385","2"
"Never","1990","no migration background","3728","0.581162373929061","0.569301768976303","0.59302297888182","5"
"Never","1990","indirect migration background","126","0.486934371137354","0.429897097353281","0.543971644921428","5"
"Never","1990","direct migration background","1682","0.641304775052712","0.622615912721497","0.659993637383927","5"
"Rarely","1990","no migration background","1840","0.263647303818615","0.253055013892968","0.274239593744261","4"
"Rarely","1990","indirect migration background","84","0.272283193047133","0.221487287950609","0.323079098143657","4"
"Rarely","1990","direct migration background","438","0.215148303688321","0.199136118871414","0.231160488505228","4"
"Daily","1991","no migration background","","","","","1"
"Daily","1991","direct migration background","","","","","1"
"Daily","1991","indirect migration background","","","","","1"
"Min 1x per month","1991","no migration background","","","","","3"
"Min 1x per month","1991","direct migration background","","","","","3"
"Min 1x per month","1991","indirect migration background","","","","","3"
"Min 1x per week","1991","no migration background","","","","","2"
"Min 1x per week","1991","direct migration background","","","","","2"
"Min 1x per week","1991","indirect migration background","","","","","2"
"Never","1991","no migration background","","","","","5"
"Never","1991","direct migration background","","","","","5"
"Never","1991","indirect migration background","","","","","5"
"Rarely","1991","no migration background","","","","","4"
"Rarely","1991","direct migration background","","","","","4"
"Rarely","1991","indirect migration background","","","","","4"
"Daily","1992","no migration background","","","","","1"
"Daily","1992","direct migration background","","","","","1"
"Daily","1992","indirect migration background","","","","","1"
"Min 1x per month","1992","no migration background","","","","","3"
"Min 1x per month","1992","direct migration background","","","","","3"
"Min 1x per month","1992","indirect migration background","","","","","3"
"Min 1x per week","1992","no migration background","","","","","2"
"Min 1x per week","1992","direct migration background","","","","","2"
"Min 1x per week","1992","indirect migration background","","","","","2"
"Never","1992","no migration background","","","","","5"
"Never","1992","direct migration background","","","","","5"
"Never","1992","indirect migration background","","","","","5"
"Rarely","1992","no migration background","","","","","4"
"Rarely","1992","indirect migration background","","","","","4"
"Rarely","1992","direct migration background","","","","","4"
"Daily","1993","no migration background","","","","","1"
"Daily","1993","direct migration background","","","","","1"
"Daily","1993","indirect migration background","","","","","1"
"Min 1x per month","1993","no migration background","","","","","3"
"Min 1x per month","1993","direct migration background","","","","","3"
"Min 1x per month","1993","indirect migration background","","","","","3"
"Min 1x per week","1993","direct migration background","","","","","2"
"Min 1x per week","1993","no migration background","","","","","2"
"Min 1x per week","1993","indirect migration background","","","","","2"
"Never","1993","no migration background","","","","","5"
"Never","1993","direct migration background","","","","","5"
"Never","1993","indirect migration background","","","","","5"
"Rarely","1993","no migration background","","","","","4"
"Rarely","1993","direct migration background","","","","","4"
"Rarely","1993","indirect migration background","","","","","4"
"Daily","1994","no migration background","","","","","1"
"Daily","1994","direct migration background","","","","","1"
"Daily","1994","indirect migration background","","","","","1"
"Min 1x per month","1994","no migration background","","","","","3"
"Min 1x per month","1994","direct migration background","","","","","3"
"Min 1x per month","1994","indirect migration background","","","","","3"
"Min 1x per week","1994","no migration background","","","","","2"
"Min 1x per week","1994","direct migration background","","","","","2"
"Min 1x per week","1994","indirect migration background","","","","","2"
"Never","1994","no migration background","","","","","5"
"Never","1994","direct migration background","","","","","5"
"Never","1994","indirect migration background","","","","","5"
"Rarely","1994","direct migration background","","","","","4"
"Rarely","1994","no migration background","","","","","4"
"Rarely","1994","indirect migration background","","","","","4"
"Daily","1995","no migration background","13","","","","1"
"Daily","1995","direct migration background","3","","","","1"
"Daily","1995","indirect migration background","7","","","","1"
"Min 1x per month","1995","no migration background","760","0.0739040290695325","0.0687679947492415","0.0790400633898235","3"
"Min 1x per month","1995","direct migration background","184","0.0621552529355122","0.0531884033355269","0.0711221025354974","3"
"Min 1x per month","1995","indirect migration background","86","0.127701126826543","0.0986778626206382","0.156724391032449","3"
"Min 1x per week","1995","no migration background","476","0.049444857522318","0.0451887255624899","0.0537009894821461","2"
"Min 1x per week","1995","direct migration background","135","0.0490030144133312","0.0409855607310396","0.0570204680956229","2"
"Min 1x per week","1995","indirect migration background","58","0.112049361304115","0.0846200224588978","0.139478700149332","2"
"Never","1995","no migration background","5829","0.600701107128251","0.591086221310797","0.610315992945705","5"
"Never","1995","direct migration background","1924","0.678541193711846","0.661195716036582","0.69588667138711","5"
"Never","1995","indirect migration background","215","0.473527951482381","0.430109262688961","0.516946640275801","5"
"Rarely","1995","direct migration background","539","0.209039430216201","0.193937689318957","0.224141171113444","4"
"Rarely","1995","no migration background","2889","0.274896418056769","0.26613144818483","0.283661387928708","4"
"Rarely","1995","indirect migration background","142","0.271778477179519","0.233092326362277","0.310464627996761","4"
"Daily","1996","no migration background","","","","","1"
"Daily","1996","direct migration background","","","","","1"
"Daily","1996","indirect migration background","","","","","1"
"Min 1x per month","1996","no migration background","","","","","3"
"Min 1x per month","1996","direct migration background","","","","","3"
"Min 1x per month","1996","indirect migration background","","","","","3"
"Min 1x per week","1996","no migration background","","","","","2"
"Min 1x per week","1996","direct migration background","","","","","2"
