"pli0089","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","West Germany","13","","","","1"
"Daily","1990","Full Time","East Germany","","","","","1"
"Daily","1990","Part Time","West Germany","4","","","","1"
"Daily","1990","Part Time","East Germany","","","","","1"
"Daily","1990","Not Working","West Germany","3","","","","1"
"Daily","1990","Not Working","East Germany","","","","","1"
"Min 1x per month","1990","Full Time","East Germany","","","","","3"
"Min 1x per month","1990","Full Time","West Germany","519","0.118046286087111","0.108536126984678","0.127556445189544","3"
"Min 1x per month","1990","Part Time","West Germany","150","0.08943319104096","0.0759665646131026","0.102899817468817","3"
"Min 1x per month","1990","Part Time","East Germany","","","","","3"
"Min 1x per month","1990","Not Working","West Germany","201","0.0538340960367713","0.0461628727221289","0.0615053193514136","3"
"Min 1x per month","1990","Not Working","East Germany","","","","","3"
"Min 1x per week","1990","Full Time","East Germany","","","","","2"
"Min 1x per week","1990","Full Time","West Germany","436","0.0937644966550217","0.0851728091732737","0.10235618413677","2"
"Min 1x per week","1990","Part Time","West Germany","120","0.0708244912243828","0.0587186729544742","0.0829303094942914","2"
"Min 1x per week","1990","Part Time","East Germany","","","","","2"
"Min 1x per week","1990","Not Working","West Germany","128","0.0319969481769787","0.0260149688419531","0.0379789275120042","2"
"Min 1x per week","1990","Not Working","East Germany","","","","","2"
"Never","1990","Full Time","West Germany","2129","0.45085293778289","0.436187315138109","0.465518560427672","5"
"Never","1990","Full Time","East Germany","","","","","5"
"Never","1990","Part Time","West Germany","1012","0.567107462191883","0.543725752067181","0.590489172316586","5"
"Never","1990","Part Time","East Germany","","","","","5"
"Never","1990","Not Working","West Germany","2395","0.742463605724543","0.727600514041998","0.757326697407089","5"
"Never","1990","Not Working","East Germany","","","","","5"
"Rarely","1990","Full Time","East Germany","","","","","4"
"Rarely","1990","Part Time","West Germany","439","0.270455530257674","0.249493788838143","0.291417271677204","4"
"Rarely","1990","Full Time","West Germany","1325","0.334638297902711","0.320730593775199","0.348546002030223","4"
"Rarely","1990","Not Working","West Germany","598","0.170526589864539","0.157743096387177","0.183310083341902","4"
"Rarely","1990","Part Time","East Germany","","","","","4"
"Rarely","1990","Not Working","East Germany","","","","","4"
"Daily","1991","Full Time","West Germany","","","","","1"
"Daily","1991","Full Time","East Germany","","","","","1"
"Daily","1991","Part Time","West Germany","","","","","1"
"Daily","1991","Part Time","East Germany","","","","","1"
"Daily","1991","Not Working","West Germany","","","","","1"
"Daily","1991","Not Working","East Germany","","","","","1"
"Min 1x per month","1991","Full Time","East Germany","","","","","3"
"Min 1x per month","1991","Full Time","West Germany","","","","","3"
"Min 1x per month","1991","Part Time","West Germany","","","","","3"
"Min 1x per month","1991","Part Time","East Germany","","","","","3"
