"pli0089","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","West Germany","3","","",""
"Daily","1990","Not Employed","East Germany","","","",""
"Daily","1990","Employed","West Germany","17","","",""
"Daily","1990","Employed","East Germany","","","",""
"Min 1x per week","1990","Not Employed","West Germany","128","0.0319969481769787","0.0260149688419531","0.0379789275120042"
"Min 1x per week","1990","Not Employed","East Germany","","","",""
"Min 1x per week","1990","Employed","West Germany","556","0.087149410790443","0.0800984457372486","0.0942003758436375"
"Min 1x per week","1990","Employed","East Germany","","","",""
"Min 1x per month","1990","Not Employed","West Germany","201","0.0538340960367713","0.0461628727221289","0.0615053193514136"
"Min 1x per month","1990","Not Employed","East Germany","","","",""
"Min 1x per month","1990","Employed","West Germany","669","0.109795281912158","0.101979844861925","0.117610718962391"
"Min 1x per month","1990","Employed","East Germany","","","",""
"Rarely","1990","Not Employed","West Germany","598","0.170526589864539","0.157743096387177","0.183310083341902"
"Rarely","1990","Not Employed","East Germany","","","",""
"Rarely","1990","Employed","West Germany","1764","0.316130258735852","0.304506777684638","0.327753739787065"
"Rarely","1990","Employed","East Germany","","","",""
"Never","1990","Not Employed","West Germany","2395","0.742463605724543","0.727600514041998","0.757326697407089"
"Never","1990","Not Employed","East Germany","","","",""
"Never","1990","Employed","West Germany","3141","0.484376629110536","0.471883409576018","0.496869848645053"
"Never","1990","Employed","East Germany","","","",""
"Daily","1991","Not Employed","West Germany","","","",""
"Daily","1991","Not Employed","East Germany","","","",""
"Daily","1991","Employed","West Germany","","","",""
"Daily","1991","Employed","East Germany","","","",""
"Min 1x per week","1991","Not Employed","West Germany","","","",""
"Min 1x per week","1991","Not Employed","East Germany","","","",""
"Min 1x per week","1991","Employed","West Germany","","","",""
"Min 1x per week","1991","Employed","East Germany","","","",""
"Min 1x per month","1991","Not Employed","West Germany","","","",""
"Min 1x per month","1991","Not Employed","East Germany","","","",""
"Min 1x per month","1991","Employed","West Germany","","","",""
"Min 1x per month","1991","Employed","East Germany","","","",""
"Rarely","1991","Not Employed","West Germany","","","",""
"Rarely","1991","Not Employed","East Germany","","","",""
"Rarely","1991","Employed","West Germany","","","",""
"Rarely","1991","Employed","East Germany","","","",""
"Never","1991","Not Employed","West Germany","","","",""
"Never","1991","Not Employed","East Germany","","","",""
"Never","1991","Employed","West Germany","","","",""
"Never","1991","Employed","East Germany","","","",""
"Daily","1992","Not Employed","West Germany","","","",""
"Daily","1992","Not Employed","East Germany","","","",""
"Daily","1992","Employed","West Germany","","","",""
"Daily","1992","Employed","East Germany","","","",""
"Min 1x per week","1992","Not Employed","West Germany","","","",""
"Min 1x per week","1992","Not Employed","East Germany","","","",""
"Min 1x per week","1992","Employed","West Germany","","","",""
"Min 1x per week","1992","Employed","East Germany","","","",""
"Min 1x per month","1992","Not Employed","West Germany","","","",""
"Min 1x per month","1992","Not Employed","East Germany","","","",""
"Min 1x per month","1992","Employed","West Germany","","","",""
"Min 1x per month","1992","Employed","East Germany","","","",""
"Rarely","1992","Not Employed","West Germany","","","",""
"Rarely","1992","Not Employed","East Germany","","","",""
"Rarely","1992","Employed","West Germany","","","",""
"Rarely","1992","Employed","East Germany","","","",""
"Never","1992","Not Employed","West Germany","","","",""
"Never","1992","Not Employed","East Germany","","","",""
"Never","1992","Employed","West Germany","","","",""
"Never","1992","Employed","East Germany","","","",""
"Daily","1993","Not Employed","West Germany","","","",""
"Daily","1993","Not Employed","East Germany","","","",""
"Daily","1993","Employed","West Germany","","","",""
"Daily","1993","Employed","East Germany","","","",""
"Min 1x per week","1993","Not Employed","West Germany","","","",""
"Min 1x per week","1993","Not Employed","East Germany","","","",""
"Min 1x per week","1993","Employed","West Germany","","","",""
