"pli0089","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Male","15","","","","1"
"Daily","1990","Female","5","","","","1"
"Min 1x per month","1990","Male","609","0.125799690966596","0.116288499690541","0.135310882242651","3"
"Min 1x per month","1990","Female","261","0.0524125945589261","0.0461093452840628","0.0587158438337893","3"
"Min 1x per week","1990","Male","513","0.0989158910225365","0.0903532970691878","0.107478484975885","2"
"Min 1x per week","1990","Female","171","0.0342729881879863","0.0291273388334411","0.0394186375425315","2"
"Never","1990","Male","2166","0.457394658895411","0.443106468543083","0.471682849247739","5"
"Never","1990","Female","3370","0.706043553075043","0.693158261401467","0.718928844748618","5"
"Rarely","1990","Male","1367","0.314311744832608","0.300996985807177","0.32762650385804","4"
"Rarely","1990","Female","995","0.206712298451642","0.195258869349457","0.218165727553827","4"
"Daily","1991","Male","","","","","1"
"Daily","1991","Female","","","","","1"
"Min 1x per month","1991","Male","","","","","3"
"Min 1x per month","1991","Female","","","","","3"
"Min 1x per week","1991","Male","","","","","2"
"Min 1x per week","1991","Female","","","","","2"
"Never","1991","Male","","","","","5"
"Never","1991","Female","","","","","5"
"Rarely","1991","Male","","","","","4"
"Rarely","1991","Female","","","","","4"
"Daily","1992","Male","","","","","1"
"Daily","1992","Female","","","","","1"
"Min 1x per month","1992","Male","","","","","3"
"Min 1x per month","1992","Female","","","","","3"
"Min 1x per week","1992","Male","","","","","2"
"Min 1x per week","1992","Female","","","","","2"
"Never","1992","Male","","","","","5"
"Never","1992","Female","","","","","5"
"Rarely","1992","Male","","","","","4"
"Rarely","1992","Female","","","","","4"
"Daily","1993","Male","","","","","1"
"Daily","1993","Female","","","","","1"
"Min 1x per month","1993","Male","","","","","3"
"Min 1x per month","1993","Female","","","","","3"
"Min 1x per week","1993","Male","","","","","2"
"Min 1x per week","1993","Female","","","","","2"
"Never","1993","Male","","","","","5"
"Never","1993","Female","","","","","5"
"Rarely","1993","Male","","","","","4"
"Rarely","1993","Female","","","","","4"
"Daily","1994","Female","","","","","1"
"Daily","1994","Male","","","","","1"
"Min 1x per month","1994","Female","","","","","3"
"Min 1x per month","1994","Male","","","","","3"
"Min 1x per week","1994","Male","","","","","2"
"Min 1x per week","1994","Female","","","","","2"
"Never","1994","Male","","","","","5"
"Never","1994","Female","","","","","5"
"Rarely","1994","Female","","","","","4"
"Rarely","1994","Male","","","","","4"
"Daily","1995","Female","2","","","","1"
"Daily","1995","Male","21","","","","1"
"Min 1x per month","1995","Female","335","0.0457194860195341","0.0407806248960516","0.0506583471430165","3"
"Min 1x per month","1995","Male","695","0.103080989087605","0.095625132425847","0.110536845749364","3"
"Min 1x per week","1995","Female","173","0.028600496441231","0.0246593384850808","0.0325416543973812","2"
"Min 1x per week","1995","Male","496","0.0743196292024975","0.0678881045105422","0.0807511538944528","2"
"Never","1995","Male","3094","0.492965553542193","0.480706451324049","0.505224655760336","5"
"Never","1995","Female","4874","0.716625515638273","0.705970241644063","0.727280789632483","5"
"Rarely","1995","Female","1487","0.208864059120031","0.199252462609253","0.218475655630808","4"
"Rarely","1995","Male","2083","0.327054167115718","0.31555062612008","0.338557708111356","4"
"Daily","1996","Female","","","","","1"
"Daily","1996","Male","","","","","1"
"Min 1x per month","1996","Female","","","","","3"
"Min 1x per month","1996","Male","","","","","3"
"Min 1x per week","1996","Female","","","","","2"
"Min 1x per week","1996","Male","","","","","2"
"Never","1996","Male","","","","","5"
"Never","1996","Female","","","","","5"
"Rarely","1996","Female","","","","","4"
"Rarely","1996","Male","","","","","4"
"Daily","1997","Female","","","","","1"
"Daily","1997","Male","","","","","1"
"Min 1x per month","1997","Male","","","","","3"
"Min 1x per month","1997","Female","","","","","3"
"Min 1x per week","1997","Female","","","","","2"
"Min 1x per week","1997","Male","","","","","2"
"Never","1997","Female","","","","","5"
"Never","1997","Male","","","","","5"
"Rarely","1997","Female","","","","","4"
"Rarely","1997","Male","","","","","4"
"Daily","1998","Female","5","","","","1"
"Daily","1998","Male","11","","","","1"
"Min 1x per month","1998","Male","791","0.113381124773159","0.105884851977857","0.12087739756846","3"
"Min 1x per month","1998","Female","335","0.0416222507973667","0.0370459695698867","0.0461985320248466","3"
"Min 1x per week","1998","Female","198","0.0262161245984678","0.0225551467660315","0.0298771024309041","2"
"Min 1x per week","1998","Male","526","0.0749121174244746","0.0686880534468503","0.0811361814020989","2"
