"pli0089","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","in school","","","",""
"Daily","1990","Full Time","inadequately","1","","",""
"Daily","1990","Full Time","general elemantary","3","","",""
"Daily","1990","Full Time","middle vocational","7","","",""
"Daily","1990","Full Time","vocational + Abi","","","",""
"Daily","1990","Full Time","higher vocational","2","","",""
"Daily","1990","Full Time","higher education","","","",""
"Daily","1990","Part Time","in school","","","",""
"Daily","1990","Part Time","inadequately","2","","",""
"Daily","1990","Part Time","general elemantary","","","",""
"Daily","1990","Part Time","middle vocational","2","","",""
"Daily","1990","Part Time","vocational + Abi","","","",""
"Daily","1990","Part Time","higher vocational","","","",""
"Daily","1990","Part Time","higher education","","","",""
"Daily","1990","Not Working","in school","","","",""
"Daily","1990","Not Working","inadequately","","","",""
"Daily","1990","Not Working","general elemantary","2","","",""
"Daily","1990","Not Working","middle vocational","1","","",""
"Daily","1990","Not Working","vocational + Abi","","","",""
"Daily","1990","Not Working","higher vocational","","","",""
"Daily","1990","Not Working","higher education","","","",""
"Min 1x per week","1990","Full Time","in school","","","",""
"Min 1x per week","1990","Full Time","inadequately","14","","",""
"Min 1x per week","1990","Full Time","general elemantary","94","0.0896261253082143","0.0709435334390697","0.108308717177359"
"Min 1x per week","1990","Full Time","middle vocational","259","0.105626826033035","0.0931521201465956","0.118101531919474"
"Min 1x per week","1990","Full Time","vocational + Abi","14","","",""
"Min 1x per week","1990","Full Time","higher vocational","19","","",""
"Min 1x per week","1990","Full Time","higher education","26","","",""
"Min 1x per week","1990","Part Time","in school","3","","",""
"Min 1x per week","1990","Part Time","inadequately","2","","",""
"Min 1x per week","1990","Part Time","general elemantary","33","0.0582547052125874","0.0375159691251362","0.0789934413000387"
"Min 1x per week","1990","Part Time","middle vocational","62","0.0776570438430103","0.0590180637237016","0.096296023962319"
"Min 1x per week","1990","Part Time","vocational + Abi","6","","",""
"Min 1x per week","1990","Part Time","higher vocational","6","","",""
"Min 1x per week","1990","Part Time","higher education","6","","",""
"Min 1x per week","1990","Not Working","in school","25","","",""
"Min 1x per week","1990","Not Working","inadequately","6","","",""
"Min 1x per week","1990","Not Working","general elemantary","35","0.0245981066369169","0.0153813979905942","0.0338148152832396"
"Min 1x per week","1990","Not Working","middle vocational","43","0.0279195773428599","0.0193479671743175","0.0364911875114023"
"Min 1x per week","1990","Not Working","vocational + Abi","8","","",""
"Min 1x per week","1990","Not Working","higher vocational","4","","",""
"Min 1x per week","1990","Not Working","higher education","2","","",""
"Min 1x per month","1990","Full Time","in school","","","",""
"Min 1x per month","1990","Full Time","inadequately","26","","",""
"Min 1x per month","1990","Full Time","general elemantary","104","0.122044963416087","0.100635489745119","0.143454437087054"
"Min 1x per month","1990","Full Time","middle vocational","311","0.126182038321503","0.112705043202517","0.13965903344049"
"Min 1x per month","1990","Full Time","vocational + Abi","16","","",""
"Min 1x per month","1990","Full Time","higher vocational","33","0.138814002344104","0.0988128722808163","0.178815132407391"
"Min 1x per month","1990","Full Time","higher education","24","","",""
"Min 1x per month","1990","Part Time","in school","4","","",""
"Min 1x per month","1990","Part Time","inadequately","8","","",""
"Min 1x per month","1990","Part Time","general elemantary","34","0.0696116382900568","0.0470784257553469","0.0921448508247666"
"Min 1x per month","1990","Part Time","middle vocational","78","0.100651519444174","0.0796978701591234","0.121605168729225"
"Min 1x per month","1990","Part Time","vocational + Abi","7","","",""
"Min 1x per month","1990","Part Time","higher vocational","6","","",""
"Min 1x per month","1990","Part Time","higher education","9","","",""
"Min 1x per month","1990","Not Working","in school","16","","",""
