"pli0089","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","(0) in school","","","",""
"Daily","1990","Full Time","(1a) inadequately completed","1","","",""
"Daily","1990","Full Time","(1b) general elementary school","3","","",""
"Daily","1990","Full Time","(1c) basic vocational qualification","6","","",""
"Daily","1990","Full Time","(2b) intermediate general qualification","","","",""
"Daily","1990","Full Time","(2a) intermediate vocational","3","","",""
"Daily","1990","Full Time","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Full Time","(3a) lower tertiary education","","","",""
"Daily","1990","Full Time","(3b) higher tertiary education","","","",""
"Daily","1990","Part Time","(0) in school","","","",""
"Daily","1990","Part Time","(1a) inadequately completed","2","","",""
"Daily","1990","Part Time","(1b) general elementary school","","","",""
"Daily","1990","Part Time","(1c) basic vocational qualification","1","","",""
"Daily","1990","Part Time","(2b) intermediate general qualification","","","",""
"Daily","1990","Part Time","(2a) intermediate vocational","","","",""
"Daily","1990","Part Time","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Part Time","(3a) lower tertiary education","","","",""
"Daily","1990","Part Time","(3b) higher tertiary education","","","",""
"Daily","1990","Not Working","(0) in school","","","",""
"Daily","1990","Not Working","(1a) inadequately completed","","","",""
"Daily","1990","Not Working","(1b) general elementary school","2","","",""
"Daily","1990","Not Working","(1c) basic vocational qualification","1","","",""
"Daily","1990","Not Working","(2b) intermediate general qualification","","","",""
"Daily","1990","Not Working","(2a) intermediate vocational","","","",""
"Daily","1990","Not Working","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Not Working","(3a) lower tertiary education","","","",""
"Daily","1990","Not Working","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","Full Time","(0) in school","","","",""
"Min 1x per week","1990","Full Time","(1a) inadequately completed","21","","",""
"Min 1x per week","1990","Full Time","(1b) general elementary school","75","0.0779246154078716","0.0589668114047047","0.0968824194110385"
"Min 1x per week","1990","Full Time","(1c) basic vocational qualification","188","0.10608773853363","0.0914014076294548","0.120774069437805"
"Min 1x per week","1990","Full Time","(2b) intermediate general qualification","20","","",""
"Min 1x per week","1990","Full Time","(2a) intermediate vocational","65","0.0913911224064812","0.0700744196980331","0.112707825114929"
"Min 1x per week","1990","Full Time","(2c_gen) general maturity certificate","7","","",""
"Min 1x per week","1990","Full Time","(2c_voc) vocational maturity certificate","21","","",""
"Min 1x per week","1990","Full Time","(3a) lower tertiary education","8","","",""
"Min 1x per week","1990","Full Time","(3b) higher tertiary education","18","","",""
"Min 1x per week","1990","Part Time","(0) in school","3","","",""
"Min 1x per week","1990","Part Time","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","Part Time","(1b) general elementary school","25","","",""
"Min 1x per week","1990","Part Time","(1c) basic vocational qualification","33","0.0624611080277466","0.0414177170995093","0.0835044989559838"
"Min 1x per week","1990","Part Time","(2b) intermediate general qualification","8","","",""
"Min 1x per week","1990","Part Time","(2a) intermediate vocational","18","","",""
"Min 1x per week","1990","Part Time","(2c_gen) general maturity certificate","15","","",""
"Min 1x per week","1990","Part Time","(2c_voc) vocational maturity certificate","8","","",""
"Min 1x per week","1990","Part Time","(3a) lower tertiary education","3","","",""
"Min 1x per week","1990","Part Time","(3b) higher tertiary education","3","","",""
"Min 1x per week","1990","Not Working","(0) in school","25","","",""
"Min 1x per week","1990","Not Working","(1a) inadequately completed","5","","",""
"Min 1x per week","1990","Not Working","(1b) general elementary school","24","","",""
"Min 1x per week","1990","Not Working","(1c) basic vocational qualification","31","0.0279639538585456","0.0178411348353133","0.0380867728817779"
"Min 1x per week","1990","Not Working","(2b) intermediate general qualification","12","","",""
"Min 1x per week","1990","Not Working","(2a) intermediate vocational","4","","",""
"Min 1x per week","1990","Not Working","(2c_gen) general maturity certificate","9","","",""
"Min 1x per week","1990","Not Working","(2c_voc) vocational maturity certificate","11","","",""
"Min 1x per week","1990","Not Working","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","Not Working","(3b) higher tertiary education","2","","",""
"Min 1x per month","1990","Full Time","(0) in school","","","",""
"Min 1x per month","1990","Full Time","(1a) inadequately completed","30","0.170882948383826","0.127783514207457","0.213982382560196"
"Min 1x per month","1990","Full Time","(1b) general elementary school","90","0.121410185867845","0.0983114546684041","0.144508917067285"
"Min 1x per month","1990","Full Time","(1c) basic vocational qualification","229","0.134874227975053","0.118583616838148","0.151164839111957"
"Min 1x per month","1990","Full Time","(2b) intermediate general qualification","15","","",""
"Min 1x per month","1990","Full Time","(2a) intermediate vocational","94","0.119149185093825","0.0951842502050952","0.143114119982555"
"Min 1x per month","1990","Full Time","(2c_gen) general maturity certificate","9","","",""
"Min 1x per month","1990","Full Time","(2c_voc) vocational maturity certificate","20","","",""
"Min 1x per month","1990","Full Time","(3a) lower tertiary education","10","","",""
"Min 1x per month","1990","Full Time","(3b) higher tertiary education","14","","",""
"Min 1x per month","1990","Part Time","(0) in school","4","","",""
"Min 1x per month","1990","Part Time","(1a) inadequately completed","8","","",""
"Min 1x per month","1990","Part Time","(1b) general elementary school","23","","",""
"Min 1x per month","1990","Part Time","(1c) basic vocational qualification","39","0.0764302548965298","0.0533264378063761","0.0995340719866835"
"Min 1x per month","1990","Part Time","(2b) intermediate general qualification","11","","",""
"Min 1x per month","1990","Part Time","(2a) intermediate vocational","29","","",""
"Min 1x per month","1990","Part Time","(2c_gen) general maturity certificate","14","","",""
"Min 1x per month","1990","Part Time","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per month","1990","Part Time","(3a) lower tertiary education","3","","",""
"Min 1x per month","1990","Part Time","(3b) higher tertiary education","6","","",""
"Min 1x per month","1990","Not Working","(0) in school","16","","",""
"Min 1x per month","1990","Not Working","(1a) inadequately completed","8","","",""
"Min 1x per month","1990","Not Working","(1b) general elementary school","42","0.0316372426687583","0.0206730894197597","0.0426013959177569"
"Min 1x per month","1990","Not Working","(1c) basic vocational qualification","64","0.0616515068484736","0.0468837365915815","0.0764192771053657"
"Min 1x per month","1990","Not Working","(2b) intermediate general qualification","15","","",""
"Min 1x per month","1990","Not Working","(2a) intermediate vocational","19","","",""
"Min 1x per month","1990","Not Working","(2c_gen) general maturity certificate","24","","",""
"Min 1x per month","1990","Not Working","(2c_voc) vocational maturity certificate","6","","",""
"Min 1x per month","1990","Not Working","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","Not Working","(3b) higher tertiary education","4","","",""
"Rarely","1990","Full Time","(0) in school","","","",""
"Rarely","1990","Full Time","(1a) inadequately completed","44","0.130224354477822","0.0916885873438052","0.168760121611839"
"Rarely","1990","Full Time","(1b) general elementary school","160","0.227498804550829","0.19785003868303","0.257147570418629"
"Rarely","1990","Full Time","(1c) basic vocational qualification","542","0.3435178924611","0.320870438030278","0.366165346891922"
"Rarely","1990","Full Time","(2b) intermediate general qualification","51","0.355056447472546","0.276349426783572","0.43376346816152"
"Rarely","1990","Full Time","(2a) intermediate vocational","251","0.37181340091378","0.336062549589148","0.407564252238412"
"Rarely","1990","Full Time","(2c_gen) general maturity certificate","30","0.440448480678096","0.334284780758364","0.546612180597828"
"Rarely","1990","Full Time","(2c_voc) vocational maturity certificate","77","0.35728697559865","0.294108506659013","0.420465444538288"
"Rarely","1990","Full Time","(3a) lower tertiary education","52","0.371045151956749","0.292142797963934","0.449947505949563"
"Rarely","1990","Full Time","(3b) higher tertiary education","99","0.351500854623391","0.296360476006904","0.406641233239879"
"Rarely","1990","Part Time","(0) in school","5","","",""
"Rarely","1990","Part Time","(1a) inadequately completed","15","","",""
"Rarely","1990","Part Time","(1b) general elementary school","72","0.20464185022061","0.164805588707362","0.244478111733858"
"Rarely","1990","Part Time","(1c) basic vocational qualification","140","0.282210807271374","0.243072547361046","0.321349067181703"
"Rarely","1990","Part Time","(2b) intermediate general qualification","37","0.3569839653835","0.26400531001012","0.449962620756879"
