"pli0089","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","Male","9","","",""
"Daily","1990","Full Time","Female","4","","",""
"Daily","1990","Part Time","Male","3","","",""
"Daily","1990","Part Time","Female","1","","",""
"Daily","1990","Not Working","Male","3","","",""
"Daily","1990","Not Working","Female","","","",""
"Min 1x per week","1990","Full Time","Male","368","0.110920161362391","0.0998726905688359","0.121967632155946"
"Min 1x per week","1990","Full Time","Female","68","0.053145108878702","0.0410345621449604","0.0652556556124435"
"Min 1x per week","1990","Part Time","Male","61","0.119585482746466","0.0912574998945586","0.147913465598374"
"Min 1x per week","1990","Part Time","Female","59","0.0506030427268034","0.0383087799198194","0.0628973055337875"
"Min 1x per week","1990","Not Working","Male","84","0.0619713020777022","0.0474705941230457","0.0764720100323587"
"Min 1x per week","1990","Not Working","Female","44","0.0180434469240526","0.0125592668861014","0.0235276269620038"
"Min 1x per month","1990","Full Time","Male","425","0.134304956722984","0.122309529483443","0.146300383962525"
"Min 1x per month","1990","Full Time","Female","94","0.0795507070144839","0.0649419810657444","0.0941594329632235"
"Min 1x per month","1990","Part Time","Male","70","0.132085479405319","0.102525859974051","0.161645098836588"
"Min 1x per month","1990","Part Time","Female","80","0.0717450549809461","0.0572700113598913","0.0862200986020009"
"Min 1x per month","1990","Not Working","Male","114","0.102990682917527","0.0847103846056688","0.121270981229385"
"Min 1x per month","1990","Not Working","Female","87","0.0309509840637176","0.0238156236060483","0.0380863445213869"
"Rarely","1990","Full Time","Male","985","0.357279774739741","0.340421915082684","0.374137634396799"
"Rarely","1990","Full Time","Female","340","0.281030178184863","0.256762837002399","0.305297519367328"
"Rarely","1990","Part Time","Male","142","0.309666047906339","0.269300650249495","0.350031445563184"
"Rarely","1990","Part Time","Female","297","0.254194715240472","0.229772433002797","0.278616997478148"
"Rarely","1990","Not Working","Male","240","0.213744329231053","0.189088760279681","0.238399898182424"
"Rarely","1990","Not Working","Female","358","0.150408098490327","0.135680002486173","0.165136194494482"
"Never","1990","Full Time","Male","1317","0.394457460988949","0.377264144763295","0.411650777214602"
