"pli0089","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","lower secondary degree","6","","",""
"Daily","1990","Full Time","secondary school degree","3","","",""
"Daily","1990","Full Time","college entrance qualification","","","",""
"Daily","1990","Full Time","Other degree","3","","",""
"Daily","1990","Full Time","no degree/no degree yet","1","","",""
"Daily","1990","Part Time","lower secondary degree","1","","",""
"Daily","1990","Part Time","secondary school degree","","","",""
"Daily","1990","Part Time","college entrance qualification","1","","",""
"Daily","1990","Part Time","Other degree","","","",""
"Daily","1990","Part Time","no degree/no degree yet","2","","",""
"Daily","1990","Not Working","lower secondary degree","2","","",""
"Daily","1990","Not Working","secondary school degree","","","",""
"Daily","1990","Not Working","college entrance qualification","","","",""
"Daily","1990","Not Working","Other degree","1","","",""
"Daily","1990","Not Working","no degree/no degree yet","","","",""
"Min 1x per week","1990","Full Time","lower secondary degree","212","0.0986280140163629","0.0853908684799919","0.111865159552734"
"Min 1x per week","1990","Full Time","secondary school degree","88","0.0950595897886292","0.0756813326735222","0.114437846903736"
"Min 1x per week","1990","Full Time","college entrance qualification","37","0.0664830399810035","0.0464657099641001","0.0865003699979068"
"Min 1x per week","1990","Full Time","Other degree","65","0.120924517785706","0.0950934329447453","0.146755602626667"
"Min 1x per week","1990","Full Time","no degree/no degree yet","21","","",""
"Min 1x per week","1990","Part Time","lower secondary degree","52","0.0590479661511783","0.0425797355698709","0.0755161967324857"
"Min 1x per week","1990","Part Time","secondary school degree","27","","",""
"Min 1x per week","1990","Part Time","college entrance qualification","26","","",""
"Min 1x per week","1990","Part Time","Other degree","8","","",""
"Min 1x per week","1990","Part Time","no degree/no degree yet","5","","",""
"Min 1x per week","1990","Not Working","lower secondary degree","52","0.0237857465316615","0.0167501380596501","0.0308213550036728"
"Min 1x per week","1990","Not Working","secondary school degree","16","","",""
"Min 1x per week","1990","Not Working","college entrance qualification","18","","",""
"Min 1x per week","1990","Not Working","Other degree","7","","",""
"Min 1x per week","1990","Not Working","no degree/no degree yet","30","0.0915232219798439","0.0641732604935179","0.11887318346617"
"Min 1x per month","1990","Full Time","lower secondary degree","266","0.132691271993493","0.117630396837518","0.147752147149469"
"Min 1x per month","1990","Full Time","secondary school degree","113","0.12062528546684","0.0991067396630893","0.14214383127059"
"Min 1x per month","1990","Full Time","college entrance qualification","39","0.0675436991430331","0.0473787898382416","0.0877086084478245"
