"pli0089","year","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","13","","",""
"Daily","1990","Part Time","4","","",""
"Daily","1990","Not Working","3","","",""
"Min 1x per week","1990","Full Time","436","0.0937644966550217","0.0851728091732737","0.10235618413677"
"Min 1x per week","1990","Part Time","120","0.0708244912243828","0.0587186729544742","0.0829303094942914"
"Min 1x per week","1990","Not Working","128","0.0319969481769787","0.0260149688419531","0.0379789275120042"
"Min 1x per month","1990","Full Time","519","0.118046286087111","0.108536126984678","0.127556445189544"
"Min 1x per month","1990","Part Time","150","0.08943319104096","0.0759665646131026","0.102899817468817"
"Min 1x per month","1990","Not Working","201","0.0538340960367713","0.0461628727221289","0.0615053193514136"
"Rarely","1990","Full Time","1325","0.334638297902711","0.320730593775199","0.348546002030223"
"Rarely","1990","Part Time","439","0.270455530257674","0.249493788838143","0.291417271677204"
"Rarely","1990","Not Working","598","0.170526589864539","0.157743096387177","0.183310083341902"
"Never","1990","Full Time","2129","0.45085293778289","0.436187315138109","0.465518560427672"
"Never","1990","Part Time","1012","0.567107462191883","0.543725752067181","0.590489172316586"
"Never","1990","Not Working","2395","0.742463605724543","0.727600514041998","0.757326697407089"
"Daily","1991","Full Time","","","",""
"Daily","1991","Part Time","","","",""
"Daily","1991","Not Working","","","",""
"Min 1x per week","1991","Full Time","","","",""
"Min 1x per week","1991","Part Time","","","",""
"Min 1x per week","1991","Not Working","","","",""
"Min 1x per month","1991","Full Time","","","",""
"Min 1x per month","1991","Part Time","","","",""
"Min 1x per month","1991","Not Working","","","",""
"Rarely","1991","Full Time","","","",""
"Rarely","1991","Part Time","","","",""
"Rarely","1991","Not Working","","","",""
"Never","1991","Full Time","","","",""
"Never","1991","Part Time","","","",""
"Never","1991","Not Working","","","",""
"Daily","1992","Full Time","","","",""
"Daily","1992","Part Time","","","",""
"Daily","1992","Not Working","","","",""
"Min 1x per week","1992","Full Time","","","",""
"Min 1x per week","1992","Part Time","","","",""
"Min 1x per week","1992","Not Working","","","",""
"Min 1x per month","1992","Full Time","","","",""
"Min 1x per month","1992","Part Time","","","",""
"Min 1x per month","1992","Not Working","","","",""
"Rarely","1992","Full Time","","","",""
"Rarely","1992","Part Time","","","",""
"Rarely","1992","Not Working","","","",""
"Never","1992","Full Time","","","",""
"Never","1992","Part Time","","","",""
"Never","1992","Not Working","","","",""
"Daily","1993","Full Time","","","",""
"Daily","1993","Part Time","","","",""
"Daily","1993","Not Working","","","",""
"Min 1x per week","1993","Full Time","","","",""
"Min 1x per week","1993","Part Time","","","",""
"Min 1x per week","1993","Not Working","","","",""
"Min 1x per month","1993","Full Time","","","",""
"Min 1x per month","1993","Part Time","","","",""
"Min 1x per month","1993","Not Working","","","",""
"Rarely","1993","Full Time","","","",""
"Rarely","1993","Part Time","","","",""
"Rarely","1993","Not Working","","","",""
"Never","1993","Full Time","","","",""
"Never","1993","Part Time","","","",""
"Never","1993","Not Working","","","",""
"Daily","1994","Full Time","","","",""
"Daily","1994","Part Time","","","",""
"Daily","1994","Not Working","","","",""
"Min 1x per week","1994","Full Time","","","",""
"Min 1x per week","1994","Part Time","","","",""
"Min 1x per week","1994","Not Working","","","",""
"Min 1x per month","1994","Full Time","","","",""
"Min 1x per month","1994","Part Time","","","",""
"Min 1x per month","1994","Not Working","","","",""
"Rarely","1994","Full Time","","","",""
"Rarely","1994","Part Time","","","",""
"Rarely","1994","Not Working","","","",""
"Never","1994","Full Time","","","",""
"Never","1994","Part Time","","","",""
"Never","1994","Not Working","","","",""
"Daily","1995","Full Time","12","","",""
"Daily","1995","Part Time","5","","",""
"Daily","1995","Not Working","6","","",""
"Min 1x per week","1995","Full Time","371","0.0649645578721795","0.058664440493422","0.0712646752509369"
"Min 1x per week","1995","Part Time","129","0.0536402034239482","0.0449748662628063","0.0623055405850901"
"Min 1x per week","1995","Not Working","169","0.0355108422038222","0.0302666129749135","0.0407550714327309"
"Min 1x per month","1995","Full Time","571","0.0997783569615791","0.0921172899699003","0.107439423953258"
"Min 1x per month","1995","Part Time","194","0.0768270066193429","0.0665843970638408","0.0870696161748449"
"Min 1x per month","1995","Not Working","265","0.0465587843632461","0.0405884276114088","0.0525291411150833"
"Rarely","1995","Full Time","1957","0.345697658834147","0.333540451672373","0.357854865995922"
"Rarely","1995","Part Time","707","0.299487621388064","0.281871533778535","0.317103708997593"
"Rarely","1995","Not Working","906","0.174864974967514","0.164101154840731","0.185628795094298"
"Never","1995","Full Time","2968","0.488103772313632","0.475326345339504","0.500881199287761"
"Never","1995","Part Time","1562","0.568728072366768","0.549680481943639","0.587775662789896"
"Never","1995","Not Working","3438","0.74183377951254","0.729432813521148","0.754234745503933"
"Daily","1996","Full Time","","","",""
"Daily","1996","Part Time","","","",""
"Daily","1996","Not Working","","","",""
"Min 1x per week","1996","Full Time","","","",""
"Min 1x per week","1996","Part Time","","","",""
"Min 1x per week","1996","Not Working","","","",""
"Min 1x per month","1996","Full Time","","","",""
"Min 1x per month","1996","Part Time","","","",""
"Min 1x per month","1996","Not Working","","","",""
"Rarely","1996","Full Time","","","",""
"Rarely","1996","Part Time","","","",""
"Rarely","1996","Not Working","","","",""
"Never","1996","Full Time","","","",""
"Never","1996","Part Time","","","",""
"Never","1996","Not Working","","","",""
"Daily","1997","Full Time","","","",""
"Daily","1997","Part Time","","","",""
"Daily","1997","Not Working","","","",""
"Min 1x per week","1997","Full Time","","","",""
"Min 1x per week","1997","Part Time","","","",""
"Min 1x per week","1997","Not Working","","","",""
"Min 1x per month","1997","Full Time","","","",""
"Min 1x per month","1997","Part Time","","","",""
"Min 1x per month","1997","Not Working","","","",""
"Rarely","1997","Full Time","","","",""
"Rarely","1997","Part Time","","","",""
"Rarely","1997","Not Working","","","",""
"Never","1997","Full Time","","","",""
"Never","1997","Part Time","","","",""
"Never","1997","Not Working","","","",""
"Daily","1998","Full Time","7","","",""
"Daily","1998","Part Time","3","","",""
"Daily","1998","Not Working","6","","",""
"Min 1x per week","1998","Full Time","364","0.0632284437262468","0.0570549072367928","0.0694019802157007"
"Min 1x per week","1998","Part Time","168","0.062132717226017","0.0532872652594536","0.0709781691925804"
"Min 1x per week","1998","Not Working","192","0.0324016255666311","0.0276605410105722","0.03714271012269"
"Min 1x per month","1998","Full Time","598","0.104943337069742","0.0971689953608069","0.112717678778678"
"Min 1x per month","1998","Part Time","212","0.0701336877524494","0.0607761248124536","0.0794912506924451"
"Min 1x per month","1998","Not Working","316","0.05351277613151","0.0474867244040615","0.0595388278589584"
"Rarely","1998","Full Time","2162","0.368266781375262","0.356031638206509","0.380501924544014"
"Rarely","1998","Part Time","920","0.337463763942202","0.320137395185173","0.35479013269923"
"Rarely","1998","Not Working","1183","0.212759233655535","0.201800894619629","0.223717572691441"
"Never","1998","Full Time","2839","0.462447406499116","0.44979996788158","0.475094845116653"
"Never","1998","Part Time","1558","0.528848958805817","0.510558059177652","0.547139858433983"
"Never","1998","Not Working","3661","0.700269281688572","0.68800209706511","0.712536466312035"
"Daily","1999","Full Time","","","",""
"Daily","1999","Part Time","","","",""
"Daily","1999","Not Working","","","",""
"Min 1x per week","1999","Full Time","","","",""
"Min 1x per week","1999","Part Time","","","",""
"Min 1x per week","1999","Not Working","","","",""
"Min 1x per month","1999","Full Time","","","",""
"Min 1x per month","1999","Part Time","","","",""
"Min 1x per month","1999","Not Working","","","",""
"Rarely","1999","Full Time","","","",""
"Rarely","1999","Part Time","","","",""
"Rarely","1999","Not Working","","","",""
"Never","1999","Full Time","","","",""
"Never","1999","Part Time","","","",""
"Never","1999","Not Working","","","",""
"Daily","2000","Full Time","","","",""
"Daily","2000","Part Time","","","",""
"Daily","2000","Not Working","","","",""
"Min 1x per week","2000","Full Time","","","",""
"Min 1x per week","2000","Part Time","","","",""
"Min 1x per week","2000","Not Working","","","",""
"Min 1x per month","2000","Full Time","","","",""
"Min 1x per month","2000","Part Time","","","",""
"Min 1x per month","2000","Not Working","","","",""
"Rarely","2000","Full Time","","","",""
"Rarely","2000","Part Time","","","",""
"Rarely","2000","Not Working","","","",""
"Never","2000","Full Time","","","",""
"Never","2000","Part Time","","","",""
"Never","2000","Not Working","","","",""
"Daily","2001","Full Time","","","",""
"Daily","2001","Part Time","","","",""
"Daily","2001","Not Working","","","",""
"Min 1x per week","2001","Full Time","","","",""
"Min 1x per week","2001","Part Time","","","",""
"Min 1x per week","2001","Not Working","","","",""
"Min 1x per month","2001","Full Time","","","",""
"Min 1x per month","2001","Part Time","","","",""
"Min 1x per month","2001","Not Working","","","",""
"Rarely","2001","Full Time","","","",""
"Rarely","2001","Part Time","","","",""
"Rarely","2001","Not Working","","","",""
"Never","2001","Full Time","","","",""
"Never","2001","Part Time","","","",""
"Never","2001","Not Working","","","",""
"Daily","2002","Full Time","","","",""
"Daily","2002","Part Time","","","",""
"Daily","2002","Not Working","","","",""
"Min 1x per week","2002","Full Time","","","",""
"Min 1x per week","2002","Part Time","","","",""
"Min 1x per week","2002","Not Working","","","",""
"Min 1x per month","2002","Full Time","","","",""
"Min 1x per month","2002","Part Time","","","",""
"Min 1x per month","2002","Not Working","","","",""
"Rarely","2002","Full Time","","","",""
"Rarely","2002","Part Time","","","",""
"Rarely","2002","Not Working","","","",""
"Never","2002","Full Time","","","",""
"Never","2002","Part Time","","","",""
"Never","2002","Not Working","","","",""
"Daily","2003","Full Time","11","","",""
"Daily","2003","Part Time","6","","",""
"Daily","2003","Not Working","14","","",""
"Min 1x per week","2003","Full Time","515","0.0568577732205106","0.0520408021394249","0.0616747443015963"
"Min 1x per week","2003","Part Time","286","0.0555347129098236","0.0492455349107818","0.0618238909088653"
"Min 1x per week","2003","Not Working","306","0.0332577517077036","0.0293620020533263","0.0371535013620808"
"Min 1x per month","2003","Full Time","903","0.103710539666433","0.0973685414946381","0.110052537838227"
"Min 1x per month","2003","Part Time","414","0.0762997605762583","0.0690094549320221","0.0835900662204945"
"Min 1x per month","2003","Not Working","462","0.0478983939663971","0.0432586782325495","0.0525381097002446"
"Rarely","2003","Full Time","3300","0.37401796949484","0.363952878906599","0.384083060083082"
"Rarely","2003","Part Time","1557","0.295481324890764","0.282951935850343","0.308010713931186"
"Rarely","2003","Not Working","1693","0.194816296574233","0.186211326227551","0.203421266920915"
"Never","2003","Full Time","4149","0.464450543394681","0.454076213601042","0.47482487318832"
"Never","2003","Part Time","2831","0.571006070244288","0.557414658894444","0.584597481594133"
"Never","2003","Not Working","5663","0.722391490076971","0.712661958175095","0.732121021978847"
"Daily","2004","Full Time","","","",""
"Daily","2004","Part Time","","","",""
"Daily","2004","Not Working","","","",""
"Min 1x per week","2004","Full Time","","","",""
"Min 1x per week","2004","Part Time","","","",""
"Min 1x per week","2004","Not Working","","","",""
"Min 1x per month","2004","Full Time","","","",""
"Min 1x per month","2004","Part Time","","","",""
"Min 1x per month","2004","Not Working","","","",""
"Rarely","2004","Full Time","","","",""
"Rarely","2004","Part Time","","","",""
"Rarely","2004","Not Working","","","",""
"Never","2004","Full Time","","","",""
"Never","2004","Part Time","","","",""
"Never","2004","Not Working","","","",""
"Daily","2005","Full Time","","","",""
"Daily","2005","Part Time","","","",""
"Daily","2005","Not Working","","","",""
"Min 1x per week","2005","Full Time","","","",""
"Min 1x per week","2005","Part Time","","","",""
"Min 1x per week","2005","Not Working","","","",""
"Min 1x per month","2005","Full Time","","","",""
"Min 1x per month","2005","Part Time","","","",""
"Min 1x per month","2005","Not Working","","","",""
"Rarely","2005","Full Time","","","",""
"Rarely","2005","Part Time","","","",""
"Rarely","2005","Not Working","","","",""
"Never","2005","Full Time","","","",""
"Never","2005","Part Time","","","",""
"Never","2005","Not Working","","","",""
"Daily","2006","Full Time","","","",""
"Daily","2006","Part Time","","","",""
"Daily","2006","Not Working","","","",""
"Min 1x per week","2006","Full Time","","","",""
"Min 1x per week","2006","Part Time","","","",""
"Min 1x per week","2006","Not Working","","","",""
"Min 1x per month","2006","Full Time","","","",""
"Min 1x per month","2006","Part Time","","","",""
"Min 1x per month","2006","Not Working","","","",""
"Rarely","2006","Full Time","","","",""
"Rarely","2006","Part Time","","","",""
