"pli0089","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","(0) in school","","","",""
"Daily","1990","1-pers.-HH","(1a) inadequately completed","1","","",""
"Daily","1990","1-pers.-HH","(1b) general elementary school","","","",""
"Daily","1990","1-pers.-HH","(1c) basic vocational qualification","4","","",""
"Daily","1990","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Daily","1990","1-pers.-HH","(2a) intermediate vocational","","","",""
"Daily","1990","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Daily","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","1-pers.-HH","(3a) lower tertiary education","","","",""
"Daily","1990","1-pers.-HH","(3b) higher tertiary education","","","",""
"Daily","1990","(Married) couple without C. ","(0) in school","","","",""
"Daily","1990","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Daily","1990","(Married) couple without C. ","(1b) general elementary school","1","","",""
"Daily","1990","(Married) couple without C. ","(1c) basic vocational qualification","1","","",""
"Daily","1990","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Daily","1990","(Married) couple without C. ","(2a) intermediate vocational","1","","",""
"Daily","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Daily","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Daily","1990","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Daily","1990","Single parent ","(0) in school","","","",""
"Daily","1990","Single parent ","(1a) inadequately completed","","","",""
"Daily","1990","Single parent ","(1b) general elementary school","","","",""
"Daily","1990","Single parent ","(1c) basic vocational qualification","","","",""
"Daily","1990","Single parent ","(2b) intermediate general qualification","","","",""
"Daily","1990","Single parent ","(2a) intermediate vocational","1","","",""
"Daily","1990","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Single parent ","(3a) lower tertiary education","","","",""
"Daily","1990","Single parent ","(3b) higher tertiary education","","","",""
"Daily","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Daily","1990","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"Daily","1990","Couple + C. LE 16 ","(1b) general elementary school","2","","",""
"Daily","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","1","","",""
"Daily","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Daily","1990","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Daily","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Daily","1990","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Daily","1990","Couple + C. GT 16 ","(0) in school","","","",""
"Daily","1990","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Daily","1990","Couple + C. GT 16 ","(1b) general elementary school","1","","",""
"Daily","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Daily","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Daily","1990","Couple + C. GT 16 ","(2a) intermediate vocational","1","","",""
"Daily","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Daily","1990","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Daily","1990","Couple + C. LE and GT 16","(0) in school","","","",""
"Daily","1990","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Daily","1990","Couple + C. LE and GT 16","(1b) general elementary school","1","","",""
"Daily","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Daily","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","1-pers.-HH","(0) in school","","","",""
"Min 1x per week","1990","1-pers.-HH","(1a) inadequately completed","","","",""
"Min 1x per week","1990","1-pers.-HH","(1b) general elementary school","5","","",""
"Min 1x per week","1990","1-pers.-HH","(1c) basic vocational qualification","21","","",""
"Min 1x per week","1990","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1990","1-pers.-HH","(2a) intermediate vocational","12","","",""
"Min 1x per week","1990","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Min 1x per week","1990","1-pers.-HH","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","1-pers.-HH","(3b) higher tertiary education","3","","",""
"Min 1x per week","1990","(Married) couple without C. ","(0) in school","","","",""
"Min 1x per week","1990","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","(Married) couple without C. ","(1b) general elementary school","14","","",""
"Min 1x per week","1990","(Married) couple without C. ","(1c) basic vocational qualification","56","0.0574013759815199","0.0424677700448336","0.0723349819182063"
"Min 1x per week","1990","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Min 1x per week","1990","(Married) couple without C. ","(2a) intermediate vocational","22","","",""
"Min 1x per week","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","12","","",""
"Min 1x per week","1990","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Min 1x per week","1990","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","Single parent ","(0) in school","","","",""
"Min 1x per week","1990","Single parent ","(1a) inadequately completed","","","",""
"Min 1x per week","1990","Single parent ","(1b) general elementary school","9","","",""
"Min 1x per week","1990","Single parent ","(1c) basic vocational qualification","19","","",""
"Min 1x per week","1990","Single parent ","(2b) intermediate general qualification","4","","",""
"Min 1x per week","1990","Single parent ","(2a) intermediate vocational","5","","",""
"Min 1x per week","1990","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","Single parent ","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","Single parent ","(3b) higher tertiary education","2","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(1a) inadequately completed","10","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(1b) general elementary school","29","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","54","0.0645634375536774","0.047182709113924","0.0819441659934308"
"Min 1x per week","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(2a) intermediate vocational","20","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(3a) lower tertiary education","4","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(3b) higher tertiary education","10","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(0) in school","16","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(1a) inadequately completed","8","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(1b) general elementary school","32","0.0662800126308411","0.0431664067047618","0.0893936185569204"
"Min 1x per week","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","57","0.079930338488165","0.059209786269832","0.100650890706498"
"Min 1x per week","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","20","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(2a) intermediate vocational","22","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","20","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(3a) lower tertiary education","4","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(3b) higher tertiary education","5","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(0) in school","11","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(1a) inadequately completed","7","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(1b) general elementary school","22","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","27","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","4","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"Min 1x per month","1990","1-pers.-HH","(0) in school","1","","",""
"Min 1x per month","1990","1-pers.-HH","(1a) inadequately completed","8","","",""
"Min 1x per month","1990","1-pers.-HH","(1b) general elementary school","9","","",""
"Min 1x per month","1990","1-pers.-HH","(1c) basic vocational qualification","31","0.0970057255999196","0.064059290718606","0.129952160481233"
"Min 1x per month","1990","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Min 1x per month","1990","1-pers.-HH","(2a) intermediate vocational","6","","",""
"Min 1x per month","1990","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Min 1x per month","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per month","1990","1-pers.-HH","(3a) lower tertiary education","2","","",""
"Min 1x per month","1990","1-pers.-HH","(3b) higher tertiary education","4","","",""
