"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","(Married) couple without C.","direct migration background","167.74","168","782","157","162","174","179","186","167.14","168.34","140","196","166","168"
"2002","(Married) couple without C.","indirect migration background","169.36","169","101","158","163","176","180","189","167.63","171.09","150","189","167","170"
"2002","(Married) couple without C.","no migration background","170.54","170","6590","160","164","176","182","192","170.33","170.75","131","208","170","170"
"2002","1-pers.-HH","direct migration background","167.45","166.33","241","156","160","175","180","187","166.23","168.67","148","191","165","169"
"2002","1-pers.-HH","indirect migration background","172.39","172","94","156","166","180","185","189","170.43","174.35","152","194","170","175"
"2002","1-pers.-HH","no migration background","169.98","169","2680","158","163","178","183","193","169.61","170.35","140","200","168","170"
"2002","Couple + C. GT 16 ","direct migration background","169.13","168","447","158","163","175","180","192","168.27","169.99","140","195","167","169"
"2002","Couple + C. GT 16 ","indirect migration background","174.08","172.9","202","160","168","182","187","195","172.75","175.41","150","196","170","175"
"2002","Couple + C. GT 16 ","no migration background","172.53","172","3351","161","166","179","185","195","172.22","172.84","137","203","172","173"
"2002","Couple + C. LE 16","direct migration background","169.36","170","749","159","164","175","180","188","168.73","169.99","146","199","168","170"
"2002","Couple + C. LE 16","indirect migration background","170.88","170","167","160","165","176","181","192","169.63","172.13","152","192","168","170"
"2002","Couple + C. LE 16","no migration background","173.86","174","3828","162","168","180","186","194","173.58","174.14","147","203","173","174"
"2002","Couple + C. LE and GT 16","direct migration background","169.95","170","301","160","163","176","183","193","168.9","171","145","202","168","170"
"2002","Couple + C. LE and GT 16","indirect migration background","171.6","171","129","160","165","178","183","188","170.2","173","155","191","170","173"
"2002","Couple + C. LE and GT 16","no migration background","173.29","173","1524","161","167","180","185","195","172.82","173.76","146","205","172","174"
"2002","Single parent","direct migration background","168.29","167","141","159","162","173","182","192","166.84","169.74","151","195","165","169"
"2002","Single parent","indirect migration background","171.58","169","55","160","163","182","188","192","168.68","174.48","153","193","168","180"
"2002","Single parent","no migration background","170.4","170","934","160","165","175","182","193","169.85","170.95","142","205","168","170"
"2003","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"2003","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"2003","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"2003","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"2003","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"2003","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"2003","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"2003","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"2003","Couple + C. GT 16 ","no migration background","","","","","","","","","","","","","",""
"2003","Couple + C. LE 16","direct migration background","","","","","","","","","","","","","",""
"2003","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"2003","Couple + C. LE 16","no migration background","","","","","","","","","","","","","",""
"2003","Couple + C. LE and GT 16","direct migration background","","","","","","","","","","","","","",""
"2003","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
