"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","16-34 y.","Female","167.52","168","3192","160","163","172","175","183","167.3","167.74","146","194","168","168"
"2002","16-34 y.","Male","180.09","180","2971","171","175","185","189","197","179.83","180.35","146","208","180","180"
"2002","35-65 y.","Female","165.17","165","6743","157","161","170","173","179","165.02","165.32","131","196","165","165"
"2002","35-65 y.","Male","177.36","178","6558","169","172","182","186","194","177.19","177.53","154","203","178","178"
"2002","66 and older","Female","162.29","162","2003","155","158","166","170","176","162.03","162.55","140","180","162","163"
"2002","66 and older","Male","173.39","173","1621","165","169","178","182","188","173.07","173.71","150","198","173","174"
"2003","16-34 y.","Female","","","","","","","","","","","","","",""
"2003","16-34 y.","Male","","","","","","","","","","","","","",""
"2003","35-65 y.","Female","","","","","","","","","","","","","",""
"2003","35-65 y.","Male","","","","","","","","","","","","","",""
"2003","66 and older","Female","","","","","","","","","","","","","",""
"2003","66 and older","Male","","","","","","","","","","","","","",""
"2004","16-34 y.","Female","167.46","168","2923","160","163","172","176","183","167.23","167.69","140","190","168","168"
"2004","16-34 y.","Male","180.35","180","2696","172","175","185","190","197","180.07","180.63","100","210","180","180"
"2004","35-65 y.","Female","165.24","165","6254","157","161","170","173","179","165.08","165.4","132","189","165","165"
"2004","35-65 y.","Male","177.63","178","5972","169","173","182","186","195","177.45","177.81","123","203","178","178"
"2004","66 and older","Female","162.37","163","2069","155","158","167","170","178","162.1","162.64","140","189","162","163"
"2004","66 and older","Male","173.52","173","1723","165","169","178","182","188","173.21","173.83","152","196","173","174"
"2005","16-34 y.","Female","","","","","","","","","","","","","",""
"2005","16-34 y.","Male","","","","","","","","","","","","","",""
"2005","35-65 y.","Female","","","","","","","","","","","","","",""
"2005","35-65 y.","Male","","","","","","","","","","","","","",""
"2005","66 and older","Female","","","","","","","","","","","","","",""
"2005","66 and older","Male","","","","","","","","","","","","","",""
"2006","16-34 y.","Female","167.05","167","2700","159","163","171","175","182","166.81","167.29","140","194","167","168"
"2006","16-34 y.","Male","180.45","180","2433","172","175","185","190","198","180.16","180.74","115","209","180","180"
"2006","35-65 y.","Female","165.51","165","6447","158","161","170","174","180","165.35","165.67","120","191","165","165"
"2006","35-65 y.","Male","178.02","178","5967","169","173","183","187","196","177.84","178.2","120","204","178","178"
"2006","66 and older","Female","162.31","162","2383","155","158","167","170","176","162.06","162.56","138","189","162","163"
"2006","66 and older","Male","173.85","174","2088","165","169","178","182","189","173.57","174.13","123","195","174","174"
"2007","16-34 y.","Female","","","","","","","","","","","","","",""
"2007","16-34 y.","Male","","","","","","","","","","","","","",""
"2007","35-65 y.","Female","","","","","","","","","","","","","",""
"2007","35-65 y.","Male","","","","","","","","","","","","","",""
"2007","66 and older","Female","","","","","","","","","","","","","",""
"2007","66 and older","Male","","","","","","","","","","","","","",""
"2008","16-34 y.","Female","167.1","168","2283","158","163","172","175","183","166.83","167.37","138","194","168","168"
"2008","16-34 y.","Male","180.27","180","2079","171","175","185","190","198","179.94","180.6","120","208","180","180"
"2008","35-65 y.","Female","165.6","165","5563","158","161","170","174","180","165.43","165.77","127","196","165","166"
