"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","16-34 y.","(Married) couple without C.","173.91","174","1029","163","168","180","186","196","173.32","174.5","148","208","172","174"
"2002","16-34 y.","1-pers.-HH","175.58","176","719","163","169","182","187","196","174.91","176.25","153","200","174","176"
"2002","16-34 y.","Couple + C. GT 16 ","175.47","175","1486","164","169","182","187","197","175.01","175.93","150","203","175","175"
"2002","16-34 y.","Couple + C. LE 16","171.84","171","1500","160","165","178","184","192","171.39","172.29","146","199","170","171"
"2002","16-34 y.","Couple + C. LE and GT 16","174.02","174","725","163","168","180","185","195","173.35","174.69","146","205","173","175"
"2002","16-34 y.","Single parent","173.32","173","476","162","167","180","185","195","172.52","174.12","152","205","171","173"
"2002","35-65 y.","(Married) couple without C.","170.12","170","4279","159","164","176","182","190","169.85","170.39","131","198","170","170"
"2002","35-65 y.","1-pers.-HH","172.43","172","1256","160","165","179","185","193","171.92","172.94","140","198","171","172"
"2002","35-65 y.","Couple + C. GT 16 ","170.38","170","2348","160","165","176","182","190","170.02","170.74","137","200","170","170"
"2002","35-65 y.","Couple + C. LE 16","173.49","174","3239","161","167","180","186","194","173.18","173.8","147","203","173","174"
"2002","35-65 y.","Couple + C. LE and GT 16","171.49","171","1224","160","165","178","184","192","170.97","172.01","145","202","170","172"
"2002","35-65 y.","Single parent","168.2","168","577","159","164","172","179","190","167.55","168.85","146","194","167","168"
"2002","66 and older","(Married) couple without C.","169.02","168","2165","158","163","175","180","187","168.68","169.36","140","198","168","170"
"2002","66 and older","1-pers.-HH","163.88","164","1040","155","159","168","174","182","163.43","164.33","142","193","163","164"
"2002","66 and older","Couple + C. GT 16 ","168.86","168.54","166","158","163","175","180","187","167.57","170.15","148","188","168","172"
"2002","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2002","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2002","66 and older","Single parent","163.96","164.5","77","156","160","168","175","183","162.33","165.59","142","183","160","165"
"2003","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2003","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","16-34 y.","Single parent","","","","","","","","","","","","","",""
"2003","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"2003","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","35-65 y.","Single parent","","","","","","","","","","","","","",""
"2003","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"2003","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"2003","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2003","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"2003","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2003","66 and older","Single parent","","","","","","","","","","","","","",""
"2004","16-34 y.","(Married) couple without C.","173.84","173","1026","162","167","180","186","195","173.26","174.42","149","210","172","174"
"2004","16-34 y.","1-pers.-HH","175.54","177","648","163","169","182","187","195","174.85","176.23","154","200","175","177"
"2004","16-34 y.","Couple + C. GT 16 ","175.16","175","1443","163","169","181","187","197","174.67","175.65","100","205","174","175"
"2004","16-34 y.","Couple + C. LE 16","172.3","172","1219","160","165","178","185","192","171.79","172.81","144","200","170","172"
"2004","16-34 y.","Couple + C. LE and GT 16","174.21","173","668","162","167","181","187","196","173.48","174.94","150","205","173","175"
"2004","16-34 y.","Single parent","173.29","172","461","160","167","180","186","195","172.43","174.15","140","207","171","173"
"2004","35-65 y.","(Married) couple without C.","170.48","170","3902","159","164","176","182","192","170.19","170.77","123","203","170","170"
"2004","35-65 y.","1-pers.-HH","172.67","172","1201","160","166","180","185","193","172.14","173.2","140","200","171","172"
"2004","35-65 y.","Couple + C. GT 16 ","170.6","170","2298","160","165","176","182","190","170.23","170.97","139","200","170","171"
"2004","35-65 y.","Couple + C. LE 16","173.68","174","2832","162","168","180","185","194","173.35","174.01","147","203","173","174"
"2004","35-65 y.","Couple + C. LE and GT 16","171.36","172","1120","160","165","178","183","190","170.83","171.89","143","201","170","172"
