"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","16-34 y.","173.91","174","6163","162","168","180","186","196","173.68","174.14","146","208","173","174"
"2002","35-65 y.","171.31","170","13301","160","165","178","183","192","171.16","171.46","131","203","170","171"
"2002","66 and older","166.8","166","3624","156","160","172","178","186","166.53","167.07","140","198","167","168"
"2003","16-34 y.","","","","","","","","","","","","","",""
"2003","35-65 y.","","","","","","","","","","","","","",""
"2003","66 and older","","","","","","","","","","","","","",""
"2004","16-34 y.","174.06","174","5619","162","168","180","186","195","173.81","174.31","100","210","173","174"
"2004","35-65 y.","171.48","171","12226","160","165","178","183","193","171.32","171.64","123","203","170","172"
"2004","66 and older","167.02","167","3792","156","160","172","178","186","166.75","167.29","140","196","168","168"
"2005","16-34 y.","","","","","","","","","","","","","",""
"2005","35-65 y.","","","","","","","","","","","","","",""
"2005","66 and older","","","","","","","","","","","","","",""
"2006","16-34 y.","173.83","174","5133","162","167","180","186","195","173.57","174.09","115","209","173","174"
"2006","35-65 y.","171.79","172","12414","160","165","178","184","193","171.63","171.95","120","204","171","172"
"2006","66 and older","167.21","167","4471","156","160","173","179","187","166.96","167.46","123","195","168","168"
"2007","16-34 y.","","","","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","","","","",""
"2008","16-34 y.","173.81","174","4362","161","167","180","186","196","173.53","174.09","120","208","173","174"
"2008","35-65 y.","171.98","172","10669","160","165","178","185","194","171.8","172.16","84","204","171","172"
"2008","66 and older","167.62","168","4343","156","161","174","180","188","167.36","167.88","82","196","168","168"
"2009","16-34 y.","","","","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","","","","",""
"2010","16-34 y.","174.7","175","3580","162","168","181","187","196","174.38","175.02","87","210","173","174"
"2010","35-65 y.","172","172","9061","160","165","178","185","193","171.81","172.19","82","208","171","172"
"2010","66 and older","167.66","168","4037","157","161","174","180","187","167.39","167.93","112","198","168","168"
"2011","16-34 y.","","","","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","","","","",""
"2012","16-34 y.","174.21","174","4135","162","168","180","186","198","173.91","174.51","118","217","173","174"
"2012","35-65 y.","172.26","172","11163","160","165","179","185","194","172.09","172.43","80","205","171","172"
"2012","66 and older","167.73","168","5225","157","161","174","180","187","167.49","167.97","116","198","168","168"
"2013","16-34 y.","","","","","","","","","","","","","",""
"2013","35-65 y.","","","","","","","","","","","","","",""
"2013","66 and older","","","","","","","","","","","","","",""
"2014","16-34 y.","173.97","174","6564","162","167","180","187","198","173.73","174.21","93","217","172","173"
"2014","35-65 y.","172.47","172","15572","160","165","179","185","194","172.32","172.62","107","207","171","172"
"2014","66 and older","167.83","168","4992","157","161","174","180","188","167.58","168.08","116","198","168","168"
"2015","16-34 y.","","","","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","","","","",""
"2016","16-34 y.","174.21","174","5582","162","168","180","186","198","173.95","174.47","115","220","172","173"
"2016","35-65 y.","172.56","172","13863","160","165","180","185","194","172.4","172.72","116","206","171","172"
"2016","66 and older","167.99","168","4754","157","162","174","180","189","167.73","168.25","117","204","168","169"
"2017","16-34 y.","","","","","","","","","","","","","",""
"2017","35-65 y.","","","","","","","","","","","","","",""
"2017","66 and older","","","","","","","","","","","","","",""
"2018","16-34 y.","173.85","174","8053","161","166","181","187","197","173.63","174.07","116","215","172","172"
"2018","35-65 y.","172.83","172","16370","160","165","180","186","195","172.68","172.98","105","208","171","172"
"2018","66 and older","168.06","168","5061","157","162","175","180","188","167.81","168.31","116","202","168","169"
