"pli0083","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Urban Area","2125","0.709448942399845","0.692953141747101","0.725944743052589"
"Daily","1990","16-34 y.","Rural Area","545","0.731489722436843","0.699296313043076","0.76368313183061"
"Daily","1990","35-65 y.","Urban Area","3092","0.805964129778329","0.793456317719338","0.818471941837321"
"Daily","1990","35-65 y.","Rural Area","742","0.790274907871812","0.764193894609275","0.81635592113435"
"Daily","1990","66 and older","Urban Area","726","0.891907190238099","0.87053761452465","0.913276765951547"
"Daily","1990","66 and older","Rural Area","219","0.889928686974902","0.850818020716752","0.929039353233053"
"Min 1x per week","1990","16-34 y.","Urban Area","581","0.216826593551615","0.201854351623851","0.231798835479378"
"Min 1x per week","1990","16-34 y.","Rural Area","137","0.194449164168609","0.165699556794964","0.223198771542254"
"Min 1x per week","1990","35-65 y.","Urban Area","519","0.131223066730478","0.120543793179095","0.14190234028186"
"Min 1x per week","1990","35-65 y.","Rural Area","132","0.138032508877885","0.115934848174061","0.160130169581708"
"Min 1x per week","1990","66 and older","Urban Area","46","0.0551232778119343","0.0394162954517823","0.0708302601720863"
"Min 1x per week","1990","66 and older","Rural Area","16","","",""
"Min 1x per month","1990","16-34 y.","Urban Area","54","0.0216939530857609","0.0164008748432123","0.0269870313283095"
"Min 1x per month","1990","16-34 y.","Rural Area","20","","",""
"Min 1x per month","1990","35-65 y.","Urban Area","50","0.0149470930433941","0.0111092198047359","0.0187849662820524"
"Min 1x per month","1990","35-65 y.","Rural Area","19","","",""
"Min 1x per month","1990","66 and older","Urban Area","9","","",""
"Min 1x per month","1990","66 and older","Rural Area","4","","",""
"Rarely","1990","16-34 y.","Urban Area","123","0.0443348370486484","0.0368561212070935","0.0518135528902034"
"Rarely","1990","16-34 y.","Rural Area","23","","",""
"Rarely","1990","35-65 y.","Urban Area","137","0.0388493708190842","0.0327375558059625","0.0449611858322059"
"Rarely","1990","35-65 y.","Rural Area","30","0.0343789284860121","0.0227065408455194","0.0460513161265048"
"Rarely","1990","66 and older","Urban Area","18","","",""
"Rarely","1990","66 and older","Rural Area","5","","",""
"Never","1990","16-34 y.","Urban Area","27","","",""
"Never","1990","16-34 y.","Rural Area","3","","",""
