"pli0083","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","lower secondary degree","1531","0.787553103620682","0.769384136693651","0.805722070547712"
"Daily","1990","Full Time","secondary school degree","614","0.695781882865761","0.66541900773093","0.726144758000591"
"Daily","1990","Full Time","college entrance qualification","380","0.633438107319371","0.59468731211897","0.672188902519771"
"Daily","1990","Full Time","Other degree","492","0.80866195367431","0.777599060158723","0.839724847189897"
"Daily","1990","Full Time","no degree/no degree yet","225","0.79759125878052","0.7510251552603","0.84415736230074"
"Daily","1990","Part Time","lower secondary degree","657","0.836057381860887","0.810175205384238","0.861939558337536"
"Daily","1990","Part Time","secondary school degree","255","0.76014931713769","0.714829219587226","0.805469414688154"
"Daily","1990","Part Time","college entrance qualification","179","0.613695367476533","0.557559485526107","0.669831249426959"
"Daily","1990","Part Time","Other degree","109","0.855937170788035","0.797349604078818","0.914524737497252"
"Daily","1990","Part Time","no degree/no degree yet","97","0.757467768525241","0.681721307745926","0.833214229304557"
"Daily","1990","Not Working","lower secondary degree","1603","0.89371666579198","0.879486721132872","0.907946610451089"
"Daily","1990","Not Working","secondary school degree","373","0.830651249234464","0.796414069065112","0.864888429403817"
"Daily","1990","Not Working","college entrance qualification","215","0.699602562685955","0.649057544488958","0.750147580882952"
"Daily","1990","Not Working","Other degree","220","0.876830694863599","0.836336110251189","0.917325279476008"
"Daily","1990","Not Working","no degree/no degree yet","345","0.754402624214895","0.713670890004752","0.795134358425039"
"Min 1x per week","1990","Full Time","lower secondary degree","303","0.151037575506783","0.135131909733709","0.166943241279857"
"Min 1x per week","1990","Full Time","secondary school degree","202","0.22725434217274","0.199598417719736","0.254910266625745"
"Min 1x per week","1990","Full Time","college entrance qualification","145","0.252849883014395","0.21789642229369","0.287803343735099"
"Min 1x per week","1990","Full Time","Other degree","90","0.139530510729524","0.112167740431219","0.166893281027829"
"Min 1x per week","1990","Full Time","no degree/no degree yet","41","0.123621106644916","0.0854743742496645","0.161767839040168"
"Min 1x per week","1990","Part Time","lower secondary degree","93","0.112715674494015","0.0906071183982677","0.134824230589763"
"Min 1x per week","1990","Part Time","secondary school degree","65","0.17107760552827","0.131108500899652","0.211046710156889"
"Min 1x per week","1990","Part Time","college entrance qualification","80","0.277842382962851","0.226199031883768","0.329485734041935"
"Min 1x per week","1990","Part Time","Other degree","25","","",""
"Min 1x per week","1990","Part Time","no degree/no degree yet","16","","",""
"Min 1x per week","1990","Not Working","lower secondary degree","115","0.0557406767073366","0.0451480795303601","0.066333273884313"
"Min 1x per week","1990","Not Working","secondary school degree","62","0.117089201838358","0.0877387720413525","0.146439631635363"
"Min 1x per week","1990","Not Working","college entrance qualification","69","0.203575885915576","0.159180287226146","0.247971484605007"
"Min 1x per week","1990","Not Working","Other degree","24","","",""
