"pli0083","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","no migration background","1771","0.710325146824395","0.692432625697134","0.728217667951657","1"
"Daily","1990","16-34 y.","direct migration background","696","0.735778830159416","0.707052427016019","0.764505233302814","1"
"Daily","1990","16-34 y.","indirect migration background","203","0.770891291705334","0.72019648215393","0.821586101256737","1"
"Daily","1990","35-65 y.","no migration background","2571","0.800418665850955","0.786589951777018","0.814247379924892","1"
"Daily","1990","35-65 y.","direct migration background","1244","0.813428360532831","0.793990538702444","0.832866182363218","1"
"Daily","1990","35-65 y.","indirect migration background","19","","","","1"
"Daily","1990","66 and older","no migration background","866","0.888687426557889","0.868894552858089","0.90848030025769","1"
"Daily","1990","66 and older","direct migration background","74","0.926719304336054","0.870315283871019","0.983123324801088","1"
"Daily","1990","66 and older","indirect migration background","5","","","","1"
"Min 1x per month","1990","66 and older","no migration background","13","","","","3"
"Min 1x per month","1990","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1990","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1990","16-34 y.","no migration background","63","0.0271786189741422","0.0207647838417325","0.033592454106552","3"
"Min 1x per month","1990","16-34 y.","direct migration background","9","","","","3"
"Min 1x per month","1990","16-34 y.","indirect migration background","2","","","","3"
"Min 1x per month","1990","35-65 y.","no migration background","54","0.0182389927881806","0.0136091467637478","0.0228688388126134","3"
"Min 1x per month","1990","35-65 y.","direct migration background","15","","","","3"
"Min 1x per month","1990","66 and older","direct migration background","","","","","3"
"Min 1x per week","1990","16-34 y.","indirect migration background","43","0.145506116679198","0.102971626484292","0.188040606874103","2"
"Min 1x per week","1990","66 and older","no migration background","57","0.0586396973677673","0.0438541970798016","0.0734251976557331","2"
"Min 1x per week","1990","16-34 y.","no migration background","508","0.212620984801833","0.196481765356552","0.228760204247115","2"
"Min 1x per week","1990","16-34 y.","direct migration background","167","0.220599571374919","0.193584479198859","0.247614663550979","2"
"Min 1x per week","1990","35-65 y.","indirect migration background","5","","","","2"
"Min 1x per week","1990","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1990","35-65 y.","direct migration background","214","0.130745977443492","0.113924944916597","0.147567009970387","2"
"Min 1x per week","1990","66 and older","direct migration background","5","","","","2"
"Min 1x per week","1990","35-65 y.","no migration background","432","0.133094888364142","0.121342403447093","0.144847373281191","2"
"Never","1990","35-65 y.","direct migration background","29","","","","5"
"Never","1990","35-65 y.","no migration background","26","","","","5"
"Never","1990","16-34 y.","no migration background","22","","","","5"
"Never","1990","16-34 y.","direct migration background","6","","","","5"
"Never","1990","16-34 y.","indirect migration background","2","","","","5"
"Never","1990","35-65 y.","indirect migration background","","","","","5"
"Never","1990","66 and older","no migration background","13","","","","5"
"Never","1990","66 and older","direct migration background","1","","","","5"
"Never","1990","66 and older","indirect migration background","","","","","5"
"Rarely","1990","35-65 y.","indirect migration background","","","","","4"
"Rarely","1990","16-34 y.","indirect migration background","14","","","","4"
"Rarely","1990","66 and older","direct migration background","2","","","","4"
"Rarely","1990","66 and older","indirect migration background","","","","","4"
"Rarely","1990","16-34 y.","no migration background","105","0.0426756182248848","0.0347028889609374","0.0506483474888322","4"
"Rarely","1990","16-34 y.","direct migration background","27","","","","4"
"Rarely","1990","35-65 y.","direct migration background","41","0.0265021439497156","0.018487704871191","0.0345165830282403","4"
"Rarely","1990","66 and older","no migration background","21","","","","4"
"Rarely","1990","35-65 y.","no migration background","126","0.0399208927712756","0.0331473346065615","0.0466944509359896","4"
"Daily","1991","16-34 y.","no migration background","","","","","1"
"Daily","1991","16-34 y.","direct migration background","","","","","1"
"Daily","1991","16-34 y.","indirect migration background","","","","","1"
"Daily","1991","35-65 y.","no migration background","","","","","1"
"Daily","1991","35-65 y.","direct migration background","","","","","1"
"Daily","1991","35-65 y.","indirect migration background","","","","","1"
"Daily","1991","66 and older","no migration background","","","","","1"
"Daily","1991","66 and older","direct migration background","","","","","1"
"Daily","1991","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1991","66 and older","no migration background","","","","","3"
"Min 1x per month","1991","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1991","16-34 y.","no migration background","","","","","3"
"Min 1x per month","1991","16-34 y.","direct migration background","","","","","3"
"Min 1x per month","1991","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1991","16-34 y.","indirect migration background","","","","","3"
"Min 1x per month","1991","35-65 y.","no migration background","","","","","3"
"Min 1x per month","1991","35-65 y.","direct migration background","","","","","3"
"Min 1x per month","1991","66 and older","direct migration background","","","","","3"
"Min 1x per week","1991","16-34 y.","indirect migration background","","","","","2"
"Min 1x per week","1991","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1991","66 and older","no migration background","","","","","2"
"Min 1x per week","1991","16-34 y.","no migration background","","","","","2"
"Min 1x per week","1991","16-34 y.","direct migration background","","","","","2"
