"pli0083","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","Male","2381","0.758398347071418","0.743344551820852","0.773452142321983","1"
"Daily","1990","Full Time","Female","937","0.698988540667294","0.674205950842414","0.723771130492174","1"
"Daily","1990","Part Time","Male","369","0.750386347702509","0.712564675359913","0.788208020045104","1"
"Daily","1990","Part Time","Female","961","0.778292424780953","0.754973533049994","0.801611316511912","1"
"Daily","1990","Not Working","Male","902","0.861560239116421","0.840779373047043","0.8823411051858","1"
"Daily","1990","Not Working","Female","1899","0.845993824001067","0.831132044852741","0.860855603149394","1"
"Min 1x per month","1990","Full Time","Female","27","","","","3"
"Min 1x per month","1990","Full Time","Male","55","0.0179794591922129","0.0133064572288945","0.0226524611555313","3"
"Min 1x per month","1990","Part Time","Male","9","","","","3"
"Min 1x per month","1990","Part Time","Female","19","","","","3"
"Min 1x per month","1990","Not Working","Male","16","","","","3"
"Min 1x per month","1990","Not Working","Female","30","0.0113714703896067","0.00700587964329096","0.0157370611359224","3"
"Min 1x per week","1990","Full Time","Female","264","0.209835267688094","0.187835494220747","0.231835041155441","2"
"Min 1x per week","1990","Full Time","Male","530","0.175312315996601","0.161940255482729","0.188684376510472","2"
"Min 1x per week","1990","Part Time","Male","102","0.187041753002616","0.152964270685507","0.221119235319725","2"
"Min 1x per week","1990","Part Time","Female","184","0.151894489310136","0.131746013892291","0.172042964727982","2"
"Min 1x per week","1990","Not Working","Male","105","0.0805807999429859","0.064202720601236","0.0969588792847358","2"
"Min 1x per week","1990","Not Working","Female","246","0.0996453111875874","0.0873127469169075","0.111977875458267","2"
"Never","1990","Full Time","Male","31","0.00727344351468542","0.00428508829098619","0.0102617987383846","5"
"Never","1990","Full Time","Female","20","","","","5"
"Never","1990","Part Time","Male","7","","","","5"
"Never","1990","Part Time","Female","7","","","","5"
"Never","1990","Not Working","Male","11","","","","5"
"Never","1990","Not Working","Female","23","","","","5"
"Rarely","1990","Full Time","Female","68","0.0484000767568655","0.0368050869618957","0.0599950665518354","4"
"Rarely","1990","Part Time","Male","16","","","","4"
"Rarely","1990","Full Time","Male","109","0.0410364342250837","0.0340600044457419","0.0480128640044254","4"
"Rarely","1990","Not Working","Male","27","","","","4"
"Rarely","1990","Part Time","Female","48","0.0378176880318022","0.027109341667388","0.0485260343962163","4"
"Rarely","1990","Not Working","Female","68","0.0294695379250566","0.0225063296257764","0.0364327462243368","4"
"Daily","1991","Full Time","Male","","","","","1"
"Daily","1991","Full Time","Female","","","","","1"
"Daily","1991","Part Time","Male","","","","","1"
"Daily","1991","Part Time","Female","","","","","1"
"Daily","1991","Not Working","Male","","","","","1"
"Daily","1991","Not Working","Female","","","","","1"
"Min 1x per month","1991","Full Time","Female","","","","","3"
"Min 1x per month","1991","Full Time","Male","","","","","3"
"Min 1x per month","1991","Part Time","Male","","","","","3"
"Min 1x per month","1991","Part Time","Female","","","","","3"
"Min 1x per month","1991","Not Working","Male","","","","","3"
"Min 1x per month","1991","Not Working","Female","","","","","3"
"Min 1x per week","1991","Full Time","Male","","","","","2"
"Min 1x per week","1991","Full Time","Female","","","","","2"
"Min 1x per week","1991","Part Time","Male","","","","","2"
"Min 1x per week","1991","Part Time","Female","","","","","2"
"Min 1x per week","1991","Not Working","Male","","","","","2"
"Min 1x per week","1991","Not Working","Female","","","","","2"
"Never","1991","Full Time","Male","","","","","5"
"Never","1991","Full Time","Female","","","","","5"
"Never","1991","Part Time","Male","","","","","5"
"Never","1991","Part Time","Female","","","","","5"
"Never","1991","Not Working","Male","","","","","5"
"Never","1991","Not Working","Female","","","","","5"
"Rarely","1991","Full Time","Female","","","","","4"
"Rarely","1991","Full Time","Male","","","","","4"
"Rarely","1991","Part Time","Male","","","","","4"
