"pli0083","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","West Germany","2670","0.714336134533166","0.699657160317441","0.729015108748891","1"
"Daily","1990","16-34 y.","East Germany","","","","","1"
"Daily","1990","35-65 y.","West Germany","3834","0.802544134250893","0.791254355936146","0.81383391256564","1"
"Daily","1990","35-65 y.","East Germany","","","","","1"
"Daily","1990","66 and older","West Germany","945","0.89143855815983","0.872684549757423","0.910192566562237","1"
"Daily","1990","66 and older","East Germany","","","","","1"
"Min 1x per month","1990","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1990","16-34 y.","West Germany","74","0.0245421755010335","0.0195143809758666","0.0295699700262004","3"
"Min 1x per month","1990","35-65 y.","West Germany","69","0.0171061910809998","0.0134287485784739","0.0207836335835256","3"
"Min 1x per month","1990","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1990","66 and older","West Germany","13","","","","3"
"Min 1x per month","1990","66 and older","East Germany","","","","","3"
"Min 1x per week","1990","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1990","16-34 y.","West Germany","718","0.21186475478452","0.198586332510271","0.22514317705877","2"
"Min 1x per week","1990","35-65 y.","West Germany","651","0.132707414509305","0.12308583567067","0.14232899334794","2"
"Min 1x per week","1990","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1990","66 and older","West Germany","62","0.0566988270673694","0.0427568995053038","0.0706407546294351","2"
"Min 1x per week","1990","66 and older","East Germany","","","","","2"
"Never","1990","16-34 y.","West Germany","30","0.00704948661030878","0.00433079910661861","0.00976817411399895","5"
"Never","1990","16-34 y.","East Germany","","","","","5"
"Never","1990","35-65 y.","West Germany","55","0.0097673731526099","0.00697821309199592","0.0125565332132239","5"
"Never","1990","35-65 y.","East Germany","","","","","5"
"Never","1990","66 and older","West Germany","14","","","","5"
"Never","1990","66 and older","East Germany","","","","","5"
"Rarely","1990","16-34 y.","East Germany","","","","","4"
"Rarely","1990","35-65 y.","West Germany","167","0.0378748870061924","0.032461022527723","0.0432887514846618","4"
"Rarely","1990","16-34 y.","West Germany","146","0.0422074485709714","0.0356739316337596","0.0487409655081833","4"
"Rarely","1990","66 and older","West Germany","23","","","","4"
"Rarely","1990","35-65 y.","East Germany","","","","","4"
"Rarely","1990","66 and older","East Germany","","","","","4"
"Daily","1991","16-34 y.","West Germany","","","","","1"
"Daily","1991","16-34 y.","East Germany","","","","","1"
"Daily","1991","35-65 y.","West Germany","","","","","1"
"Daily","1991","35-65 y.","East Germany","","","","","1"
"Daily","1991","66 and older","West Germany","","","","","1"
"Daily","1991","66 and older","East Germany","","","","","1"
"Min 1x per month","1991","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1991","16-34 y.","West Germany","","","","","3"
"Min 1x per month","1991","35-65 y.","West Germany","","","","","3"
"Min 1x per month","1991","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1991","66 and older","West Germany","","","","","3"
"Min 1x per month","1991","66 and older","East Germany","","","","","3"
"Min 1x per week","1991","16-34 y.","West Germany","","","","","2"
"Min 1x per week","1991","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1991","35-65 y.","West Germany","","","","","2"
"Min 1x per week","1991","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1991","66 and older","West Germany","","","","","2"
"Min 1x per week","1991","66 and older","East Germany","","","","","2"
"Never","1991","16-34 y.","West Germany","","","","","5"
"Never","1991","16-34 y.","East Germany","","","","","5"
"Never","1991","35-65 y.","West Germany","","","","","5"
"Never","1991","35-65 y.","East Germany","","","","","5"
"Never","1991","66 and older","West Germany","","","","","5"
"Never","1991","66 and older","East Germany","","","","","5"
"Rarely","1991","16-34 y.","East Germany","","","","","4"
"Rarely","1991","16-34 y.","West Germany","","","","","4"
"Rarely","1991","35-65 y.","West Germany","","","","","4"
"Rarely","1991","35-65 y.","East Germany","","","","","4"
"Rarely","1991","66 and older","West Germany","","","","","4"
"Rarely","1991","66 and older","East Germany","","","","","4"
"Daily","1992","16-34 y.","West Germany","","","","","1"
"Daily","1992","16-34 y.","East Germany","","","","","1"
"Daily","1992","35-65 y.","West Germany","","","","","1"
"Daily","1992","35-65 y.","East Germany","","","","","1"
"Daily","1992","66 and older","West Germany","","","","","1"
"Daily","1992","66 and older","East Germany","","","","","1"
"Min 1x per month","1992","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1992","16-34 y.","West Germany","","","","","3"
"Min 1x per month","1992","35-65 y.","West Germany","","","","","3"
"Min 1x per month","1992","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1992","66 and older","West Germany","","","","","3"
"Min 1x per month","1992","66 and older","East Germany","","","","","3"
"Min 1x per week","1992","16-34 y.","West Germany","","","","","2"
"Min 1x per week","1992","35-65 y.","West Germany","","","","","2"
"Min 1x per week","1992","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1992","66 and older","West Germany","","","","","2"
"Min 1x per week","1992","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1992","66 and older","East Germany","","","","","2"
"Never","1992","16-34 y.","West Germany","","","","","5"
"Never","1992","16-34 y.","East Germany","","","","","5"
"Never","1992","35-65 y.","West Germany","","","","","5"
"Never","1992","35-65 y.","East Germany","","","","","5"
"Never","1992","66 and older","West Germany","","","","","5"
"Never","1992","66 and older","East Germany","","","","","5"
"Rarely","1992","16-34 y.","West Germany","","","","","4"
"Rarely","1992","16-34 y.","East Germany","","","","","4"
"Rarely","1992","35-65 y.","West Germany","","","","","4"
"Rarely","1992","35-65 y.","East Germany","","","","","4"
"Rarely","1992","66 and older","West Germany","","","","","4"
"Rarely","1992","66 and older","East Germany","","","","","4"
"Daily","1993","16-34 y.","West Germany","","","","","1"
"Daily","1993","16-34 y.","East Germany","","","","","1"
"Daily","1993","35-65 y.","West Germany","","","","","1"
"Daily","1993","35-65 y.","East Germany","","","","","1"
"Daily","1993","66 and older","West Germany","","","","","1"
"Daily","1993","66 and older","East Germany","","","","","1"
"Min 1x per month","1993","16-34 y.","West Germany","","","","","3"
"Min 1x per month","1993","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1993","35-65 y.","West Germany","","","","","3"
"Min 1x per month","1993","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1993","66 and older","West Germany","","","","","3"
"Min 1x per month","1993","66 and older","East Germany","","","","","3"
"Min 1x per week","1993","16-34 y.","West Germany","","","","","2"
"Min 1x per week","1993","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1993","35-65 y.","West Germany","","","","","2"
"Min 1x per week","1993","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1993","66 and older","West Germany","","","","","2"
"Min 1x per week","1993","66 and older","East Germany","","","","","2"
"Never","1993","16-34 y.","West Germany","","","","","5"
"Never","1993","16-34 y.","East Germany","","","","","5"
"Never","1993","35-65 y.","West Germany","","","","","5"
"Never","1993","35-65 y.","East Germany","","","","","5"
"Never","1993","66 and older","West Germany","","","","","5"
"Never","1993","66 and older","East Germany","","","","","5"
"Rarely","1993","16-34 y.","West Germany","","","","","4"
"Rarely","1993","16-34 y.","East Germany","","","","","4"
"Rarely","1993","35-65 y.","West Germany","","","","","4"
"Rarely","1993","35-65 y.","East Germany","","","","","4"
"Rarely","1993","66 and older","West Germany","","","","","4"
"Rarely","1993","66 and older","East Germany","","","","","4"
"Daily","1994","16-34 y.","West Germany","","","","","1"
"Daily","1994","16-34 y.","East Germany","","","","","1"
"Daily","1994","35-65 y.","West Germany","","","","","1"
"Daily","1994","35-65 y.","East Germany","","","","","1"
"Daily","1994","66 and older","West Germany","","","","","1"
"Daily","1994","66 and older","East Germany","","","","","1"
"Min 1x per month","1994","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1994","16-34 y.","West Germany","","","","","3"
"Min 1x per month","1994","35-65 y.","West Germany","","","","","3"
"Min 1x per month","1994","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1994","66 and older","East Germany","","","","","3"
"Min 1x per month","1994","66 and older","West Germany","","","","","3"
"Min 1x per week","1994","16-34 y.","West Germany","","","","","2"
"Min 1x per week","1994","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1994","35-65 y.","West Germany","","","","","2"
"Min 1x per week","1994","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1994","66 and older","East Germany","","","","","2"
"Min 1x per week","1994","66 and older","West Germany","","","","","2"
"Never","1994","16-34 y.","West Germany","","","","","5"
"Never","1994","16-34 y.","East Germany","","","","","5"
"Never","1994","35-65 y.","West Germany","","","","","5"
"Never","1994","35-65 y.","East Germany","","","","","5"
"Never","1994","66 and older","West Germany","","","","","5"
"Never","1994","66 and older","East Germany","","","","","5"
"Rarely","1994","16-34 y.","East Germany","","","","","4"
"Rarely","1994","16-34 y.","West Germany","","","","","4"
"Rarely","1994","35-65 y.","East Germany","","","","","4"
"Rarely","1994","35-65 y.","West Germany","","","","","4"
"Rarely","1994","66 and older","West Germany","","","","","4"
"Rarely","1994","66 and older","East Germany","","","","","4"
"Daily","1995","16-34 y.","West Germany","2939","0.769091289972926","0.755527303989769","0.782655275956082","1"
"Daily","1995","16-34 y.","East Germany","1000","0.821844795360564","0.800382092115394","0.843307498605733","1"
"Daily","1995","35-65 y.","West Germany","4000","0.819937555136434","0.809024273675117","0.830850836597752","1"
"Daily","1995","35-65 y.","East Germany","1835","0.895158827726635","0.881926510580214","0.908391144873056","1"
"Daily","1995","66 and older","West Germany","1049","0.926599701108072","0.911420931962027","0.941778470254117","1"
"Daily","1995","66 and older","East Germany","397","0.966017084003368","0.94847913159904","0.983555036407696","1"
"Min 1x per month","1995","16-34 y.","West Germany","61","0.0216979828317424","0.0170085061206924","0.0263874595427924","3"
"Min 1x per month","1995","16-34 y.","East Germany","12","","","","3"
"Min 1x per month","1995","35-65 y.","West Germany","61","0.0147836678298045","0.0113559087116808","0.0182114269479282","3"
"Min 1x per month","1995","35-65 y.","East Germany","10","","","","3"
"Min 1x per month","1995","66 and older","West Germany","5","","","","3"
"Min 1x per month","1995","66 and older","East Germany","","","","","3"
"Min 1x per week","1995","16-34 y.","West Germany","584","0.166809325190824","0.154809895888239","0.178808754493409","2"
"Min 1x per week","1995","16-34 y.","East Germany","156","0.125964835576106","0.107353421401786","0.144576249750426","2"
"Min 1x per week","1995","35-65 y.","West Germany","523","0.12279983502231","0.113477995128186","0.132121674916435","2"
"Min 1x per week","1995","35-65 y.","East Germany","160","0.0752887478073886","0.0638918140008436","0.0866856816139335","2"
"Min 1x per week","1995","66 and older","West Germany","48","0.0408052468891719","0.0292905379165145","0.0523199558618294","2"
"Min 1x per week","1995","66 and older","East Germany","3","","","","2"
"Never","1995","16-34 y.","West Germany","24","","","","5"
"Never","1995","16-34 y.","East Germany","12","","","","5"
"Never","1995","35-65 y.","West Germany","51","0.0118012141925389","0.00873403676155271","0.0148683916235251","5"
"Never","1995","35-65 y.","East Germany","8","","","","5"
"Never","1995","66 and older","West Germany","20","","","","5"
"Never","1995","66 and older","East Germany","6","","","","5"
"Rarely","1995","16-34 y.","East Germany","41","0.0287180740210466","0.0193502102189653","0.0380859378231278","4"
"Rarely","1995","16-34 y.","West Germany","100","0.03388867642016","0.028064706570174","0.039712646270146","4"
"Rarely","1995","35-65 y.","West Germany","127","0.030677727818912","0.0257799499296189","0.0355755057082051","4"
