"pli0083","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","Not Employed","85","0.792339509971348","0.714380912924518","0.870298107018179","1"
"Daily","1990","Schleswig-Holstein","Employed","136","0.769992591624726","0.70851370072273","0.831471482526722","1"
"Daily","1990","Hamburg","Not Employed","56","0.866611399927983","0.782655857394071","0.950566942461894","1"
"Daily","1990","Hamburg","Employed","80","0.738049046119168","0.653947100047047","0.82215099219129","1"
"Daily","1990","Lower Saxony","Not Employed","319","0.873013551545057","0.839178581042354","0.906848522047761","1"
"Daily","1990","Lower Saxony","Employed","450","0.741301681530198","0.706406561282353","0.776196801778042","1"
"Daily","1990","Bremen","Not Employed","44","0.873739618865302","0.784319607935984","0.96315962979462","1"
"Daily","1990","Bremen","Employed","39","0.817561994798684","0.70830594933096","0.926818040266408","1"
"Daily","1990","North Rhine-Westphalia","Not Employed","844","0.852148665569096","0.830137874300929","0.874159456837263","1"
"Daily","1990","North Rhine-Westphalia","Employed","1221","0.768600889825367","0.747706860311752","0.789494919338981","1"
"Daily","1990","Hesse","Not Employed","276","0.860932401112441","0.823879416846404","0.897985385378479","1"
"Daily","1990","Hesse","Employed","475","0.745413081930208","0.711820113714967","0.77900605014545","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Not Employed","231","0.844543273884017","0.801162588787615","0.887923958980418","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Employed","308","0.77111557801069","0.729945096017512","0.812286060003869","1"
"Daily","1990","Baden-Württemberg","Not Employed","461","0.857371064932671","0.827739169591205","0.887002960274137","1"
"Daily","1990","Baden-Württemberg","Employed","961","0.737960440117736","0.713689280912343","0.76223159932313","1"
"Daily","1990","Bavaria","Not Employed","393","0.827732855594336","0.794366262583106","0.861099448605566","1"
"Daily","1990","Bavaria","Employed","801","0.712272719618497","0.685640934531826","0.738904504705168","1"
"Daily","1990","Berlin","Not Employed","92","0.886938477905679","0.826654858342368","0.94722209746899","1"
"Daily","1990","Berlin","Employed","177","0.800778633036409","0.748473022237922","0.853084243834896","1"
"Daily","1990","Brandenburg","Not Employed","","","","","1"
"Daily","1990","Brandenburg","Employed","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Daily","1990","Saxony","Not Employed","","","","","1"
"Daily","1990","Saxony","Employed","","","","","1"
"Daily","1990","Saxony-Anhalt","Not Employed","","","","","1"
"Daily","1990","Saxony-Anhalt","Employed","","","","","1"
"Daily","1990","Thuringia","Not Employed","","","","","1"
"Daily","1990","Thuringia","Employed","","","","","1"
"Min 1x per month","1990","Hamburg","Employed","3","","","","3"
"Min 1x per month","1990","Saxony","Employed","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Employed","4","","","","3"
"Min 1x per month","1990","Hamburg","Not Employed","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Min 1x per month","1990","Saxony","Not Employed","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Not Employed","2","","","","3"
"Min 1x per month","1990","Brandenburg","Employed","","","","","3"
"Min 1x per month","1990","Thuringia","Employed","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Not Employed","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Employed","","","","","3"
"Min 1x per month","1990","Thuringia","Not Employed","","","","","3"
"Min 1x per month","1990","Lower Saxony","Not Employed","7","","","","3"
"Min 1x per month","1990","Lower Saxony","Employed","10","","","","3"
"Min 1x per month","1990","Bremen","Not Employed","","","","","3"
"Min 1x per month","1990","Bremen","Employed","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","Not Employed","13","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","Employed","18","","","","3"
"Min 1x per month","1990","Hesse","Not Employed","4","","","","3"
"Min 1x per month","1990","Hesse","Employed","13","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Not Employed","2","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Employed","4","","","","3"
"Min 1x per month","1990","Baden-Württemberg","Not Employed","6","","","","3"
"Min 1x per month","1990","Baden-Württemberg","Employed","20","","","","3"
"Min 1x per month","1990","Bavaria","Not Employed","11","","","","3"
"Min 1x per month","1990","Bavaria","Employed","33","0.0360936484085813","0.0251207991157107","0.0470664977014519","3"
"Min 1x per month","1990","Berlin","Not Employed","1","","","","3"
"Min 1x per month","1990","Berlin","Employed","5","","","","3"
"Min 1x per month","1990","Brandenburg","Not Employed","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Min 1x per week","1990","Saxony","Not Employed","","","","","2"
"Min 1x per week","1990","Saxony","Employed","","","","","2"
