"pli0083","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","West Germany","2801","0.850922217443184","0.83881977337264","0.863024661513729","1"
"Daily","1990","Not Employed","East Germany","","","","","1"
"Daily","1990","Employed","West Germany","4648","0.749221929891406","0.738383346937864","0.760060512844948","1"
"Daily","1990","Employed","East Germany","","","","","1"
"Min 1x per month","1990","Not Employed","East Germany","","","","","3"
"Min 1x per month","1990","Not Employed","West Germany","46","0.0133260977810275","0.00942972941283013","0.0172224661492249","3"
"Min 1x per month","1990","Employed","East Germany","","","","","3"
"Min 1x per month","1990","Employed","West Germany","110","0.0220789488002292","0.018404742130288","0.0257531554701704","3"
"Min 1x per week","1990","Not Employed","West Germany","351","0.0936094055857651","0.0837115952055639","0.103507215965966","2"
"Min 1x per week","1990","Employed","East Germany","","","","","2"
"Min 1x per week","1990","Employed","West Germany","1080","0.178820459876342","0.169238592590022","0.188402327162662","2"
"Min 1x per week","1990","Not Employed","East Germany","","","","","2"
"Never","1990","Not Employed","West Germany","34","0.0126548480680514","0.00885658835301766","0.0164531077830852","5"
"Never","1990","Not Employed","East Germany","","","","","5"
"Never","1990","Employed","West Germany","65","0.00877311332859182","0.00644134234290042","0.0111048843142832","5"
"Never","1990","Employed","East Germany","","","","","5"
"Rarely","1990","Employed","West Germany","241","0.0411055481034307","0.0361412470347814","0.0460698491720801","4"
"Rarely","1990","Not Employed","West Germany","95","0.0294874311219717","0.0237391136926263","0.0352357485513171","4"
"Rarely","1990","Not Employed","East Germany","","","","","4"
"Rarely","1990","Employed","East Germany","","","","","4"
"Daily","1991","Not Employed","West Germany","","","","","1"
"Daily","1991","Not Employed","East Germany","","","","","1"
"Daily","1991","Employed","West Germany","","","","","1"
"Daily","1991","Employed","East Germany","","","","","1"
"Min 1x per month","1991","Employed","West Germany","","","","","3"
"Min 1x per month","1991","Not Employed","East Germany","","","","","3"
"Min 1x per month","1991","Not Employed","West Germany","","","","","3"
"Min 1x per month","1991","Employed","East Germany","","","","","3"
"Min 1x per week","1991","Not Employed","East Germany","","","","","2"
"Min 1x per week","1991","Employed","East Germany","","","","","2"
"Min 1x per week","1991","Not Employed","West Germany","","","","","2"
"Min 1x per week","1991","Employed","West Germany","","","","","2"
"Never","1991","Not Employed","West Germany","","","","","5"
"Never","1991","Not Employed","East Germany","","","","","5"
"Never","1991","Employed","West Germany","","","","","5"
"Never","1991","Employed","East Germany","","","","","5"
"Rarely","1991","Employed","East Germany","","","","","4"
"Rarely","1991","Employed","West Germany","","","","","4"
"Rarely","1991","Not Employed","East Germany","","","","","4"
"Rarely","1991","Not Employed","West Germany","","","","","4"
"Daily","1992","Not Employed","West Germany","","","","","1"
"Daily","1992","Not Employed","East Germany","","","","","1"
"Daily","1992","Employed","East Germany","","","","","1"
"Daily","1992","Employed","West Germany","","","","","1"
"Min 1x per month","1992","Not Employed","West Germany","","","","","3"
"Min 1x per month","1992","Employed","East Germany","","","","","3"
"Min 1x per month","1992","Not Employed","East Germany","","","","","3"
"Min 1x per month","1992","Employed","West Germany","","","","","3"
"Min 1x per week","1992","Employed","East Germany","","","","","2"
"Min 1x per week","1992","Not Employed","East Germany","","","","","2"
"Min 1x per week","1992","Employed","West Germany","","","","","2"
"Min 1x per week","1992","Not Employed","West Germany","","","","","2"
"Never","1992","Not Employed","West Germany","","","","","5"
"Never","1992","Not Employed","East Germany","","","","","5"
"Never","1992","Employed","West Germany","","","","","5"
"Never","1992","Employed","East Germany","","","","","5"
"Rarely","1992","Employed","East Germany","","","","","4"
"Rarely","1992","Not Employed","East Germany","","","","","4"
"Rarely","1992","Not Employed","West Germany","","","","","4"
"Rarely","1992","Employed","West Germany","","","","","4"
"Daily","1993","Not Employed","West Germany","","","","","1"
"Daily","1993","Not Employed","East Germany","","","","","1"
"Daily","1993","Employed","East Germany","","","","","1"
"Daily","1993","Employed","West Germany","","","","","1"
"Min 1x per month","1993","Not Employed","West Germany","","","","","3"
"Min 1x per month","1993","Not Employed","East Germany","","","","","3"
"Min 1x per month","1993","Employed","East Germany","","","","","3"
"Min 1x per month","1993","Employed","West Germany","","","","","3"
"Min 1x per week","1993","Not Employed","West Germany","","","","","2"
"Min 1x per week","1993","Employed","West Germany","","","","","2"
"Min 1x per week","1993","Employed","East Germany","","","","","2"
"Min 1x per week","1993","Not Employed","East Germany","","","","","2"
"Never","1993","Not Employed","West Germany","","","","","5"
"Never","1993","Not Employed","East Germany","","","","","5"
"Never","1993","Employed","West Germany","","","","","5"
"Never","1993","Employed","East Germany","","","","","5"
"Rarely","1993","Employed","West Germany","","","","","4"
"Rarely","1993","Not Employed","West Germany","","","","","4"
"Rarely","1993","Not Employed","East Germany","","","","","4"
"Rarely","1993","Employed","East Germany","","","","","4"
"Daily","1994","Not Employed","West Germany","","","","","1"
"Daily","1994","Employed","East Germany","","","","","1"
"Daily","1994","Not Employed","East Germany","","","","","1"
"Daily","1994","Employed","West Germany","","","","","1"
"Min 1x per month","1994","Employed","West Germany","","","","","3"
"Min 1x per month","1994","Employed","East Germany","","","","","3"
"Min 1x per month","1994","Not Employed","West Germany","","","","","3"
"Min 1x per month","1994","Not Employed","East Germany","","","","","3"
"Min 1x per week","1994","Employed","East Germany","","","","","2"
"Min 1x per week","1994","Employed","West Germany","","","","","2"
"Min 1x per week","1994","Not Employed","West Germany","","","","","2"
"Min 1x per week","1994","Not Employed","East Germany","","","","","2"
"Never","1994","Not Employed","West Germany","","","","","5"
"Never","1994","Not Employed","East Germany","","","","","5"
"Never","1994","Employed","West Germany","","","","","5"
"Never","1994","Employed","East Germany","","","","","5"
"Rarely","1994","Employed","East Germany","","","","","4"
"Rarely","1994","Employed","West Germany","","","","","4"
"Rarely","1994","Not Employed","West Germany","","","","","4"
"Rarely","1994","Not Employed","East Germany","","","","","4"
"Daily","1995","Not Employed","West Germany","3063","0.87638027106667","0.865471132341465","0.887289409791874","1"
