"pli0083","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Urban Area","West Germany","5943","0.78961522358348","0.780428230618853","0.798802216548107"
"Daily","1990","Urban Area","East Germany","","","",""
"Daily","1990","Rural Area","West Germany","1506","0.790203091485714","0.771943110886815","0.808463072084613"
"Daily","1990","Rural Area","East Germany","","","",""
"Min 1x per week","1990","Urban Area","West Germany","1146","0.145745931809363","0.13779257950682","0.153699284111906"
"Min 1x per week","1990","Urban Area","East Germany","","","",""
"Min 1x per week","1990","Rural Area","West Germany","285","0.141795955705144","0.12615156664576","0.157440344764527"
"Min 1x per week","1990","Rural Area","East Germany","","","",""
"Min 1x per month","1990","Urban Area","West Germany","113","0.0163224412367229","0.0134663149212378","0.019178567552208"
"Min 1x per month","1990","Urban Area","East Germany","","","",""
"Min 1x per month","1990","Rural Area","West Germany","43","0.0265152817506653","0.0193101139467797","0.0337204495545509"
"Min 1x per month","1990","Rural Area","East Germany","","","",""
"Rarely","1990","Urban Area","West Germany","278","0.0376066920577222","0.0333185680501272","0.0418948160653172"
"Rarely","1990","Urban Area","East Germany","","","",""
"Rarely","1990","Rural Area","West Germany","58","0.0325274444629281","0.0245717937682486","0.0404830951576076"
"Rarely","1990","Rural Area","East Germany","","","",""
"Never","1990","Urban Area","West Germany","81","0.0107097113127123","0.00838959783425476","0.0130298247911698"
"Never","1990","Urban Area","East Germany","","","",""
"Never","1990","Rural Area","West Germany","18","","",""
"Never","1990","Rural Area","East Germany","","","",""
"Daily","1991","Urban Area","West Germany","","","",""
"Daily","1991","Urban Area","East Germany","","","",""
"Daily","1991","Rural Area","West Germany","","","",""
"Daily","1991","Rural Area","East Germany","","","",""
"Min 1x per week","1991","Urban Area","West Germany","","","",""
"Min 1x per week","1991","Urban Area","East Germany","","","",""
"Min 1x per week","1991","Rural Area","West Germany","","","",""
"Min 1x per week","1991","Rural Area","East Germany","","","",""
"Min 1x per month","1991","Urban Area","West Germany","","","",""
"Min 1x per month","1991","Urban Area","East Germany","","","",""
"Min 1x per month","1991","Rural Area","West Germany","","","",""
"Min 1x per month","1991","Rural Area","East Germany","","","",""
"Rarely","1991","Urban Area","West Germany","","","",""
"Rarely","1991","Urban Area","East Germany","","","",""
"Rarely","1991","Rural Area","West Germany","","","",""
"Rarely","1991","Rural Area","East Germany","","","",""
"Never","1991","Urban Area","West Germany","","","",""
"Never","1991","Urban Area","East Germany","","","",""
"Never","1991","Rural Area","West Germany","","","",""
"Never","1991","Rural Area","East Germany","","","",""
"Daily","1992","Urban Area","West Germany","","","",""
"Daily","1992","Urban Area","East Germany","","","",""
"Daily","1992","Rural Area","West Germany","","","",""
"Daily","1992","Rural Area","East Germany","","","",""
"Min 1x per week","1992","Urban Area","West Germany","","","",""
"Min 1x per week","1992","Urban Area","East Germany","","","",""
"Min 1x per week","1992","Rural Area","West Germany","","","",""
"Min 1x per week","1992","Rural Area","East Germany","","","",""
"Min 1x per month","1992","Urban Area","West Germany","","","",""
"Min 1x per month","1992","Urban Area","East Germany","","","",""
"Min 1x per month","1992","Rural Area","West Germany","","","",""
"Min 1x per month","1992","Rural Area","East Germany","","","",""
"Rarely","1992","Urban Area","West Germany","","","",""
"Rarely","1992","Urban Area","East Germany","","","",""
"Rarely","1992","Rural Area","West Germany","","","",""
"Rarely","1992","Rural Area","East Germany","","","",""
"Never","1992","Urban Area","West Germany","","","",""
"Never","1992","Urban Area","East Germany","","","",""
"Never","1992","Rural Area","West Germany","","","",""
"Never","1992","Rural Area","East Germany","","","",""
"Daily","1993","Urban Area","West Germany","","","",""
"Daily","1993","Urban Area","East Germany","","","",""
"Daily","1993","Rural Area","West Germany","","","",""
"Daily","1993","Rural Area","East Germany","","","",""
"Min 1x per week","1993","Urban Area","West Germany","","","",""
"Min 1x per week","1993","Urban Area","East Germany","","","",""
"Min 1x per week","1993","Rural Area","West Germany","","","",""
"Min 1x per week","1993","Rural Area","East Germany","","","",""
"Min 1x per month","1993","Urban Area","West Germany","","","",""
"Min 1x per month","1993","Urban Area","East Germany","","","",""
"Min 1x per month","1993","Rural Area","West Germany","","","",""
"Min 1x per month","1993","Rural Area","East Germany","","","",""
"Rarely","1993","Urban Area","West Germany","","","",""
"Rarely","1993","Urban Area","East Germany","","","",""
"Rarely","1993","Rural Area","West Germany","","","",""
"Rarely","1993","Rural Area","East Germany","","","",""
"Never","1993","Urban Area","West Germany","","","",""
"Never","1993","Urban Area","East Germany","","","",""
"Never","1993","Rural Area","West Germany","","","",""
"Never","1993","Rural Area","East Germany","","","",""
"Daily","1994","Urban Area","West Germany","","","",""
"Daily","1994","Urban Area","East Germany","","","",""
"Daily","1994","Rural Area","West Germany","","","",""
"Daily","1994","Rural Area","East Germany","","","",""
"Min 1x per week","1994","Urban Area","West Germany","","","",""
"Min 1x per week","1994","Urban Area","East Germany","","","",""
"Min 1x per week","1994","Rural Area","West Germany","","","",""
"Min 1x per week","1994","Rural Area","East Germany","","","",""
"Min 1x per month","1994","Urban Area","West Germany","","","",""
"Min 1x per month","1994","Urban Area","East Germany","","","",""
"Min 1x per month","1994","Rural Area","West Germany","","","",""
"Min 1x per month","1994","Rural Area","East Germany","","","",""
