"pli0083","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Urban Area","Male","2913","0.782577671027672","0.76934715655928","0.795808185496063"
"Daily","1990","Urban Area","Female","3030","0.796019388003713","0.783252791632384","0.808785984375043"
"Daily","1990","Rural Area","Male","739","0.792428527046845","0.766446438949852","0.818410615143838"
"Daily","1990","Rural Area","Female","767","0.788130302044211","0.762467619648867","0.813792984439554"
"Min 1x per week","1990","Urban Area","Male","592","0.153495927291055","0.141934168926121","0.165057685655988"
"Min 1x per week","1990","Urban Area","Female","554","0.138693445177507","0.127743153076416","0.149643737278597"
"Min 1x per week","1990","Rural Area","Male","145","0.144791152770589","0.122247864110532","0.167334441430646"
"Min 1x per week","1990","Rural Area","Female","140","0.139006203909626","0.117279906744557","0.160732501074694"
"Min 1x per month","1990","Urban Area","Male","58","0.0152681901096643","0.0113352829256608","0.0192010972936677"
"Min 1x per month","1990","Urban Area","Female","55","0.0172818085031639","0.0131529694690109","0.0214106475373168"
"Min 1x per month","1990","Rural Area","Male","22","","",""
"Min 1x per month","1990","Rural Area","Female","21","","",""
"Rarely","1990","Urban Area","Male","129","0.0399393948608671","0.0336586522066249","0.0462201375151093"
"Rarely","1990","Urban Area","Female","149","0.0354839352930071","0.0296226956008463","0.041345174985168"
"Rarely","1990","Rural Area","Male","23","","",""
"Rarely","1990","Rural Area","Female","35","0.0380136804712854","0.0260042331774323","0.0500231277651386"
"Never","1990","Urban Area","Male","42","0.00871881671074252","0.00573695059908847","0.0117006828223966"
"Never","1990","Urban Area","Female","39","0.0125214230226088","0.00899844815376968","0.0160443978914479"
"Never","1990","Rural Area","Male","7","","",""
"Never","1990","Rural Area","Female","11","","",""
"Daily","1991","Urban Area","Male","","","",""
"Daily","1991","Urban Area","Female","","","",""
"Daily","1991","Rural Area","Male","","","",""
"Daily","1991","Rural Area","Female","","","",""
"Min 1x per week","1991","Urban Area","Male","","","",""
"Min 1x per week","1991","Urban Area","Female","","","",""
"Min 1x per week","1991","Rural Area","Male","","","",""
"Min 1x per week","1991","Rural Area","Female","","","",""
"Min 1x per month","1991","Urban Area","Male","","","",""
"Min 1x per month","1991","Urban Area","Female","","","",""
"Min 1x per month","1991","Rural Area","Male","","","",""
"Min 1x per month","1991","Rural Area","Female","","","",""
"Rarely","1991","Urban Area","Male","","","",""
"Rarely","1991","Urban Area","Female","","","",""
"Rarely","1991","Rural Area","Male","","","",""
"Rarely","1991","Rural Area","Female","","","",""
"Never","1991","Urban Area","Male","","","",""
"Never","1991","Urban Area","Female","","","",""
"Never","1991","Rural Area","Male","","","",""
"Never","1991","Rural Area","Female","","","",""
"Daily","1992","Urban Area","Male","","","",""
"Daily","1992","Urban Area","Female","","","",""
"Daily","1992","Rural Area","Male","","","",""
"Daily","1992","Rural Area","Female","","","",""
"Min 1x per week","1992","Urban Area","Male","","","",""
"Min 1x per week","1992","Urban Area","Female","","","",""
"Min 1x per week","1992","Rural Area","Male","","","",""
"Min 1x per week","1992","Rural Area","Female","","","",""
"Min 1x per month","1992","Urban Area","Male","","","",""
"Min 1x per month","1992","Urban Area","Female","","","",""
"Min 1x per month","1992","Rural Area","Male","","","",""
"Min 1x per month","1992","Rural Area","Female","","","",""
"Rarely","1992","Urban Area","Male","","","",""
"Rarely","1992","Urban Area","Female","","","",""
"Rarely","1992","Rural Area","Male","","","",""
"Rarely","1992","Rural Area","Female","","","",""
"Never","1992","Urban Area","Male","","","",""
"Never","1992","Urban Area","Female","","","",""
"Never","1992","Rural Area","Male","","","",""
"Never","1992","Rural Area","Female","","","",""
"Daily","1993","Urban Area","Male","","","",""
"Daily","1993","Urban Area","Female","","","",""
"Daily","1993","Rural Area","Male","","","",""
"Daily","1993","Rural Area","Female","","","",""
"Min 1x per week","1993","Urban Area","Male","","","",""
"Min 1x per week","1993","Urban Area","Female","","","",""
"Min 1x per week","1993","Rural Area","Male","","","",""
"Min 1x per week","1993","Rural Area","Female","","","",""
"Min 1x per month","1993","Urban Area","Male","","","",""
"Min 1x per month","1993","Urban Area","Female","","","",""
"Min 1x per month","1993","Rural Area","Male","","","",""
"Min 1x per month","1993","Rural Area","Female","","","",""
"Rarely","1993","Urban Area","Male","","","",""
"Rarely","1993","Urban Area","Female","","","",""
"Rarely","1993","Rural Area","Male","","","",""
"Rarely","1993","Rural Area","Female","","","",""
"Never","1993","Urban Area","Male","","","",""
"Never","1993","Urban Area","Female","","","",""
"Never","1993","Rural Area","Male","","","",""
"Never","1993","Rural Area","Female","","","",""
"Daily","1994","Urban Area","Male","","","",""
"Daily","1994","Urban Area","Female","","","",""
"Daily","1994","Rural Area","Male","","","",""
"Daily","1994","Rural Area","Female","","","",""
"Min 1x per week","1994","Urban Area","Male","","","",""
"Min 1x per week","1994","Urban Area","Female","","","",""
"Min 1x per week","1994","Rural Area","Male","","","",""
"Min 1x per week","1994","Rural Area","Female","","","",""
"Min 1x per month","1994","Urban Area","Male","","","",""
"Min 1x per month","1994","Urban Area","Female","","","",""
"Min 1x per month","1994","Rural Area","Male","","","",""
"Min 1x per month","1994","Rural Area","Female","","","",""
"Rarely","1994","Urban Area","Male","","","",""
"Rarely","1994","Urban Area","Female","","","",""
"Rarely","1994","Rural Area","Male","","","",""
"Rarely","1994","Rural Area","Female","","","",""
"Never","1994","Urban Area","Male","","","",""
"Never","1994","Urban Area","Female","","","",""
"Never","1994","Rural Area","Male","","","",""
"Never","1994","Rural Area","Female","","","",""
