"pli0083","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1995","Urban Area","Male","3566","0.835711932708264","0.824562753735535","0.846861111680992"
"Daily","1995","Urban Area","Female","3866","0.836220365381739","0.82552123696831","0.846919493795169"
"Daily","1995","Rural Area","Male","1837","0.845146842260551","0.829890608483868","0.860403076037234"
"Daily","1995","Rural Area","Female","1951","0.834225824575858","0.819011348584818","0.849440300566897"
"Min 1x per week","1995","Urban Area","Male","481","0.113684412399434","0.10413325000011","0.123235574798758"
"Min 1x per week","1995","Urban Area","Female","524","0.114072264452654","0.104881592570454","0.123262936334854"
"Min 1x per week","1995","Rural Area","Male","234","0.110792294631731","0.0975556593460636","0.124028929917399"
"Min 1x per week","1995","Rural Area","Female","235","0.104422047026421","0.0919106863450073","0.116933407707834"
"Min 1x per month","1995","Urban Area","Male","48","0.0134741157911957","0.0100050226920044","0.0169432088903869"
"Min 1x per month","1995","Urban Area","Female","59","0.0137984548634008","0.0104259223210967","0.017170987405705"
"Min 1x per month","1995","Rural Area","Male","23","","",""
"Min 1x per month","1995","Rural Area","Female","19","","",""
"Rarely","1995","Urban Area","Male","103","0.0256543703992709","0.0208971992508358","0.0304115415477059"
"Rarely","1995","Urban Area","Female","99","0.0236357225050087","0.0192438627541031","0.0280275822559143"
"Rarely","1995","Rural Area","Male","55","0.0263254984905494","0.0195737475176304","0.0330772494634685"
"Rarely","1995","Rural Area","Female","73","0.0366098844687095","0.0289264212199054","0.0442933477175137"
"Never","1995","Urban Area","Male","45","0.0114751687018356","0.00827048695899196","0.0146798504446793"
"Never","1995","Urban Area","Female","48","0.0122731927971968","0.00909005617157035","0.0154563294228232"
"Never","1995","Rural Area","Male","11","","",""
"Never","1995","Rural Area","Female","17","","",""
"Daily","1996","Urban Area","Male","","","",""
"Daily","1996","Urban Area","Female","","","",""
"Daily","1996","Rural Area","Male","","","",""
"Daily","1996","Rural Area","Female","","","",""
"Min 1x per week","1996","Urban Area","Male","","","",""
"Min 1x per week","1996","Urban Area","Female","","","",""
"Min 1x per week","1996","Rural Area","Male","","","",""
"Min 1x per week","1996","Rural Area","Female","","","",""
"Min 1x per month","1996","Urban Area","Male","","","",""
"Min 1x per month","1996","Urban Area","Female","","","",""
"Min 1x per month","1996","Rural Area","Male","","","",""
"Min 1x per month","1996","Rural Area","Female","","","",""
"Rarely","1996","Urban Area","Male","","","",""
"Rarely","1996","Urban Area","Female","","","",""
"Rarely","1996","Rural Area","Male","","","",""
"Rarely","1996","Rural Area","Female","","","",""
"Never","1996","Urban Area","Male","","","",""
"Never","1996","Urban Area","Female","","","",""
"Never","1996","Rural Area","Male","","","",""
"Never","1996","Rural Area","Female","","","",""
"Daily","1997","Urban Area","Male","","","",""
"Daily","1997","Urban Area","Female","","","",""
"Daily","1997","Rural Area","Male","","","",""
"Daily","1997","Rural Area","Female","","","",""
"Min 1x per week","1997","Urban Area","Male","","","",""
"Min 1x per week","1997","Urban Area","Female","","","",""
"Min 1x per week","1997","Rural Area","Male","","","",""
"Min 1x per week","1997","Rural Area","Female","","","",""
"Min 1x per month","1997","Urban Area","Male","","","",""
"Min 1x per month","1997","Urban Area","Female","","","",""
"Min 1x per month","1997","Rural Area","Male","","","",""
"Min 1x per month","1997","Rural Area","Female","","","",""
"Rarely","1997","Urban Area","Male","","","",""
"Rarely","1997","Urban Area","Female","","","",""
"Rarely","1997","Rural Area","Male","","","",""
"Rarely","1997","Rural Area","Female","","","",""
"Never","1997","Urban Area","Male","","","",""
"Never","1997","Urban Area","Female","","","",""
"Never","1997","Rural Area","Male","","","",""
"Never","1997","Rural Area","Female","","","",""
"Daily","1998","Urban Area","Male","3833","0.84037466525691","0.829688969361969","0.851060361151851"
"Daily","1998","Urban Area","Female","4115","0.837675665081951","0.827319156341099","0.848032173822802"
"Daily","1998","Rural Area","Male","2055","0.85768980086792","0.84363313382378","0.87174646791206"
"Daily","1998","Rural Area","Female","2167","0.86528585290383","0.851870277409534","0.878701428398126"
"Min 1x per week","1998","Urban Area","Male","508","0.118225391758625","0.108805420027973","0.127645363489278"
"Min 1x per week","1998","Urban Area","Female","522","0.112376444314633","0.103506198338877","0.12124669029039"
"Min 1x per week","1998","Rural Area","Male","209","0.0862636382567193","0.0749676674498898","0.0975596090635488"
"Min 1x per week","1998","Rural Area","Female","219","0.0840446862407373","0.0731424603469828","0.0949469121344917"
"Min 1x per month","1998","Urban Area","Male","44","0.0111484250369289","0.00808513768300111","0.0142117123908566"
"Min 1x per month","1998","Urban Area","Female","42","0.00811147292366154","0.00559225982768247","0.0106306860196406"
"Min 1x per month","1998","Rural Area","Male","29","","",""
"Min 1x per month","1998","Rural Area","Female","23","","",""
"Rarely","1998","Urban Area","Male","92","0.0228458768042876","0.0184867362345683","0.0272050173740068"
"Rarely","1998","Urban Area","Female","124","0.0267788005969974","0.0222447647299943","0.0313128364640004"
"Rarely","1998","Rural Area","Male","62","0.0262654128773464","0.0198309598297633","0.0326998659249295"
"Rarely","1998","Rural Area","Female","65","0.0277648920421882","0.0213089957178506","0.0342207883665259"
"Never","1998","Urban Area","Male","36","0.00740564114324862","0.00490424395485393","0.0099070383316433"
"Never","1998","Urban Area","Female","67","0.015057617082757","0.0116372938705957","0.0184779402949183"
"Never","1998","Rural Area","Male","18","","",""
"Never","1998","Rural Area","Female","14","","",""
"Daily","1999","Urban Area","Male","","","",""
"Daily","1999","Urban Area","Female","","","",""
"Daily","1999","Rural Area","Male","","","",""
"Daily","1999","Rural Area","Female","","","",""
"Min 1x per week","1999","Urban Area","Male","","","",""
"Min 1x per week","1999","Urban Area","Female","","","",""
"Min 1x per week","1999","Rural Area","Male","","","",""
"Min 1x per week","1999","Rural Area","Female","","","",""
"Min 1x per month","1999","Urban Area","Male","","","",""
"Min 1x per month","1999","Urban Area","Female","","","",""
"Min 1x per month","1999","Rural Area","Male","","","",""
"Min 1x per month","1999","Rural Area","Female","","","",""
"Rarely","1999","Urban Area","Male","","","",""
"Rarely","1999","Urban Area","Female","","","",""
"Rarely","1999","Rural Area","Male","","","",""
"Rarely","1999","Rural Area","Female","","","",""
"Never","1999","Urban Area","Male","","","",""
"Never","1999","Urban Area","Female","","","",""
"Never","1999","Rural Area","Male","","","",""
"Never","1999","Rural Area","Female","","","",""
"Daily","2000","Urban Area","Male","","","",""
"Daily","2000","Urban Area","Female","","","",""
"Daily","2000","Rural Area","Male","","","",""
"Daily","2000","Rural Area","Female","","","",""
"Min 1x per week","2000","Urban Area","Male","","","",""
"Min 1x per week","2000","Urban Area","Female","","","",""
"Min 1x per week","2000","Rural Area","Male","","","",""
"Min 1x per week","2000","Rural Area","Female","","","",""
"Min 1x per month","2000","Urban Area","Male","","","",""
"Min 1x per month","2000","Urban Area","Female","","","",""
"Min 1x per month","2000","Rural Area","Male","","","",""
"Min 1x per month","2000","Rural Area","Female","","","",""
"Rarely","2000","Urban Area","Male","","","",""
"Rarely","2000","Urban Area","Female","","","",""
"Rarely","2000","Rural Area","Male","","","",""
"Rarely","2000","Rural Area","Female","","","",""
"Never","2000","Urban Area","Male","","","",""
"Never","2000","Urban Area","Female","","","",""
"Never","2000","Rural Area","Male","","","",""
"Never","2000","Rural Area","Female","","","",""
"Daily","2001","Urban Area","Male","","","",""
"Daily","2001","Urban Area","Female","","","",""
"Daily","2001","Rural Area","Male","","","",""
"Daily","2001","Rural Area","Female","","","",""
"Min 1x per week","2001","Urban Area","Male","","","",""
"Min 1x per week","2001","Urban Area","Female","","","",""
"Min 1x per week","2001","Rural Area","Male","","","",""
"Min 1x per week","2001","Rural Area","Female","","","",""
"Min 1x per month","2001","Urban Area","Male","","","",""
"Min 1x per month","2001","Urban Area","Female","","","",""
"Min 1x per month","2001","Rural Area","Male","","","",""
"Min 1x per month","2001","Rural Area","Female","","","",""
"Rarely","2001","Urban Area","Male","","","",""
"Rarely","2001","Urban Area","Female","","","",""
"Rarely","2001","Rural Area","Male","","","",""
"Rarely","2001","Rural Area","Female","","","",""
"Never","2001","Urban Area","Male","","","",""
"Never","2001","Urban Area","Female","","","",""
"Never","2001","Rural Area","Male","","","",""
"Never","2001","Rural Area","Female","","","",""
"Daily","2002","Urban Area","Male","","","",""
"Daily","2002","Urban Area","Female","","","",""
"Daily","2002","Rural Area","Male","","","",""
"Daily","2002","Rural Area","Female","","","",""
"Min 1x per week","2002","Urban Area","Male","","","",""
"Min 1x per week","2002","Urban Area","Female","","","",""
"Min 1x per week","2002","Rural Area","Male","","","",""
"Min 1x per week","2002","Rural Area","Female","","","",""
"Min 1x per month","2002","Urban Area","Male","","","",""
"Min 1x per month","2002","Urban Area","Female","","","",""
"Min 1x per month","2002","Rural Area","Male","","","",""
"Min 1x per month","2002","Rural Area","Female","","","",""
"Rarely","2002","Urban Area","Male","","","",""
"Rarely","2002","Urban Area","Female","","","",""
"Rarely","2002","Rural Area","Male","","","",""
"Rarely","2002","Rural Area","Female","","","",""
"Never","2002","Urban Area","Male","","","",""
"Never","2002","Urban Area","Female","","","",""
"Never","2002","Rural Area","Male","","","",""
"Never","2002","Rural Area","Female","","","",""
"Daily","2003","Urban Area","Male","6128","0.855096217838094","0.846933117789568","0.863259317886619"
"Daily","2003","Urban Area","Female","6653","0.86935160563911","0.861848881281314","0.876854329996905"
"Daily","2003","Rural Area","Male","3066","0.86947960582159","0.858399557787839","0.880559653855341"
"Daily","2003","Rural Area","Female","3309","0.879504980149387","0.869116166664425","0.889893793634349"
"Min 1x per week","2003","Urban Area","Male","746","0.100894073867695","0.0939094017283458","0.107878746007043"
"Min 1x per week","2003","Urban Area","Female","795","0.090794365342438","0.0843980520050416","0.0971906786798343"
"Min 1x per week","2003","Rural Area","Male","339","0.0865565365741725","0.0773082021365886","0.0958048710117565"
"Min 1x per week","2003","Rural Area","Female","309","0.0791772160191437","0.0705603291548771","0.0877941028834103"
"Min 1x per month","2003","Urban Area","Male","66","0.0126314363748006","0.0100415913117268","0.0152212814378743"
"Min 1x per month","2003","Urban Area","Female","71","0.00985393886701992","0.00765494617293986","0.0120529315611"
"Min 1x per month","2003","Rural Area","Male","38","0.0122543481866379","0.00863574945944572","0.0158729469138301"
"Min 1x per month","2003","Rural Area","Female","34","0.0103224453401968","0.00709692039213067","0.0135479702882629"
"Rarely","2003","Urban Area","Male","123","0.0168132556253161","0.0138316398245805","0.0197948714260517"
"Rarely","2003","Urban Area","Female","131","0.016030222949421","0.0132342698412472","0.0188261760575947"
"Rarely","2003","Rural Area","Male","71","0.0212139180906008","0.0164744774173709","0.0259533587638307"
"Rarely","2003","Rural Area","Female","69","0.015822900498598","0.0118405275867864","0.0198052734104096"
"Never","2003","Urban Area","Male","80","0.0145650162940951","0.0117867284332387","0.0173433041549514"
"Never","2003","Urban Area","Female","101","0.0139698672020115","0.0113570414070238","0.0165826929969992"
"Never","2003","Rural Area","Male","37","0.0104955913269984","0.00714373744862919","0.0138474452053676"
"Never","2003","Rural Area","Female","51","0.0151724579926745","0.0112715086223772","0.0190734073629717"
"Daily","2004","Urban Area","Male","","","",""
"Daily","2004","Urban Area","Female","","","",""
"Daily","2004","Rural Area","Male","","","",""
"Daily","2004","Rural Area","Female","","","",""
"Min 1x per week","2004","Urban Area","Male","","","",""
"Min 1x per week","2004","Urban Area","Female","","","",""
"Min 1x per week","2004","Rural Area","Male","","","",""
"Min 1x per week","2004","Rural Area","Female","","","",""
"Min 1x per month","2004","Urban Area","Male","","","",""
"Min 1x per month","2004","Urban Area","Female","","","",""
"Min 1x per month","2004","Rural Area","Male","","","",""
"Min 1x per month","2004","Rural Area","Female","","","",""
"Rarely","2004","Urban Area","Male","","","",""
"Rarely","2004","Urban Area","Female","","","",""
"Rarely","2004","Rural Area","Male","","","",""
"Rarely","2004","Rural Area","Female","","","",""
"Never","2004","Urban Area","Male","","","",""
"Never","2004","Urban Area","Female","","","",""
"Never","2004","Rural Area","Male","","","",""
"Never","2004","Rural Area","Female","","","",""
"Daily","2005","Urban Area","Male","","","",""
"Daily","2005","Urban Area","Female","","","",""
"Daily","2005","Rural Area","Male","","","",""
"Daily","2005","Rural Area","Female","","","",""
"Min 1x per week","2005","Urban Area","Male","","","",""
"Min 1x per week","2005","Urban Area","Female","","","",""
"Min 1x per week","2005","Rural Area","Male","","","",""
"Min 1x per week","2005","Rural Area","Female","","","",""
"Min 1x per month","2005","Urban Area","Male","","","",""
"Min 1x per month","2005","Urban Area","Female","","","",""
"Min 1x per month","2005","Rural Area","Male","","","",""
"Min 1x per month","2005","Rural Area","Female","","","",""
"Rarely","2005","Urban Area","Male","","","",""
"Rarely","2005","Urban Area","Female","","","",""
"Rarely","2005","Rural Area","Male","","","",""
"Rarely","2005","Rural Area","Female","","","",""
"Never","2005","Urban Area","Male","","","",""
"Never","2005","Urban Area","Female","","","",""
"Never","2005","Rural Area","Male","","","",""
"Never","2005","Rural Area","Female","","","",""
"Daily","2006","Urban Area","Male","","","",""
"Daily","2006","Urban Area","Female","","","",""
"Daily","2006","Rural Area","Male","","","",""
"Daily","2006","Rural Area","Female","","","",""
"Min 1x per week","2006","Urban Area","Male","","","",""
"Min 1x per week","2006","Urban Area","Female","","","",""
"Min 1x per week","2006","Rural Area","Male","","","",""
"Min 1x per week","2006","Rural Area","Female","","","",""
"Min 1x per month","2006","Urban Area","Male","","","",""
"Min 1x per month","2006","Urban Area","Female","","","",""
"Min 1x per month","2006","Rural Area","Male","","","",""
"Min 1x per month","2006","Rural Area","Female","","","",""
"Rarely","2006","Urban Area","Male","","","",""
"Rarely","2006","Urban Area","Female","","","",""
"Rarely","2006","Rural Area","Male","","","",""
"Rarely","2006","Rural Area","Female","","","",""
"Never","2006","Urban Area","Male","","","",""
"Never","2006","Urban Area","Female","","","",""
"Never","2006","Rural Area","Male","","","",""
"Never","2006","Rural Area","Female","","","",""
"Daily","2007","Urban Area","Male","","","",""
"Daily","2007","Urban Area","Female","","","",""
"Daily","2007","Rural Area","Male","","","",""
"Daily","2007","Rural Area","Female","","","",""
"Min 1x per week","2007","Urban Area","Male","","","",""
"Min 1x per week","2007","Urban Area","Female","","","",""
"Min 1x per week","2007","Rural Area","Male","","","",""
"Min 1x per week","2007","Rural Area","Female","","","",""
"Min 1x per month","2007","Urban Area","Male","","","",""
"Min 1x per month","2007","Urban Area","Female","","","",""
"Min 1x per month","2007","Rural Area","Male","","","",""
"Min 1x per month","2007","Rural Area","Female","","","",""
"Rarely","2007","Urban Area","Male","","","",""
"Rarely","2007","Urban Area","Female","","","",""
"Rarely","2007","Rural Area","Male","","","",""
"Rarely","2007","Rural Area","Female","","","",""
"Never","2007","Urban Area","Male","","","",""
"Never","2007","Urban Area","Female","","","",""
"Never","2007","Rural Area","Male","","","",""
"Never","2007","Rural Area","Female","","","",""
"Daily","2008","Urban Area","Male","4986","0.828750870449059","0.819267421511851","0.838234319386267"
"Daily","2008","Urban Area","Female","5612","0.832008965412246","0.823094191654026","0.840923739170466"
"Daily","2008","Rural Area","Male","2674","0.830983847175168","0.817904753704501","0.844062940645835"
"Daily","2008","Rural Area","Female","2911","0.85806795739229","0.846334190057171","0.869801724727409"
"Min 1x per week","2008","Urban Area","Male","788","0.123495198700201","0.115213063585061","0.131777333815341"
"Min 1x per week","2008","Urban Area","Female","794","0.114718803446774","0.107119720329503","0.122317886564044"
"Min 1x per week","2008","Rural Area","Male","340","0.117955696826803","0.106698716516089","0.129212677137517"
"Min 1x per week","2008","Rural Area","Female","334","0.0891204367368214","0.079540656729746","0.0987002167438967"
"Min 1x per month","2008","Urban Area","Male","96","0.0171437565616005","0.0138760870879312","0.0204114260352697"
"Min 1x per month","2008","Urban Area","Female","99","0.015698721705158","0.0127345767335779","0.0186628666767381"
"Min 1x per month","2008","Rural Area","Male","45","0.0133227037314247","0.00932140479035243","0.0173240026724969"
"Min 1x per month","2008","Rural Area","Female","35","0.0102090519334362","0.00682917529625648","0.0135889285706159"
"Rarely","2008","Urban Area","Male","122","0.0199988239156316","0.0164746636382313","0.023522984193032"
"Rarely","2008","Urban Area","Female","168","0.0221383923711192","0.018629944658712","0.0256468400835264"
"Rarely","2008","Rural Area","Male","70","0.0260237621668692","0.0204675801066075","0.031579944227131"
"Rarely","2008","Rural Area","Female","79","0.0258005097582785","0.020469929382932","0.0311310901336249"
"Never","2008","Urban Area","Male","70","0.010611350373508","0.00803200846674533","0.0131906922802708"
"Never","2008","Urban Area","Female","83","0.0154351170647035","0.0124955700871732","0.0183746640422337"
"Never","2008","Rural Area","Male","25","","",""
"Never","2008","Rural Area","Female","39","0.016802044179174","0.0124805100380974","0.0211235783202506"
"Daily","2009","Urban Area","Male","","","",""
"Daily","2009","Urban Area","Female","","","",""
"Daily","2009","Rural Area","Male","","","",""
"Daily","2009","Rural Area","Female","","","",""
"Min 1x per week","2009","Urban Area","Male","","","",""
"Min 1x per week","2009","Urban Area","Female","","","",""
"Min 1x per week","2009","Rural Area","Male","","","",""
"Min 1x per week","2009","Rural Area","Female","","","",""
"Min 1x per month","2009","Urban Area","Male","","","",""
"Min 1x per month","2009","Urban Area","Female","","","",""
"Min 1x per month","2009","Rural Area","Male","","","",""
"Min 1x per month","2009","Rural Area","Female","","","",""
"Rarely","2009","Urban Area","Male","","","",""
"Rarely","2009","Urban Area","Female","","","",""
"Rarely","2009","Rural Area","Male","","","",""
"Rarely","2009","Rural Area","Female","","","",""
"Never","2009","Urban Area","Male","","","",""
"Never","2009","Urban Area","Female","","","",""
"Never","2009","Rural Area","Male","","","",""
"Never","2009","Rural Area","Female","","","",""
"Daily","2010","Urban Area","Male","","","",""
"Daily","2010","Urban Area","Female","","","",""
"Daily","2010","Rural Area","Male","","","",""
"Daily","2010","Rural Area","Female","","","",""
"Min 1x per week","2010","Urban Area","Male","","","",""
"Min 1x per week","2010","Urban Area","Female","","","",""
"Min 1x per week","2010","Rural Area","Male","","","",""
"Min 1x per week","2010","Rural Area","Female","","","",""
"Min 1x per month","2010","Urban Area","Male","","","",""
"Min 1x per month","2010","Urban Area","Female","","","",""
"Min 1x per month","2010","Rural Area","Male","","","",""
"Min 1x per month","2010","Rural Area","Female","","","",""
"Rarely","2010","Urban Area","Male","","","",""
"Rarely","2010","Urban Area","Female","","","",""
"Rarely","2010","Rural Area","Male","","","",""
"Rarely","2010","Rural Area","Female","","","",""
"Never","2010","Urban Area","Male","","","",""
"Never","2010","Urban Area","Female","","","",""
"Never","2010","Rural Area","Male","","","",""
"Never","2010","Rural Area","Female","","","",""
"Daily","2011","Urban Area","Male","","","",""
"Daily","2011","Urban Area","Female","","","",""
"Daily","2011","Rural Area","Male","","","",""
"Daily","2011","Rural Area","Female","","","",""
"Min 1x per week","2011","Urban Area","Male","","","",""
"Min 1x per week","2011","Urban Area","Female","","","",""
"Min 1x per week","2011","Rural Area","Male","","","",""
"Min 1x per week","2011","Rural Area","Female","","","",""
"Min 1x per month","2011","Urban Area","Male","","","",""
"Min 1x per month","2011","Urban Area","Female","","","",""
"Min 1x per month","2011","Rural Area","Male","","","",""
"Min 1x per month","2011","Rural Area","Female","","","",""
"Rarely","2011","Urban Area","Male","","","",""
"Rarely","2011","Urban Area","Female","","","",""
"Rarely","2011","Rural Area","Male","","","",""
"Rarely","2011","Rural Area","Female","","","",""
"Never","2011","Urban Area","Male","","","",""
"Never","2011","Urban Area","Female","","","",""
"Never","2011","Rural Area","Male","","","",""
"Never","2011","Rural Area","Female","","","",""
"Daily","2012","Urban Area","Male","","","",""
"Daily","2012","Urban Area","Female","","","",""
"Daily","2012","Rural Area","Male","","","",""
"Daily","2012","Rural Area","Female","","","",""
"Min 1x per week","2012","Urban Area","Male","","","",""
"Min 1x per week","2012","Urban Area","Female","","","",""
"Min 1x per week","2012","Rural Area","Male","","","",""
"Min 1x per week","2012","Rural Area","Female","","","",""
"Min 1x per month","2012","Urban Area","Male","","","",""
"Min 1x per month","2012","Urban Area","Female","","","",""
"Min 1x per month","2012","Rural Area","Male","","","",""
"Min 1x per month","2012","Rural Area","Female","","","",""
"Rarely","2012","Urban Area","Male","","","",""
"Rarely","2012","Urban Area","Female","","","",""
"Rarely","2012","Rural Area","Male","","","",""
"Rarely","2012","Rural Area","Female","","","",""
"Never","2012","Urban Area","Male","","","",""
"Never","2012","Urban Area","Female","","","",""
"Never","2012","Rural Area","Male","","","",""
"Never","2012","Rural Area","Female","","","",""
"Daily","2013","Urban Area","Male","5604","0.772399275403495","0.76282359892989","0.7819749518771"
"Daily","2013","Urban Area","Female","6914","0.797005854343124","0.788720247095904","0.805291461590344"
"Daily","2013","Rural Area","Male","3373","0.810591325061714","0.798743981692156","0.822438668431271"
"Daily","2013","Rural Area","Female","4008","0.824212706090432","0.813615391299688","0.834810020881175"
"Min 1x per week","2013","Urban Area","Male","1253","0.166065658584147","0.157566663838729","0.174564653329564"
"Min 1x per week","2013","Urban Area","Female","1522","0.139655004034419","0.132514705001966","0.146795303066873"
"Min 1x per week","2013","Rural Area","Male","557","0.126255046666032","0.116212663668605","0.136297429663459"
"Min 1x per week","2013","Rural Area","Female","664","0.117683482684041","0.108712244173565","0.126654721194517"
"Min 1x per month","2013","Urban Area","Male","195","0.023742157837294","0.0202651627495512","0.0272191529250368"
"Min 1x per month","2013","Urban Area","Female","190","0.0179572592538798","0.0152217571568638","0.0206927613508959"
"Min 1x per month","2013","Rural Area","Male","99","0.0250898435362536","0.0203610392401103","0.0298186478323969"
"Min 1x per month","2013","Rural Area","Female","84","0.0178233450122376","0.0141397501987633","0.0215069398257118"
"Rarely","2013","Urban Area","Male","225","0.0266052512056797","0.0229299757280441","0.0302805266833153"
"Rarely","2013","Urban Area","Female","304","0.0297235289749513","0.0262252876481472","0.0332217703017554"
"Rarely","2013","Rural Area","Male","131","0.0244623655373398","0.0197915651570446","0.0291331659176351"
"Rarely","2013","Rural Area","Female","157","0.0312992017725059","0.0264514106184143","0.0361469929265974"
"Never","2013","Urban Area","Male","88","0.0111876569693842","0.00878557277394742","0.0135897411648209"
"Never","2013","Urban Area","Female","123","0.0156583533936255","0.0131009584268444","0.0182157483604066"
"Never","2013","Rural Area","Male","42","0.0136014191986609","0.010099239716966","0.0171035986803559"
"Never","2013","Rural Area","Female","43","0.00898126444078427","0.0063546754683073","0.0116078534132612"
"Daily","2014","Urban Area","Male","","","",""
"Daily","2014","Urban Area","Female","","","",""
