"pli0083","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","1-pers.-HH","416","0.839748827337668","0.807626682260889","0.871870972414447","1"
"Daily","1990","Not Employed","(Married) couple without C. ","877","0.928771499645679","0.912407241371359","0.945135757919998","1"
"Daily","1990","Not Employed","Single parent ","113","0.728086798342938","0.657812833729361","0.798360762956516","1"
"Daily","1990","Not Employed","Couple + C. LE 16 ","423","0.831962132848847","0.799701075269697","0.864223190427996","1"
"Daily","1990","Not Employed","Couple + C. GT 16 ","528","0.791535785513979","0.760498325139475","0.822573245888482","1"
"Daily","1990","Not Employed","Couple + C. LE and GT 16","224","0.748133221470043","0.698173040140789","0.798093402799297","1"
"Daily","1990","Employed","1-pers.-HH","323","0.596265743984213","0.554612175248217","0.637919312720209","1"
"Daily","1990","Employed","(Married) couple without C. ","1073","0.786566809387851","0.764766786285368","0.808366832490334","1"
"Daily","1990","Employed","Single parent ","227","0.741836348696099","0.692883214183464","0.790789483208735","1"
"Daily","1990","Employed","Couple + C. LE 16 ","1236","0.796033177625551","0.776056928224537","0.816009427026565","1"
"Daily","1990","Employed","Couple + C. GT 16 ","1064","0.778840933317812","0.757046313817419","0.800635552818205","1"
"Daily","1990","Employed","Couple + C. LE and GT 16","442","0.743667011760582","0.708644085140442","0.778689938380721","1"
"Min 1x per month","1990","Not Employed","(Married) couple without C. ","9","","","","3"
"Min 1x per month","1990","Not Employed","Couple + C. LE 16 ","5","","","","3"
"Min 1x per month","1990","Not Employed","Single parent ","3","","","","3"
"Min 1x per month","1990","Not Employed","1-pers.-HH","7","","","","3"
"Min 1x per month","1990","Not Employed","Couple + C. LE and GT 16","6","","","","3"
"Min 1x per month","1990","Not Employed","Couple + C. GT 16 ","13","","","","3"
"Min 1x per month","1990","Employed","Single parent ","8","","","","3"
"Min 1x per month","1990","Employed","1-pers.-HH","21","","","","3"
"Min 1x per month","1990","Employed","(Married) couple without C. ","22","","","","3"
"Min 1x per month","1990","Employed","Couple + C. LE 16 ","20","","","","3"
"Min 1x per month","1990","Employed","Couple + C. LE and GT 16","8","","","","3"
"Min 1x per month","1990","Employed","Couple + C. GT 16 ","23","","","","3"
"Min 1x per week","1990","Not Employed","Couple + C. LE 16 ","64","0.113639231211644","0.0862554985390029","0.141022963884286","2"
"Min 1x per week","1990","Not Employed","(Married) couple without C. ","47","0.0438324205861546","0.0308073609878134","0.0568574801844957","2"
"Min 1x per week","1990","Not Employed","1-pers.-HH","49","0.0880730308470296","0.0632570909363778","0.112888970757681","2"
"Min 1x per week","1990","Not Employed","Single parent ","29","","","","2"
"Min 1x per week","1990","Not Employed","Couple + C. GT 16 ","86","0.132338312651058","0.106447054718759","0.158229570583357","2"
"Min 1x per week","1990","Not Employed","Couple + C. LE and GT 16","50","0.195059192163454","0.149454001543997","0.240664382782911","2"
"Min 1x per week","1990","Employed","1-pers.-HH","132","0.252138125581308","0.21527310817329","0.289003142989326","2"
"Min 1x per week","1990","Employed","(Married) couple without C. ","208","0.167467259892679","0.147600649027362","0.187333870757995","2"
"Min 1x per week","1990","Employed","Couple + C. LE 16 ","241","0.148000595345815","0.13039624597523","0.165604944716399","2"
"Min 1x per week","1990","Employed","Single parent ","53","0.16968382239435","0.127696239670076","0.211671405118623","2"
"Min 1x per week","1990","Employed","Couple + C. GT 16 ","254","0.174430495794271","0.154502640474192","0.19435835111435","2"
"Min 1x per week","1990","Employed","Couple + C. LE and GT 16","108","0.168915756178275","0.138860631721064","0.198970880635486","2"
"Never","1990","Not Employed","1-pers.-HH","10","","","","5"
"Never","1990","Not Employed","(Married) couple without C. ","7","","","","5"
"Never","1990","Not Employed","Single parent ","1","","","","5"
"Never","1990","Employed","(Married) couple without C. ","20","","","","5"
"Never","1990","Not Employed","Couple + C. LE 16 ","6","","","","5"
"Never","1990","Not Employed","Couple + C. GT 16 ","6","","","","5"
"Never","1990","Not Employed","Couple + C. LE and GT 16","","","","","5"
"Never","1990","Employed","Single parent ","2","","","","5"
"Never","1990","Employed","Couple + C. LE 16 ","12","","","","5"
"Never","1990","Employed","1-pers.-HH","14","","","","5"
"Never","1990","Employed","Couple + C. GT 16 ","8","","","","5"
"Never","1990","Employed","Couple + C. LE and GT 16","4","","","","5"
"Rarely","1990","Not Employed","Single parent ","8","","","","4"
"Rarely","1990","Not Employed","(Married) couple without C. ","9","","","","4"
"Rarely","1990","Not Employed","Couple + C. GT 16 ","25","","","","4"
"Rarely","1990","Not Employed","1-pers.-HH","19","","","","4"
"Rarely","1990","Not Employed","Couple + C. LE 16 ","18","","","","4"
"Rarely","1990","Not Employed","Couple + C. LE and GT 16","10","","","","4"
"Rarely","1990","Employed","1-pers.-HH","43","0.0798760395557469","0.0568607778167592","0.102891301294735","4"
"Rarely","1990","Employed","(Married) couple without C. ","34","0.0199281180736361","0.0124924451873913","0.027363790959881","4"
"Rarely","1990","Employed","Single parent ","17","","","","4"
"Rarely","1990","Employed","Couple + C. LE 16 ","54","0.0374460678519672","0.0280340173626062","0.0468581183413282","4"
"Rarely","1990","Employed","Couple + C. GT 16 ","44","0.0256087296943221","0.0173134078025747","0.0339040515860694","4"
"Rarely","1990","Employed","Couple + C. LE and GT 16","35","0.0670778616477448","0.0470112877072983","0.0871444355881914","4"
"Daily","1991","Not Employed","1-pers.-HH","","","","","1"
"Daily","1991","Not Employed","(Married) couple without C. ","","","","","1"
"Daily","1991","Not Employed","Single parent ","","","","","1"
"Daily","1991","Not Employed","Couple + C. LE 16 ","","","","","1"
"Daily","1991","Not Employed","Couple + C. GT 16 ","","","","","1"
"Daily","1991","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Daily","1991","Employed","1-pers.-HH","","","","","1"
"Daily","1991","Employed","(Married) couple without C. ","","","","","1"
"Daily","1991","Employed","Single parent ","","","","","1"
"Daily","1991","Employed","Couple + C. LE 16 ","","","","","1"
"Daily","1991","Employed","Couple + C. GT 16 ","","","","","1"
"Daily","1991","Employed","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1991","Not Employed","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1991","Not Employed","(Married) couple without C. ","","","","","3"
"Min 1x per month","1991","Not Employed","Single parent ","","","","","3"
"Min 1x per month","1991","Not Employed","1-pers.-HH","","","","","3"
"Min 1x per month","1991","Not Employed","Couple + C. LE 16 ","","","","","3"
