"pli0083","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","no migration background","2226","0.740895548450608","0.725204007028683","0.756587089872533","1"
"Daily","1990","Full Time","direct migration background","1022","0.738703420930969","0.715109620821423","0.762297221040514","1"
"Daily","1990","Full Time","indirect migration background","70","0.761975938736813","0.676337774767329","0.847614102706297","1"
"Daily","1990","Part Time","no migration background","960","0.768032757998115","0.744539651368837","0.791525864627393","1"
"Daily","1990","Part Time","direct migration background","310","0.77884150604364","0.738270906997442","0.819412105089838","1"
"Daily","1990","Part Time","indirect migration background","60","0.826449018246963","0.74345922761343","0.909438808880495","1"
"Daily","1990","Not Working","no migration background","2022","0.846745203596249","0.832372024390121","0.861118382802378","1"
"Daily","1990","Not Working","direct migration background","682","0.887922775684213","0.866007959183222","0.909837592185204","1"
"Daily","1990","Not Working","indirect migration background","97","0.827968341580838","0.759872884237218","0.896063798924457","1"
"Min 1x per month","1990","Not Working","no migration background","37","0.0142075964183131","0.00948563461505342","0.0189295582215729","3"
"Min 1x per month","1990","Not Working","indirect migration background","2","","","","3"
"Min 1x per month","1990","Part Time","indirect migration background","","","","","3"
"Min 1x per month","1990","Full Time","no migration background","70","0.023672571534249","0.0182279193464833","0.0291172237220147","3"
"Min 1x per month","1990","Full Time","direct migration background","12","","","","3"
"Min 1x per month","1990","Full Time","indirect migration background","","","","","3"
"Min 1x per month","1990","Part Time","no migration background","23","","","","3"
"Min 1x per month","1990","Part Time","direct migration background","5","","","","3"
"Min 1x per month","1990","Not Working","direct migration background","7","","","","3"
"Min 1x per week","1990","Full Time","indirect migration background","20","","","","2"
"Min 1x per week","1990","Not Working","no migration background","253","0.0962919881191784","0.0845219309270717","0.108062045311285","2"
"Min 1x per week","1990","Full Time","no migration background","543","0.182809776273989","0.168967389894588","0.19665216265339","2"
"Min 1x per week","1990","Full Time","direct migration background","231","0.203323251012298","0.181709478685297","0.224937023339299","2"
"Min 1x per week","1990","Part Time","indirect migration background","15","","","","2"
"Min 1x per week","1990","Not Working","indirect migration background","13","","","","2"
"Min 1x per week","1990","Part Time","direct migration background","70","0.159634505134512","0.12383042209755","0.195438588171474","2"
