"pli0083","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Male","107","0.794634806407272","0.727235448482934","0.862034164331609"
"Daily","1990","Schleswig-Holstein","Female","114","0.763927529248456","0.695043202803343","0.832811855693569"
"Daily","1990","Hamburg","Male","64","0.776719933554304","0.686029227420216","0.867410639688391"
"Daily","1990","Hamburg","Female","72","0.807087414057331","0.724173191398551","0.89000163671611"
"Daily","1990","Lower Saxony","Male","382","0.790657749241872","0.75441274785486","0.826902750628884"
"Daily","1990","Lower Saxony","Female","387","0.802964297112456","0.767853134292055","0.838075459932856"
"Daily","1990","Bremen","Male","37","0.830367070246133","0.721909638630271","0.938824501861994"
"Daily","1990","Bremen","Female","46","0.863455743025414","0.772710575497","0.954200910553827"
"Daily","1990","North Rhine-Westphalia","Male","1015","0.805167043916135","0.783358132483142","0.826975955349129"
"Daily","1990","North Rhine-Westphalia","Female","1050","0.801624887252323","0.779922510817145","0.823327263687501"
"Daily","1990","Hesse","Male","367","0.76165265064305","0.723850037475197","0.799455263810902"
"Daily","1990","Hesse","Female","384","0.826508014403878","0.793081747648215","0.859934281159542"
"Daily","1990","Rhineland-Palatinate,Saarland","Male","254","0.80529057273161","0.761837294471923","0.848743850991296"
"Daily","1990","Rhineland-Palatinate,Saarland","Female","285","0.800323839522479","0.758383555916779","0.84226412312818"
"Daily","1990","Baden-Württemberg","Male","710","0.76492302793875","0.737295774403853","0.792550281473647"
"Daily","1990","Baden-Württemberg","Female","712","0.792769902854977","0.766155959310024","0.819383846399929"
"Daily","1990","Bavaria","Male","590","0.760509530321023","0.730692995273081","0.790326065368965"
"Daily","1990","Bavaria","Female","604","0.748925906716125","0.719155164302602","0.778696649129647"
"Daily","1990","Berlin","Male","126","0.82000159041756","0.759519899675402","0.880483281159718"
"Daily","1990","Berlin","Female","143","0.842410404434461","0.788427692532042","0.896393116336881"
"Daily","1990","Brandenburg","Male","","","",""
"Daily","1990","Brandenburg","Female","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Daily","1990","Saxony","Male","","","",""
"Daily","1990","Saxony","Female","","","",""
"Daily","1990","Saxony-Anhalt","Male","","","",""
"Daily","1990","Saxony-Anhalt","Female","","","",""
"Daily","1990","Thuringia","Male","","","",""
"Daily","1990","Thuringia","Female","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Male","23","","",""
"Min 1x per week","1990","Schleswig-Holstein","Female","23","","",""
"Min 1x per week","1990","Hamburg","Male","12","","",""
"Min 1x per week","1990","Hamburg","Female","12","","",""
"Min 1x per week","1990","Lower Saxony","Male","72","0.135144951024342","0.104687259390725","0.16560264265796"
"Min 1x per week","1990","Lower Saxony","Female","76","0.134576609904974","0.104451840047478","0.16470137976247"
"Min 1x per week","1990","Bremen","Male","4","","",""
"Min 1x per week","1990","Bremen","Female","3","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Male","182","0.140563470061191","0.121425189224438","0.159701750897944"
"Min 1x per week","1990","North Rhine-Westphalia","Female","177","0.141624378069266","0.122649202699318","0.160599553439214"
"Min 1x per week","1990","Hesse","Male","85","0.162325678208821","0.129608985538016","0.195042370879626"
"Min 1x per week","1990","Hesse","Female","75","0.113806139012606","0.0857729926290665","0.141839285396146"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Male","53","0.157266032644459","0.117316153992626","0.197215911296293"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Female","48","0.138004135550517","0.101818682107388","0.174189588993647"
"Min 1x per week","1990","Baden-Württemberg","Male","145","0.168386599543952","0.14400634114777","0.192766857940134"
"Min 1x per week","1990","Baden-Württemberg","Female","115","0.12552836215808","0.103773665380449","0.147283058935712"
"Min 1x per week","1990","Bavaria","Male","140","0.164362261653063","0.138469951439006","0.190254571867121"
"Min 1x per week","1990","Bavaria","Female","143","0.169476334553945","0.143719064944067","0.195233604163822"
"Min 1x per week","1990","Berlin","Male","21","","",""
"Min 1x per week","1990","Berlin","Female","22","","",""
"Min 1x per week","1990","Brandenburg","Male","","","",""
"Min 1x per week","1990","Brandenburg","Female","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1990","Saxony","Male","","","",""
"Min 1x per week","1990","Saxony","Female","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1990","Thuringia","Male","","","",""
"Min 1x per week","1990","Thuringia","Female","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Male","2","","",""
"Min 1x per month","1990","Schleswig-Holstein","Female","4","","",""
"Min 1x per month","1990","Hamburg","Male","2","","",""
"Min 1x per month","1990","Hamburg","Female","1","","",""
"Min 1x per month","1990","Lower Saxony","Male","10","","",""
"Min 1x per month","1990","Lower Saxony","Female","7","","",""
"Min 1x per month","1990","Bremen","Male","","","",""
"Min 1x per month","1990","Bremen","Female","","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Male","17","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Female","14","","",""
"Min 1x per month","1990","Hesse","Male","11","","",""
"Min 1x per month","1990","Hesse","Female","6","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Male","3","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Female","3","","",""
"Min 1x per month","1990","Baden-Württemberg","Male","9","","",""
"Min 1x per month","1990","Baden-Württemberg","Female","17","","",""
"Min 1x per month","1990","Bavaria","Male","23","","",""
"Min 1x per month","1990","Bavaria","Female","21","","",""
"Min 1x per month","1990","Berlin","Male","3","","",""
"Min 1x per month","1990","Berlin","Female","3","","",""
"Min 1x per month","1990","Brandenburg","Male","","","",""
"Min 1x per month","1990","Brandenburg","Female","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Female","","","",""
