"pli0083","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","West Germany","7449","0.789746075158905","0.781539424124305","0.797952726193505","1"
"Daily","1990","East Germany","","","","","1"
"Min 1x per month","1990","West Germany","156","0.0185912319535456","0.0158708541398405","0.0213116097672507","3"
"Min 1x per month","1990","East Germany","","","","","3"
"Min 1x per week","1990","West Germany","1431","0.144866719669757","0.137778267876549","0.151955171462965","2"
"Min 1x per week","1990","East Germany","","","","","2"
"Never","1990","West Germany","99","0.0103198541123056","0.00828452623704191","0.0123551819875693","5"
"Never","1990","East Germany","","","","","5"
"Rarely","1990","West Germany","336","0.0364761191054868","0.0327005212839949","0.0402517169269787","4"
"Rarely","1990","East Germany","","","","","4"
"Daily","1991","West Germany","","","","","1"
"Daily","1991","East Germany","","","","","1"
"Min 1x per month","1991","West Germany","","","","","3"
"Min 1x per month","1991","East Germany","","","","","3"
"Min 1x per week","1991","West Germany","","","","","2"
"Min 1x per week","1991","East Germany","","","","","2"
"Never","1991","West Germany","","","","","5"
"Never","1991","East Germany","","","","","5"
"Rarely","1991","West Germany","","","","","4"
"Rarely","1991","East Germany","","","","","4"
"Daily","1992","West Germany","","","","","1"
"Daily","1992","East Germany","","","","","1"
"Min 1x per month","1992","West Germany","","","","","3"
"Min 1x per month","1992","East Germany","","","","","3"
"Min 1x per week","1992","West Germany","","","","","2"
"Min 1x per week","1992","East Germany","","","","","2"
"Never","1992","West Germany","","","","","5"
"Never","1992","East Germany","","","","","5"
"Rarely","1992","West Germany","","","","","4"
"Rarely","1992","East Germany","","","","","4"
"Daily","1993","West Germany","","","","","1"
"Daily","1993","East Germany","","","","","1"
"Min 1x per month","1993","West Germany","","","","","3"
"Min 1x per month","1993","East Germany","","","","","3"
"Min 1x per week","1993","West Germany","","","","","2"
"Min 1x per week","1993","East Germany","","","","","2"
"Never","1993","West Germany","","","","","5"
"Never","1993","East Germany","","","","","5"
"Rarely","1993","West Germany","","","","","4"
"Rarely","1993","East Germany","","","","","4"
"Daily","1994","East Germany","","","","","1"
"Daily","1994","West Germany","","","","","1"
"Min 1x per month","1994","East Germany","","","","","3"
"Min 1x per month","1994","West Germany","","","","","3"
"Min 1x per week","1994","West Germany","","","","","2"
"Min 1x per week","1994","East Germany","","","","","2"
"Never","1994","West Germany","","","","","5"
"Never","1994","East Germany","","","","","5"
"Rarely","1994","East Germany","","","","","4"
"Rarely","1994","West Germany","","","","","4"
"Daily","1995","East Germany","3232","0.886480540317366","0.876245143868594","0.896715936766138","1"
"Daily","1995","West Germany","7988","0.825250049072694","0.817655126933441","0.832844971211948","1"
"Min 1x per month","1995","East Germany","22","","","","3"
"Min 1x per month","1995","West Germany","127","0.0145441756318704","0.0121498393262895","0.0169385119374513","3"
"Min 1x per week","1995","East Germany","319","0.0774764830424871","0.0688505003974804","0.0861024656874938","2"
"Min 1x per week","1995","West Germany","1155","0.120184254596096","0.113680836615238","0.126687672576954","2"
"Never","1995","West Germany","95","0.0118206530768477","0.00965912621260164","0.0139821799410938","5"
"Never","1995","East Germany","26","","","","5"
"Rarely","1995","East Germany","91","0.020583072652875","0.0160019300132944","0.0251642152924557","4"
"Rarely","1995","West Germany","239","0.0282008676224914","0.0248900023863814","0.0315117328586014","4"
"Daily","1996","East Germany","","","","","1"
"Daily","1996","West Germany","","","","","1"
"Min 1x per month","1996","East Germany","","","","","3"
"Min 1x per month","1996","West Germany","","","","","3"
"Min 1x per week","1996","East Germany","","","","","2"
"Min 1x per week","1996","West Germany","","","","","2"
"Never","1996","West Germany","","","","","5"
"Never","1996","East Germany","","","","","5"
"Rarely","1996","East Germany","","","","","4"
"Rarely","1996","West Germany","","","","","4"
"Daily","1997","East Germany","","","","","1"
"Daily","1997","West Germany","","","","","1"
"Min 1x per month","1997","West Germany","","","","","3"
"Min 1x per month","1997","East Germany","","","","","3"
"Min 1x per week","1997","East Germany","","","","","2"
"Min 1x per week","1997","West Germany","","","","","2"
"Never","1997","East Germany","","","","","5"
"Never","1997","West Germany","","","","","5"
"Rarely","1997","East Germany","","","","","4"
"Rarely","1997","West Germany","","","","","4"
"Daily","1998","East Germany","3414","0.891597176303174","0.881794736774542","0.901399615831806","1"
"Daily","1998","West Germany","8756","0.834913284826461","0.827771180938459","0.842055388714462","1"
"Min 1x per month","1998","West Germany","111","0.0122559771577958","0.0101393440212852","0.0143726102943063","3"
"Min 1x per month","1998","East Germany","27","","","","3"
"Min 1x per week","1998","East Germany","313","0.0728069871657354","0.0646147760218865","0.0809991983095843","2"
"Min 1x per week","1998","West Germany","1145","0.114033695118959","0.107919002708276","0.120148387529642","2"
"Never","1998","East Germany","21","","","","5"
"Never","1998","West Germany","114","0.0121438710226635","0.0100368210461928","0.0142509209991343","5"
"Rarely","1998","East Germany","89","0.0208388494273747","0.0163349001859897","0.0253427986687598","4"
"Rarely","1998","West Germany","254","0.0266531718741211","0.0235546278343236","0.0297517159139186","4"
"Daily","1999","East Germany","","","","","1"
"Daily","1999","West Germany","","","","","1"
"Min 1x per month","1999","West Germany","","","","","3"
"Min 1x per month","1999","East Germany","","","","","3"
"Min 1x per week","1999","East Germany","","","","","2"
"Min 1x per week","1999","West Germany","","","","","2"
"Never","1999","East Germany","","","","","5"
"Never","1999","West Germany","","","","","5"
"Rarely","1999","East Germany","","","","","4"
"Rarely","1999","West Germany","","","","","4"
