"pli0083","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Male","1360","0.717247503262427","0.696748583622045","0.737746422902809"
"Daily","1990","16-34 y.","Female","1310","0.711270306839261","0.690241543664412","0.73229907001411"
"Daily","1990","35-65 y.","Male","1913","0.798472687241586","0.782427344422783","0.814518030060389"
"Daily","1990","35-65 y.","Female","1921","0.806636560466372","0.790753199107906","0.822519921824838"
"Daily","1990","66 and older","Male","379","0.911029844425966","0.883638552291954","0.938421136559978"
"Daily","1990","66 and older","Female","566","0.880951878665014","0.855901289576742","0.906002467753287"
"Min 1x per week","1990","16-34 y.","Male","374","0.212596714851857","0.193972837112048","0.231220592591666"
"Min 1x per week","1990","16-34 y.","Female","344","0.211093961506871","0.19215739614467","0.230030526869071"
"Min 1x per week","1990","35-65 y.","Male","342","0.136834708172875","0.123088050093567","0.150581366252184"
"Min 1x per week","1990","35-65 y.","Female","309","0.128558853874925","0.115097575329239","0.14202013242061"
"Min 1x per week","1990","66 and older","Male","21","","",""
"Min 1x per week","1990","66 and older","Female","41","0.0620415634952657","0.0433814732010909","0.0807016537894406"
"Min 1x per month","1990","16-34 y.","Male","43","0.0240601009572909","0.0170849520171101","0.0310352498974717"
"Min 1x per month","1990","16-34 y.","Female","31","0.0250498258964913","0.0177980523720882","0.0323015994208944"
"Min 1x per month","1990","35-65 y.","Male","31","0.0144185149065494","0.0096502700987009","0.0191867597143978"
"Min 1x per month","1990","35-65 y.","Female","38","0.0198077162168784","0.0142038323520544","0.0254116000817025"
"Min 1x per month","1990","66 and older","Male","6","","",""
"Min 1x per month","1990","66 and older","Female","7","","",""
"Rarely","1990","16-34 y.","Male","61","0.0390044354396213","0.030191696284174","0.0478171745950687"
"Rarely","1990","16-34 y.","Female","85","0.045580393489744","0.0359018640093976","0.0552589229700905"
"Rarely","1990","35-65 y.","Male","85","0.0405409878733955","0.0326521616803067","0.0484298140664844"
"Rarely","1990","35-65 y.","Female","82","0.0351950483500306","0.027784048081855","0.0426060486182062"
"Rarely","1990","66 and older","Male","6","","",""
"Rarely","1990","66 and older","Female","17","","",""
"Never","1990","16-34 y.","Male","16","","",""
"Never","1990","16-34 y.","Female","14","","",""
"Never","1990","35-65 y.","Male","30","0.00973310180559365","0.00580616624237946","0.0136600373688078"
"Never","1990","35-65 y.","Female","25","","",""
"Never","1990","66 and older","Male","3","","",""
