"pli0083","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","no migration background","615","0.728313920178497","0.698601398315259","0.758026442041735"
"Daily","1990","1-pers.-HH","direct migration background","116","0.745377381492904","0.678084093612459","0.812670669373349"
"Daily","1990","1-pers.-HH","indirect migration background","8","","",""
"Daily","1990","(Married) couple without C. ","no migration background","1578","0.858889005883068","0.843076263330505","0.874701748435632"
"Daily","1990","(Married) couple without C. ","direct migration background","348","0.808030105869377","0.770273731476681","0.845786480262073"
"Daily","1990","(Married) couple without C. ","indirect migration background","24","","",""
"Daily","1990","Single parent ","no migration background","265","0.727758662192721","0.682219421432355","0.773297902953087"
"Daily","1990","Single parent ","direct migration background","65","0.866132546914809","0.79151640716557","0.940748686664048"
"Daily","1990","Single parent ","indirect migration background","10","","",""
"Daily","1990","Couple + C. LE 16 ","no migration background","1087","0.801391727213099","0.780296907434932","0.822486546991267"
"Daily","1990","Couple + C. LE 16 ","direct migration background","549","0.818391967148231","0.789351609357498","0.847432324938965"
"Daily","1990","Couple + C. LE 16 ","indirect migration background","23","","",""
"Daily","1990","Couple + C. GT 16 ","no migration background","1106","0.7813361323342","0.759882748885413","0.802789515782987"
"Daily","1990","Couple + C. GT 16 ","direct migration background","395","0.809456840089638","0.774998738390739","0.843914941788536"
"Daily","1990","Couple + C. GT 16 ","indirect migration background","91","0.716088231268","0.637358678526207","0.794817784009793"
"Daily","1990","Couple + C. LE and GT 16","no migration background","281","0.724181335908912","0.680218234058081","0.768144437759744"
"Daily","1990","Couple + C. LE and GT 16","direct migration background","327","0.792240598117012","0.753440543587643","0.831040652646381"
"Daily","1990","Couple + C. LE and GT 16","indirect migration background","58","0.839838757372304","0.753922422460425","0.925755092284182"
"Min 1x per week","1990","1-pers.-HH","no migration background","148","0.160601462573189","0.136076668616109","0.185126256530268"
"Min 1x per week","1990","1-pers.-HH","direct migration background","31","0.180760378900051","0.121318538333313","0.240202219466788"
"Min 1x per week","1990","1-pers.-HH","indirect migration background","2","","",""
"Min 1x per week","1990","(Married) couple without C. ","no migration background","203","0.104589855399835","0.0906898797580503","0.11848983104162"
"Min 1x per week","1990","(Married) couple without C. ","direct migration background","51","0.148037388514838","0.113992185693252","0.182082591336424"
"Min 1x per week","1990","(Married) couple without C. ","indirect migration background","1","","",""
"Min 1x per week","1990","Single parent ","no migration background","71","0.184331958769951","0.144661054394153","0.22400286314575"
"Min 1x per week","1990","Single parent ","direct migration background","10","","",""
"Min 1x per week","1990","Single parent ","indirect migration background","1","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","no migration background","199","0.139637243266819","0.121310041586093","0.157964444947546"
"Min 1x per week","1990","Couple + C. LE 16 ","direct migration background","102","0.143024801613849","0.116652771662052","0.169396831565646"
"Min 1x per week","1990","Couple + C. LE 16 ","indirect migration background","4","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","no migration background","234","0.161424387583822","0.142328316791663","0.180520458375981"
"Min 1x per week","1990","Couple + C. GT 16 ","direct migration background","80","0.147213093618398","0.116125199817614","0.178300987419183"
"Min 1x per week","1990","Couple + C. GT 16 ","indirect migration background","26","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","no migration background","83","0.193953286683354","0.15505938472727","0.232847188639438"
"Min 1x per week","1990","Couple + C. LE and GT 16","direct migration background","65","0.134764819383472","0.102107630553414","0.167422008213531"
"Min 1x per week","1990","Couple + C. LE and GT 16","indirect migration background","10","","",""
"Min 1x per month","1990","1-pers.-HH","no migration background","25","","",""
"Min 1x per month","1990","1-pers.-HH","direct migration background","2","","",""
"Min 1x per month","1990","1-pers.-HH","indirect migration background","1","","",""
"Min 1x per month","1990","(Married) couple without C. ","no migration background","29","","",""
"Min 1x per month","1990","(Married) couple without C. ","direct migration background","2","","",""
"Min 1x per month","1990","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","1990","Single parent ","no migration background","11","","",""
"Min 1x per month","1990","Single parent ","direct migration background","","","",""
"Min 1x per month","1990","Single parent ","indirect migration background","","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","no migration background","21","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","direct migration background","4","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","1990","Couple + C. GT 16 ","no migration background","32","0.02144297735453","0.0139246030960281","0.0289613516130319"
"Min 1x per month","1990","Couple + C. GT 16 ","direct migration background","3","","",""
"Min 1x per month","1990","Couple + C. GT 16 ","indirect migration background","1","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","no migration background","6","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","direct migration background","8","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","1990","1-pers.-HH","no migration background","54","0.0585950520275515","0.0429071370953768","0.0742829669597261"
"Rarely","1990","1-pers.-HH","direct migration background","7","","",""
"Rarely","1990","1-pers.-HH","indirect migration background","1","","",""
"Rarely","1990","(Married) couple without C. ","no migration background","37","0.0167929254961904","0.0109565405221536","0.0226293104702273"
"Rarely","1990","(Married) couple without C. ","direct migration background","6","","",""
"Rarely","1990","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","1990","Single parent ","no migration background","18","","",""
"Rarely","1990","Single parent ","direct migration background","5","","",""
"Rarely","1990","Single parent ","indirect migration background","2","","",""
"Rarely","1990","Couple + C. LE 16 ","no migration background","55","0.0379874320625839","0.0278794359610652","0.0480954281641026"
"Rarely","1990","Couple + C. LE 16 ","direct migration background","16","","",""
"Rarely","1990","Couple + C. LE 16 ","indirect migration background","1","","",""
"Rarely","1990","Couple + C. GT 16 ","no migration background","46","0.0293690708700267","0.0206059158407639","0.0381322258992896"
"Rarely","1990","Couple + C. GT 16 ","direct migration background","15","","",""
"Rarely","1990","Couple + C. GT 16 ","indirect migration background","8","","",""
"Rarely","1990","Couple + C. LE and GT 16","no migration background","26","","",""
"Rarely","1990","Couple + C. LE and GT 16","direct migration background","17","","",""
"Rarely","1990","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Never","1990","1-pers.-HH","no migration background","19","","",""
"Never","1990","1-pers.-HH","direct migration background","5","","",""
"Never","1990","1-pers.-HH","indirect migration background","","","",""
"Never","1990","(Married) couple without C. ","no migration background","15","","",""
"Never","1990","(Married) couple without C. ","direct migration background","11","","",""
"Never","1990","(Married) couple without C. ","indirect migration background","1","","",""
"Never","1990","Single parent ","no migration background","2","","",""
"Never","1990","Single parent ","direct migration background","","","",""
"Never","1990","Single parent ","indirect migration background","1","","",""
"Never","1990","Couple + C. LE 16 ","no migration background","12","","",""
"Never","1990","Couple + C. LE 16 ","direct migration background","6","","",""
"Never","1990","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","1990","Couple + C. GT 16 ","no migration background","8","","",""
"Never","1990","Couple + C. GT 16 ","direct migration background","6","","",""
"Never","1990","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","1990","Couple + C. LE and GT 16","no migration background","1","","",""
"Never","1990","Couple + C. LE and GT 16","direct migration background","3","","",""
"Never","1990","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","1991","1-pers.-HH","no migration background","","","",""
"Daily","1991","1-pers.-HH","direct migration background","","","",""
"Daily","1991","1-pers.-HH","indirect migration background","","","",""
"Daily","1991","(Married) couple without C. ","no migration background","","","",""
"Daily","1991","(Married) couple without C. ","direct migration background","","","",""
"Daily","1991","(Married) couple without C. ","indirect migration background","","","",""
"Daily","1991","Single parent ","no migration background","","","",""
"Daily","1991","Single parent ","direct migration background","","","",""
"Daily","1991","Single parent ","indirect migration background","","","",""
