"pli0083","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","1-pers.-HH","138","0.520421906407318","0.460044052826289","0.580799759988347"
"Daily","1990","16-34 y.","(Married) couple without C. ","477","0.738563179498301","0.704304804834999","0.772821554161602"
"Daily","1990","16-34 y.","Single parent ","159","0.712874144342724","0.653360823212131","0.772387465473317"
"Daily","1990","16-34 y.","Couple + C. LE 16 ","850","0.826726858033859","0.803724197511694","0.849729518556024"
"Daily","1990","16-34 y.","Couple + C. GT 16 ","584","0.684183783939266","0.652804870229878","0.715562697648655"
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","255","0.72365929260833","0.677141037222387","0.770177547994273"
"Daily","1990","35-65 y.","1-pers.-HH","281","0.711736552954187","0.667067785789165","0.756405320119208"
"Daily","1990","35-65 y.","(Married) couple without C. ","1005","0.85363971660677","0.833429168807736","0.873850264405803"
"Daily","1990","35-65 y.","Single parent ","156","0.732470456693539","0.672882143605598","0.79205876978148"
"Daily","1990","35-65 y.","Couple + C. LE 16 ","809","0.78469380378443","0.759700786295831","0.80968682127303"
"Daily","1990","35-65 y.","Couple + C. GT 16 ","949","0.841314857107204","0.820114035992515","0.862515678221893"
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","411","0.757884199829923","0.721483874318648","0.794284525341199"
"Daily","1990","66 and older","1-pers.-HH","320","0.849679328367554","0.813555726376278","0.88580293035883"
"Daily","1990","66 and older","(Married) couple without C. ","468","0.944584292548001","0.924510260235187","0.964658324860815"
"Daily","1990","66 and older","Single parent ","25","","",""
"Daily","1990","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1990","66 and older","Couple + C. GT 16 ","59","0.890035494456757","0.815125353230608","0.964945635682907"
"Daily","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","16-34 y.","1-pers.-HH","85","0.331369258641604","0.274481411995503","0.388257105287705"
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","120","0.219418044835704","0.18715279917939","0.251683290492018"
"Min 1x per week","1990","16-34 y.","Single parent ","41","0.189529803470837","0.137973842707028","0.241085764234645"
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","134","0.121595151939579","0.101732514594181","0.141457789284977"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","197","0.239923586373814","0.211096589303262","0.268750583444366"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","77","0.211061190088535","0.168612942464733","0.253509437712338"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","67","0.166369757325288","0.129643771215979","0.203095743434597"
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","116","0.103875671287485","0.0864307018292568","0.121320640745714"
"Min 1x per week","1990","35-65 y.","Single parent ","39","0.173857093207975","0.122841380668601","0.22487280574735"
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","171","0.156137183745062","0.134065807535649","0.178208559954475"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","139","0.115411375263653","0.0968717798635357","0.13395097066377"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","81","0.157338641782315","0.126397487396623","0.188279796168007"
"Min 1x per week","1990","66 and older","1-pers.-HH","29","","",""
"Min 1x per week","1990","66 and older","(Married) couple without C. ","19","","",""
"Min 1x per week","1990","66 and older","Single parent ","2","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. GT 16 ","4","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","16-34 y.","1-pers.-HH","13","","",""
"Min 1x per month","1990","16-34 y.","(Married) couple without C. ","13","","",""
"Min 1x per month","1990","16-34 y.","Single parent ","6","","",""
"Min 1x per month","1990","16-34 y.","Couple + C. LE 16 ","10","","",""
"Min 1x per month","1990","16-34 y.","Couple + C. GT 16 ","21","","",""
"Min 1x per month","1990","16-34 y.","Couple + C. LE and GT 16","5","","",""
"Min 1x per month","1990","35-65 y.","1-pers.-HH","10","","",""
"Min 1x per month","1990","35-65 y.","(Married) couple without C. ","13","","",""
"Min 1x per month","1990","35-65 y.","Single parent ","5","","",""
"Min 1x per month","1990","35-65 y.","Couple + C. LE 16 ","15","","",""
"Min 1x per month","1990","35-65 y.","Couple + C. GT 16 ","14","","",""
"Min 1x per month","1990","35-65 y.","Couple + C. LE and GT 16","9","","",""
"Min 1x per month","1990","66 and older","1-pers.-HH","5","","",""
"Min 1x per month","1990","66 and older","(Married) couple without C. ","5","","",""
"Min 1x per month","1990","66 and older","Single parent ","","","",""
"Min 1x per month","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","66 and older","Couple + C. GT 16 ","1","","",""
"Min 1x per month","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","1990","16-34 y.","1-pers.-HH","22","","",""
"Rarely","1990","16-34 y.","(Married) couple without C. ","14","","",""
"Rarely","1990","16-34 y.","Single parent ","15","","",""
"Rarely","1990","16-34 y.","Couple + C. LE 16 ","36","0.0339028757667535","0.0229037014427622","0.0449020500907448"
