"pli0083","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","739","0.730313716004023","0.703263422616336","0.757364009391709","1"
"Daily","1990","(Married) couple without C. ","1950","0.854139983210809","0.839733728296558","0.868546238125061","1"
"Daily","1990","Single parent ","340","0.737084242630912","0.696899193876831","0.777269291384992","1"
"Daily","1990","Couple + C. LE 16 ","1659","0.80481493555869","0.787777973696951","0.82185189742043","1"
"Daily","1990","Couple + C. GT 16 ","1592","0.782869422342534","0.76502631780126","0.800712526883808","1"
"Daily","1990","Couple + C. LE and GT 16","666","0.745113738695855","0.7164342912168","0.773793186174909","1"
"Min 1x per month","1990","(Married) couple without C. ","31","0.0129870780137198","0.00836608211074883","0.0176080739166909","3"
"Min 1x per month","1990","1-pers.-HH","28","","","","3"
"Min 1x per month","1990","Single parent ","11","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","25","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","36","0.0194933736290664","0.0135101665942873","0.0254765806638455","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","14","","","","3"
"Min 1x per week","1990","(Married) couple without C. ","255","0.108718153432926","0.0960130851436574","0.121423221722195","2"
"Min 1x per week","1990","1-pers.-HH","181","0.161813192425923","0.139365836371794","0.184260548480051","2"
"Min 1x per week","1990","Single parent ","82","0.174517105734782","0.139869704268473","0.209164507201091","2"
"Min 1x per week","1990","Couple + C. LE 16 ","305","0.13960198814437","0.124704386847279","0.154499589441461","2"
"Min 1x per week","1990","Couple + C. GT 16 ","340","0.161073278616884","0.145164419933421","0.176982137300347","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","158","0.177384326953227","0.152245651380749","0.202523002525704","2"
"Never","1990","1-pers.-HH","24","","","","5"
"Never","1990","(Married) couple without C. ","27","","","","5"
"Never","1990","Single parent ","3","","","","5"
"Never","1990","Couple + C. LE 16 ","18","","","","5"
"Never","1990","Couple + C. GT 16 ","14","","","","5"
"Never","1990","Couple + C. LE and GT 16","4","","","","5"
"Rarely","1990","(Married) couple without C. ","43","0.0156147926584072","0.0105545762581741","0.0206750090586403","4"
"Rarely","1990","Single parent ","25","","","","4"
"Rarely","1990","1-pers.-HH","62","0.0572199231916326","0.0430630723916695","0.0713767739915957","4"
"Rarely","1990","Couple + C. GT 16 ","69","0.0298313402077408","0.0224688409520559","0.0371938394634257","4"
"Rarely","1990","Couple + C. LE 16 ","72","0.0363754450262444","0.0283276124475517","0.044423277604937","4"
"Rarely","1990","Couple + C. LE and GT 16","45","0.057116847423669","0.0418447975642382","0.0723888972830997","4"
"Daily","1991","1-pers.-HH","","","","","1"
"Daily","1991","(Married) couple without C. ","","","","","1"
"Daily","1991","Single parent ","","","","","1"
"Daily","1991","Couple + C. LE 16 ","","","","","1"
"Daily","1991","Couple + C. GT 16 ","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1991","(Married) couple without C. ","","","","","3"
"Min 1x per month","1991","1-pers.-HH","","","","","3"
"Min 1x per month","1991","Single parent ","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","","","","","3"
"Min 1x per week","1991","1-pers.-HH","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","","","","","2"
"Min 1x per week","1991","Single parent ","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","","","","","2"
"Never","1991","1-pers.-HH","","","","","5"
"Never","1991","(Married) couple without C. ","","","","","5"
"Never","1991","Single parent ","","","","","5"
"Never","1991","Couple + C. LE 16 ","","","","","5"
"Never","1991","Couple + C. GT 16 ","","","","","5"
"Never","1991","Couple + C. LE and GT 16","","","","","5"
"Rarely","1991","(Married) couple without C. ","","","","","4"
"Rarely","1991","1-pers.-HH","","","","","4"
"Rarely","1991","Single parent ","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","","","","","4"
"Daily","1992","1-pers.-HH","","","","","1"
"Daily","1992","(Married) couple without C. ","","","","","1"
"Daily","1992","Single parent ","","","","","1"
