"pli0083","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","Male","902","0.861560239116421","0.840779373047043","0.8823411051858","1"
"Daily","1990","Not Employed","Female","1899","0.845993824001067","0.831132044852741","0.860855603149394","1"
"Daily","1990","Employed","Male","2750","0.757243861194874","0.74325579621179","0.771231926177957","1"
"Daily","1990","Employed","Female","1898","0.737938810754451","0.720820116358352","0.75505750515055","1"
"Min 1x per month","1990","Not Employed","Female","30","0.0113714703896067","0.00700587964329096","0.0157370611359224","3"
"Min 1x per month","1990","Not Employed","Male","16","","","","3"
"Min 1x per month","1990","Employed","Female","46","0.0271015242529244","0.0207804669220132","0.0334225815838356","3"
"Min 1x per month","1990","Employed","Male","64","0.0185080607542065","0.0141108378970292","0.0229052836113837","3"
"Min 1x per week","1990","Not Employed","Male","105","0.0805807999429859","0.064202720601236","0.0969588792847358","2"
"Min 1x per week","1990","Employed","Female","448","0.18137753207899","0.16637748288293","0.196377581275049","2"
"Min 1x per week","1990","Employed","Male","632","0.177002464577466","0.164550336641437","0.189454592513495","2"
"Min 1x per week","1990","Not Employed","Female","246","0.0996453111875874","0.0873127469169075","0.111977875458267","2"
"Never","1990","Not Employed","Male","11","","","","5"
"Never","1990","Not Employed","Female","23","","","","5"
"Never","1990","Employed","Male","38","0.00763094016583858","0.00479184283243823","0.0104700374992389","5"
"Never","1990","Employed","Female","27","","","","5"
"Rarely","1990","Employed","Male","125","0.0396146733076153","0.0332510355881002","0.0459783110271304","4"
"Rarely","1990","Not Employed","Male","27","","","","4"
"Rarely","1990","Not Employed","Female","68","0.0294695379250566","0.0225063296257764","0.0364327462243368","4"
"Rarely","1990","Employed","Female","116","0.0432025141958975","0.0352880114757595","0.0511170169160354","4"
"Daily","1991","Not Employed","Male","","","","","1"
"Daily","1991","Not Employed","Female","","","","","1"
"Daily","1991","Employed","Male","","","","","1"
"Daily","1991","Employed","Female","","","","","1"
"Min 1x per month","1991","Employed","Male","","","","","3"
"Min 1x per month","1991","Not Employed","Female","","","","","3"
"Min 1x per month","1991","Not Employed","Male","","","","","3"
"Min 1x per month","1991","Employed","Female","","","","","3"
"Min 1x per week","1991","Not Employed","Female","","","","","2"
"Min 1x per week","1991","Employed","Female","","","","","2"
"Min 1x per week","1991","Not Employed","Male","","","","","2"
"Min 1x per week","1991","Employed","Male","","","","","2"
"Never","1991","Not Employed","Male","","","","","5"
"Never","1991","Not Employed","Female","","","","","5"
"Never","1991","Employed","Male","","","","","5"
"Never","1991","Employed","Female","","","","","5"
"Rarely","1991","Employed","Female","","","","","4"
"Rarely","1991","Employed","Male","","","","","4"
"Rarely","1991","Not Employed","Female","","","","","4"
"Rarely","1991","Not Employed","Male","","","","","4"
"Daily","1992","Not Employed","Male","","","","","1"
"Daily","1992","Not Employed","Female","","","","","1"
"Daily","1992","Employed","Female","","","","","1"
"Daily","1992","Employed","Male","","","","","1"
"Min 1x per month","1992","Not Employed","Male","","","","","3"
"Min 1x per month","1992","Employed","Female","","","","","3"
"Min 1x per month","1992","Not Employed","Female","","","","","3"
"Min 1x per month","1992","Employed","Male","","","","","3"
"Min 1x per week","1992","Employed","Female","","","","","2"
"Min 1x per week","1992","Not Employed","Female","","","","","2"
"Min 1x per week","1992","Employed","Male","","","","","2"
"Min 1x per week","1992","Not Employed","Male","","","","","2"
"Never","1992","Not Employed","Male","","","","","5"
"Never","1992","Not Employed","Female","","","","","5"
"Never","1992","Employed","Male","","","","","5"
"Never","1992","Employed","Female","","","","","5"
"Rarely","1992","Employed","Female","","","","","4"
"Rarely","1992","Not Employed","Female","","","","","4"
"Rarely","1992","Not Employed","Male","","","","","4"
"Rarely","1992","Employed","Male","","","","","4"
"Daily","1993","Not Employed","Male","","","","","1"
"Daily","1993","Not Employed","Female","","","","","1"
"Daily","1993","Employed","Female","","","","","1"
"Daily","1993","Employed","Male","","","","","1"
"Min 1x per month","1993","Not Employed","Male","","","","","3"
"Min 1x per month","1993","Not Employed","Female","","","","","3"
"Min 1x per month","1993","Employed","Female","","","","","3"
"Min 1x per month","1993","Employed","Male","","","","","3"
"Min 1x per week","1993","Not Employed","Male","","","","","2"
"Min 1x per week","1993","Employed","Male","","","","","2"
"Min 1x per week","1993","Employed","Female","","","","","2"
"Min 1x per week","1993","Not Employed","Female","","","","","2"
"Never","1993","Not Employed","Male","","","","","5"
"Never","1993","Not Employed","Female","","","","","5"
"Never","1993","Employed","Male","","","","","5"
"Never","1993","Employed","Female","","","","","5"
"Rarely","1993","Employed","Male","","","","","4"
