"pli0083","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1993","Part Time","East Germany","","","",""
"Min 1x per week","1993","Not Working","West Germany","","","",""
"Min 1x per week","1993","Not Working","East Germany","","","",""
"Min 1x per month","1993","Full Time","West Germany","","","",""
"Min 1x per month","1993","Full Time","East Germany","","","",""
"Min 1x per month","1993","Part Time","West Germany","","","",""
"Min 1x per month","1993","Part Time","East Germany","","","",""
"Min 1x per month","1993","Not Working","West Germany","","","",""
"Min 1x per month","1993","Not Working","East Germany","","","",""
"Rarely","1993","Full Time","West Germany","","","",""
"Rarely","1993","Full Time","East Germany","","","",""
"Rarely","1993","Part Time","West Germany","","","",""
"Rarely","1993","Part Time","East Germany","","","",""
"Rarely","1993","Not Working","West Germany","","","",""
"Rarely","1993","Not Working","East Germany","","","",""
"Never","1993","Full Time","West Germany","","","",""
"Never","1993","Full Time","East Germany","","","",""
"Never","1993","Part Time","West Germany","","","",""
"Never","1993","Part Time","East Germany","","","",""
"Never","1993","Not Working","West Germany","","","",""
"Never","1993","Not Working","East Germany","","","",""
"Daily","1994","Full Time","West Germany","","","",""
"Daily","1994","Full Time","East Germany","","","",""
"Daily","1994","Part Time","West Germany","","","",""
"Daily","1994","Part Time","East Germany","","","",""
"Daily","1994","Not Working","West Germany","","","",""
"Daily","1994","Not Working","East Germany","","","",""
"Min 1x per week","1994","Full Time","West Germany","","","",""
"Min 1x per week","1994","Full Time","East Germany","","","",""
"Min 1x per week","1994","Part Time","West Germany","","","",""
"Min 1x per week","1994","Part Time","East Germany","","","",""
"Min 1x per week","1994","Not Working","West Germany","","","",""
"Min 1x per week","1994","Not Working","East Germany","","","",""
"Min 1x per month","1994","Full Time","West Germany","","","",""
"Min 1x per month","1994","Full Time","East Germany","","","",""
"Min 1x per month","1994","Part Time","West Germany","","","",""
"Min 1x per month","1994","Part Time","East Germany","","","",""
"Min 1x per month","1994","Not Working","West Germany","","","",""
"Min 1x per month","1994","Not Working","East Germany","","","",""
"Rarely","1994","Full Time","West Germany","","","",""
"Rarely","1994","Full Time","East Germany","","","",""
"Rarely","1994","Part Time","West Germany","","","",""
"Rarely","1994","Part Time","East Germany","","","",""
"Rarely","1994","Not Working","West Germany","","","",""
"Rarely","1994","Not Working","East Germany","","","",""
"Never","1994","Full Time","West Germany","","","",""
"Never","1994","Full Time","East Germany","","","",""
"Never","1994","Part Time","West Germany","","","",""
"Never","1994","Part Time","East Germany","","","",""
"Never","1994","Not Working","West Germany","","","",""
"Never","1994","Not Working","East Germany","","","",""
"Daily","1995","Full Time","West Germany","3298","0.784057738681119","0.771478046177846","0.796637431184393"
"Daily","1995","Full Time","East Germany","1520","0.849496335856054","0.832913391044606","0.866079280667501"
"Daily","1995","Part Time","West Germany","1627","0.798043667089401","0.780436028131117","0.815651306047685"
"Daily","1995","Part Time","East Germany","510","0.840431730297458","0.811105302328906","0.869758158266009"
"Daily","1995","Not Working","West Germany","3063","0.87638027106667","0.865471132341465","0.887289409791874"
"Daily","1995","Not Working","East Germany","1202","0.938026565267394","0.924945196538471","0.951107933996317"
"Min 1x per week","1995","Full Time","West Germany","596","0.153967952764477","0.142933882256467","0.165002023272486"
"Min 1x per week","1995","Full Time","East Germany","190","0.111175117164686","0.0965964015676493","0.125753832761723"
"Min 1x per week","1995","Part Time","West Germany","267","0.140161086885444","0.124935244324302","0.155386929446585"
"Min 1x per week","1995","Part Time","East Germany","60","0.100242614172545","0.0761921433949258","0.124293084950164"
"Min 1x per week","1995","Not Working","West Germany","292","0.0793376775658119","0.0703801077522403","0.0882952473793834"
"Min 1x per week","1995","Not Working","East Germany","69","0.0369308875515398","0.0266987484651061","0.0471630266379734"
"Min 1x per month","1995","Full Time","West Germany","60","0.015935117090998","0.0121067226533078","0.0197635115286882"
"Min 1x per month","1995","Full Time","East Germany","15","","",""
"Min 1x per month","1995","Part Time","West Germany","29","","",""
"Min 1x per month","1995","Part Time","East Germany","3","","",""
"Min 1x per month","1995","Not Working","West Germany","38","0.0126239534268668","0.00892363362094271","0.0163242732327909"
"Min 1x per month","1995","Not Working","East Germany","4","","",""
"Rarely","1995","Full Time","West Germany","129","0.0381758518350777","0.0323175817985623","0.0440341218715931"
"Rarely","1995","Full Time","East Germany","50","0.0218447515665956","0.0150654521813923","0.0286240509517989"
"Rarely","1995","Part Time","West Germany","55","0.0347660773065666","0.0267316820617654","0.0428004725513677"
"Rarely","1995","Part Time","East Germany","18","","",""
"Rarely","1995","Not Working","West Germany","55","0.0158300572275666","0.0116931425297948","0.0199669719253385"
"Rarely","1995","Not Working","East Germany","23","","",""
"Never","1995","Full Time","West Germany","27","","",""
"Never","1995","Full Time","East Germany","11","","",""
"Never","1995","Part Time","West Germany","19","","",""
"Never","1995","Part Time","East Germany","8","","",""
"Never","1995","Not Working","West Germany","49","0.0158280407130851","0.011691385276597","0.0199646961495731"
"Never","1995","Not Working","East Germany","7","","",""
"Daily","1996","Full Time","West Germany","","","",""
"Daily","1996","Full Time","East Germany","","","",""
"Daily","1996","Part Time","West Germany","","","",""
"Daily","1996","Part Time","East Germany","","","",""
"Daily","1996","Not Working","West Germany","","","",""
"Daily","1996","Not Working","East Germany","","","",""
"Min 1x per week","1996","Full Time","West Germany","","","",""
"Min 1x per week","1996","Full Time","East Germany","","","",""
"Min 1x per week","1996","Part Time","West Germany","","","",""
"Min 1x per week","1996","Part Time","East Germany","","","",""
"Min 1x per week","1996","Not Working","West Germany","","","",""
"Min 1x per week","1996","Not Working","East Germany","","","",""
"Min 1x per month","1996","Full Time","West Germany","","","",""
"Min 1x per month","1996","Full Time","East Germany","","","",""
"Min 1x per month","1996","Part Time","West Germany","","","",""
"Min 1x per month","1996","Part Time","East Germany","","","",""
"Min 1x per month","1996","Not Working","West Germany","","","",""
"Min 1x per month","1996","Not Working","East Germany","","","",""
"Rarely","1996","Full Time","West Germany","","","",""
"Rarely","1996","Full Time","East Germany","","","",""
"Rarely","1996","Part Time","West Germany","","","",""
"Rarely","1996","Part Time","East Germany","","","",""
"Rarely","1996","Not Working","West Germany","","","",""
"Rarely","1996","Not Working","East Germany","","","",""
"Never","1996","Full Time","West Germany","","","",""
"Never","1996","Full Time","East Germany","","","",""
"Never","1996","Part Time","West Germany","","","",""
"Never","1996","Part Time","East Germany","","","",""
"Never","1996","Not Working","West Germany","","","",""
"Never","1996","Not Working","East Germany","","","",""
"Daily","1997","Full Time","West Germany","","","",""
"Daily","1997","Full Time","East Germany","","","",""
"Daily","1997","Part Time","West Germany","","","",""
"Daily","1997","Part Time","East Germany","","","",""
"Daily","1997","Not Working","West Germany","","","",""
