"pli0083","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","West Germany","Male","3652","0.784791048789822","0.773004223759136","0.796577873820509","1"
"Daily","1990","West Germany","Female","3797","0.794278552410172","0.782844282447708","0.805712822372635","1"
"Daily","1990","East Germany","Male","","","","","1"
"Daily","1990","East Germany","Female","","","","","1"
"Min 1x per month","1990","West Germany","Female","76","0.0188998948767174","0.0150480517316543","0.0227517380217804","3"
"Min 1x per month","1990","West Germany","Male","80","0.0182537933214936","0.0144143714800276","0.0220932151629596","3"
"Min 1x per month","1990","East Germany","Female","","","","","3"
"Min 1x per month","1990","East Germany","Male","","","","","3"
"Min 1x per week","1990","West Germany","Male","737","0.151540061292137","0.141255895942182","0.161824226642091","2"
"Min 1x per week","1990","East Germany","Female","","","","","2"
"Min 1x per week","1990","East Germany","Male","","","","","2"
"Min 1x per week","1990","West Germany","Female","694","0.13876245970414","0.128983791539224","0.148541127869056","2"
"Never","1990","West Germany","Male","49","0.00846455999590956","0.00583704038990489","0.0110920796019142","5"
"Never","1990","West Germany","Female","50","0.0120169345616538","0.00893478409606512","0.0150990850272424","5"
"Never","1990","East Germany","Male","","","","","5"
"Never","1990","East Germany","Female","","","","","5"
"Rarely","1990","East Germany","Male","","","","","4"
"Rarely","1990","West Germany","Male","152","0.0369505366006376","0.0315401995382847","0.0423608736629906","4"
"Rarely","1990","West Germany","Female","184","0.0360421584473173","0.0307696576498455","0.0413146592447891","4"
"Rarely","1990","East Germany","Female","","","","","4"
"Daily","1991","West Germany","Male","","","","","1"
"Daily","1991","West Germany","Female","","","","","1"
"Daily","1991","East Germany","Male","","","","","1"
"Daily","1991","East Germany","Female","","","","","1"
"Min 1x per month","1991","East Germany","Male","","","","","3"
"Min 1x per month","1991","West Germany","Female","","","","","3"
"Min 1x per month","1991","West Germany","Male","","","","","3"
"Min 1x per month","1991","East Germany","Female","","","","","3"
"Min 1x per week","1991","West Germany","Female","","","","","2"
"Min 1x per week","1991","East Germany","Female","","","","","2"
"Min 1x per week","1991","West Germany","Male","","","","","2"
"Min 1x per week","1991","East Germany","Male","","","","","2"
"Never","1991","West Germany","Male","","","","","5"
"Never","1991","West Germany","Female","","","","","5"
"Never","1991","East Germany","Male","","","","","5"
"Never","1991","East Germany","Female","","","","","5"
"Rarely","1991","East Germany","Female","","","","","4"
"Rarely","1991","East Germany","Male","","","","","4"
"Rarely","1991","West Germany","Female","","","","","4"
"Rarely","1991","West Germany","Male","","","","","4"
"Daily","1992","West Germany","Male","","","","","1"
"Daily","1992","West Germany","Female","","","","","1"
"Daily","1992","East Germany","Female","","","","","1"
"Daily","1992","East Germany","Male","","","","","1"
"Min 1x per month","1992","West Germany","Male","","","","","3"
"Min 1x per month","1992","East Germany","Female","","","","","3"
"Min 1x per month","1992","West Germany","Female","","","","","3"
"Min 1x per month","1992","East Germany","Male","","","","","3"
"Min 1x per week","1992","East Germany","Female","","","","","2"
"Min 1x per week","1992","West Germany","Female","","","","","2"
"Min 1x per week","1992","East Germany","Male","","","","","2"
"Min 1x per week","1992","West Germany","Male","","","","","2"
"Never","1992","West Germany","Male","","","","","5"
"Never","1992","West Germany","Female","","","","","5"
"Never","1992","East Germany","Male","","","","","5"
"Never","1992","East Germany","Female","","","","","5"
"Rarely","1992","East Germany","Female","","","","","4"
"Rarely","1992","West Germany","Female","","","","","4"
"Rarely","1992","West Germany","Male","","","","","4"
"Rarely","1992","East Germany","Male","","","","","4"
"Daily","1993","West Germany","Male","","","","","1"
"Daily","1993","West Germany","Female","","","","","1"
"Daily","1993","East Germany","Female","","","","","1"
"Daily","1993","East Germany","Male","","","","","1"
"Min 1x per month","1993","West Germany","Male","","","","","3"
"Min 1x per month","1993","West Germany","Female","","","","","3"
"Min 1x per month","1993","East Germany","Female","","","","","3"
"Min 1x per month","1993","East Germany","Male","","","","","3"
"Min 1x per week","1993","West Germany","Male","","","","","2"
"Min 1x per week","1993","East Germany","Male","","","","","2"
"Min 1x per week","1993","East Germany","Female","","","","","2"
"Min 1x per week","1993","West Germany","Female","","","","","2"
"Never","1993","West Germany","Male","","","","","5"
"Never","1993","West Germany","Female","","","","","5"
"Never","1993","East Germany","Male","","","","","5"
"Never","1993","East Germany","Female","","","","","5"
"Rarely","1993","East Germany","Male","","","","","4"
"Rarely","1993","West Germany","Male","","","","","4"
"Rarely","1993","West Germany","Female","","","","","4"
"Rarely","1993","East Germany","Female","","","","","4"
"Daily","1994","West Germany","Male","","","","","1"
"Daily","1994","East Germany","Female","","","","","1"
"Daily","1994","West Germany","Female","","","","","1"
"Daily","1994","East Germany","Male","","","","","1"
"Min 1x per month","1994","East Germany","Male","","","","","3"
"Min 1x per month","1994","East Germany","Female","","","","","3"
"Min 1x per month","1994","West Germany","Male","","","","","3"
"Min 1x per month","1994","West Germany","Female","","","","","3"
"Min 1x per week","1994","East Germany","Female","","","","","2"
"Min 1x per week","1994","East Germany","Male","","","","","2"
"Min 1x per week","1994","West Germany","Male","","","","","2"
"Min 1x per week","1994","West Germany","Female","","","","","2"
"Never","1994","West Germany","Male","","","","","5"
"Never","1994","West Germany","Female","","","","","5"
"Never","1994","East Germany","Male","","","","","5"
"Never","1994","East Germany","Female","","","","","5"
"Rarely","1994","East Germany","Female","","","","","4"
"Rarely","1994","East Germany","Male","","","","","4"
"Rarely","1994","West Germany","Male","","","","","4"
"Rarely","1994","West Germany","Female","","","","","4"
"Daily","1995","West Germany","Male","3887","0.829187673112375","0.818372978480926","0.840002367743823","1"
"Daily","1995","East Germany","Female","1716","0.894163894403971","0.880471333647075","0.907856455160866","1"
"Daily","1995","West Germany","Female","4101","0.821641996325453","0.81097983157423","0.832304161076675","1"
"Daily","1995","East Germany","Male","1516","0.87810318494171","0.862779120367709","0.893427249515712","1"
"Min 1x per month","1995","East Germany","Female","13","","","","3"
"Min 1x per month","1995","West Germany","Male","62","0.0145157133701325","0.0110787707476697","0.0179526559925954","3"
"Min 1x per month","1995","East Germany","Male","9","","","","3"
"Min 1x per month","1995","West Germany","Female","65","0.0145702556589682","0.0112328869276802","0.0179076243902562","3"
"Min 1x per week","1995","East Germany","Female","148","0.0662547516450299","0.0551838777453467","0.0773256255447131","2"
"Min 1x per week","1995","West Germany","Female","611","0.121903148083003","0.112790671114012","0.131015625051993","2"
"Min 1x per week","1995","East Germany","Male","171","0.0897118207331647","0.0763267920860899","0.103096849380239","2"
"Min 1x per week","1995","West Germany","Male","544","0.118308351778193","0.109027361804966","0.12758934175142","2"
"Never","1995","West Germany","Female","51","0.0131151779333845","0.00994649998574517","0.0162838558810239","5"
