"pli0083","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","West Germany","739","0.730313716004023","0.703263422616336","0.757364009391709"
"Daily","1990","1-pers.-HH","East Germany","","","",""
"Daily","1990","(Married) couple without C. ","West Germany","1950","0.854139983210809","0.839733728296558","0.868546238125061"
"Daily","1990","(Married) couple without C. ","East Germany","","","",""
"Daily","1990","Single parent ","West Germany","340","0.737084242630912","0.696899193876831","0.777269291384992"
"Daily","1990","Single parent ","East Germany","","","",""
"Daily","1990","Couple + C. LE 16 ","West Germany","1659","0.80481493555869","0.787777973696951","0.82185189742043"
"Daily","1990","Couple + C. LE 16 ","East Germany","","","",""
"Daily","1990","Couple + C. GT 16 ","West Germany","1592","0.782869422342534","0.76502631780126","0.800712526883808"
"Daily","1990","Couple + C. GT 16 ","East Germany","","","",""
"Daily","1990","Couple + C. LE and GT 16","West Germany","666","0.745113738695855","0.7164342912168","0.773793186174909"
"Daily","1990","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1990","1-pers.-HH","West Germany","181","0.161813192425923","0.139365836371794","0.184260548480051"
"Min 1x per week","1990","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1990","(Married) couple without C. ","West Germany","255","0.108718153432926","0.0960130851436574","0.121423221722195"
"Min 1x per week","1990","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1990","Single parent ","West Germany","82","0.174517105734782","0.139869704268473","0.209164507201091"
"Min 1x per week","1990","Single parent ","East Germany","","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","West Germany","305","0.13960198814437","0.124704386847279","0.154499589441461"
"Min 1x per week","1990","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","West Germany","340","0.161073278616884","0.145164419933421","0.176982137300347"
"Min 1x per week","1990","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","West Germany","158","0.177384326953227","0.152245651380749","0.202523002525704"
"Min 1x per week","1990","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1990","1-pers.-HH","West Germany","28","","",""
"Min 1x per month","1990","1-pers.-HH","East Germany","","","",""
